{'短评内容': '酒店位置很好，院内停车场方便停车。', '短评打分': 4}
{'短评内容': '房间还不错', '短评打分': 4}
{'短评内容': '太差 很脏', '短评打分': 1}
{'短评内容': '早餐品种还要再增加些，感觉会更好房间比较干净周围交通方便，有图书馆、博物馆、大剧院另外，共享单车实在很亲民，方便极了', '短评打分': 3}
{'短评内容': '节日期间性价比很高', '短评打分': 5}
{'短评内容': '位置很好，到天津图书馆很方便。', '短评打分': 4}
{'短评内容': '还可以吧！就是床硬了点', '短评打分': 5}
{'短评内容': '地点超好，离心斋桥地铁站不到二百米。酒店房间小但是设备齐全。', '短评打分': 5}
{'短评内容': '自己住得不错，又给朋友订了这里，感觉不错，地理位置好，是天津文化中心，离医院、科技馆、博物馆、大剧院、图书馆，购物中心等都很近', '短评打分': 5}
{'短评内容': '觉得这酒店还不错，又续订了一天。地理位置好，是天津文化中心，天津医科大学第二医院、科技馆、博物馆、大剧院等就在旁边', '短评打分': 5}
{'短评内容': '这个宾馆不大，房间不小，干净整洁！', '短评打分': 5}
{'短评内容': '还一般', '短评打分': 4}
{'短评内容': '酒店很好交通便利', '短评打分': 4}
{'短评内容': '很好啦一直信赖的好地方 下次继续预定', '短评打分': 5}
{'短评内容': '总的还不错，值得推荐', '短评打分': 4}
