{'短评内容': '很好', '短评打分': 5}
{'短评内容': '装修很有个性。空气好，地理位置好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '整体设计不错。尤其是公共部分。晚上入住服务生很少，就前台一人。不很热情。且没有晚送餐服务，连bar11点都没了。只能外出觅食。新酒店还有淡淡的装修味。酒店房间用的抽屉轨道很不好，难开。', '短评打分': 5}
{'短评内容': '细节有待改善', '短评打分': 3}
{'短评内容': '从我个人的感觉上讲，不足之处是酒店房间稍单调了点，如果有点花的点缀会更有生气些，另外就是房间不通风。不过整体的感觉还是很舒适的。尤其是卫生情况非常好，我儿子到了酒店脱了鞋袜在地板里跑来跑去脚底一点都不脏。饭菜的味道也不错，价格适中。最喜欢它的书楼。如果没有带儿子，我想我会更惬意些呵呵', '短评打分': 5}
{'短评内容': '酒店的整体设计的非常具有现代感。但是真的不适合去住。硬件只能算是一般四星。去的第一天服务态度还可以。之后在电话里就不客气了。旁边几家酒店都比它性价比高很多。如果真想做好。请未必下好功夫。', '短评打分': 1}
{'短评内容': '早餐不错，选择虽然不是非常繁多，味道却很有保证。比起其他地方的自助，更中意酒店的点餐模式。由于酒店只有一个中餐厅，就餐的选择性比较少，价位方面，使用了赠送的5折券后，价钱还是比较朴实的。最爱的还是酒店的图书馆，并非是装饰作用，选的书非常有眼光，恰巧还遇到有客人把书买走，对爱书之人来说，酒店图书馆非常棒。还有酒店的水疗中心也挺有特色。服务方面，服务人员的态度基本上都是比较热情的，感觉比较好。唯一让人', '短评打分': 5}
{'短评内容': '距离西溪湿地还是比较远，湿地博物馆就在旁边，最好自驾去，中餐还行，早餐东西太少了 ', '短评打分': 5}
{'短评内容': '酒店位于独特的西溪湿地，是很好的养生场所。酒店的设计非常有时尚感，特别是中央共享的图书阅览室，构思新颖别致。酒店的服务态度非常好。', '短评打分': 5}
{'短评内容': '帮意大利客人定的 ，客人很满意 ，说是好像回到了自己家 ', '短评打分': 5}
{'短评内容': '感觉不错，很有休闲的氛围,有个图书馆可以看看书。', '短评打分': 5}
