{'短评内容': '太老了，里头破破烂烂', '短评打分': 1}
{'短评内容': '態度非常之差，從沒見過前抬如此惡劣，要續住、說沒辦法，然後直接說你看著辦！有這樣的服務嗎？', '短评打分': 1}
{'短评内容': '不愧是4星级的，一个字好', '短评打分': 5}
{'短评内容': '周围小吃蛮多的，，，酒店一般，晚上有直升机经过，稍微有点吵。。。。', '短评打分': 4}
{'短评内容': '住的很满意舒服', '短评打分': 4}
{'短评内容': '不错，很好。不错，很好。不错，很好。不错，很好。不错，很好。不错，很好。不错，很好。不错，很好。不错，很好。', '短评打分': 5}
{'短评内容': '吃的还行，卫生不太好，两个楼分开的', '短评打分': 4}
{'短评内容': '总体还不错吧', '短评打分': 4}
{'短评内容': '环境不错，性价比超值，服务态度也很好。', '短评打分': 5}
{'短评内容': '环境不错，性价比超值，服务态度也很好。', '短评打分': 5}
{'短评内容': '环境不错，性价比超值，服务态度也很好', '短评打分': 5}
{'短评内容': '设施陈旧了点，前台服务尚可', '短评打分': 3}
