{'descr': '卫生较差，地理位置离地铁站较近，比较方便！', 'star': 3}
{'descr': '好好好好好好好好好好好', 'star': 5}
{'descr': '环境好位置好', 'star': 5}
{'descr': '老酒店了，电视太小，wifi连不上，我住过最差的酒店！', 'star': 3}
{'descr': '前台服务很好，下次再来！', 'star': 5}
{'descr': '还可以吧，就是窗户太多', 'star': 5}
{'descr': '住了N多次 服务环境位置都没毛病。', 'star': 5}
{'descr': '住了很多次了 。', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '不记得这家了。对 地理位置不错 服务也很好 就救急住了一晚 周围有24小时便利店 7-11', 'star': 4}
{'descr': '服务好，这是如家一贯的！', 'star': 5}
{'descr': '加班临时开的房。床非常硬。门口堆满了按摩小卡片', 'star': 1}
{'descr': '环境差', 'star': 4}
{'descr': '满意', 'star': 4}
{'descr': '地理位置优越条件好。', 'star': 4}
{'descr': '环境很好', 'star': 5}
{'descr': '房间很暖和，最后一天提前离店，由于是提前预付，不能退房费要是可以人性化一点儿就好了！', 'star': 5}
{'descr': '位置很好找，环境也不错，很方便', 'star': 5}
{'descr': '性价比还可以', 'star': 4}
{'descr': '还行吧，一个人出差一天', 'star': 5}
{'descr': '早餐比较好，位置也不错', 'star': 5}
{'descr': '服务好，有无线', 'star': 5}
{'descr': '服务好，早餐也不错，现在有了无线上网', 'star': 5}
{'descr': '环境不错，地段也不错，服务也挺好，很适合外出落脚。早餐略贵\n\n\n\n\n', 'star': 5}
{'descr': '前台服务态度有点。。。。。可能与天津人的脾气性格，说话方式有关系吧。', 'star': 5}
{'descr': '帮客户预定的，距离班车站很近，很方便，距离文化中心和南楼商业区步行约10分钟。', 'star': 5}
{'descr': '离文化中心很近！地理位置方便，客房还不错，希望打扫的更加仔细就好了', 'star': 5}
{'descr': '房间新服务好', 'star': 3}
{'descr': '酒店是新开的 159一晚 价格挺实惠的 旁边就是小肥羊 周围有711 交通都便利', 'star': 5}
{'descr': '地点优越，价格便宜，环境优雅卫生，夜晚安静，性价比极高', 'star': 5}
{'descr': '地点优越，价格便宜，环境优雅卫生，夜晚安静，性价比极高', 'star': 5}
{'descr': '酒店的位置很好找，就在小肥羊旁边。去入住的时候正赶上门帘装修，还以为不能住呢。进去后感觉还不错，大厅有几个沙发和茶几。房间很干净，就是隔音效果不是很满意，因我的房间窗户对着围堤道，车辆行驶的声音听得很清楚。房间的毛巾有些发黄了，偶尔还会看到小黑点，其他的都还好。服务员的态度比较好，性价比也比较满意。', 'star': 5}
{'descr': '很干净，安全，周围失刘老根大舞台，距离繁华区也很近。值得推荐', 'star': 5}
{'descr': '很干净，安全，周围失刘老根大舞台，距离繁华区也很近。值得推荐', 'star': 5}
{'descr': '首先，地点很容易找到，就在小肥羊旁边。其次，服务和环境也还不错，是如家一贯的风格，微微不足的是，毛巾浴巾的感觉有点旧。', 'star': 5}
{'descr': '服务很好，也很容易找到，不错', 'star': 3}
{'descr': '酒店很好.服务很好.最好不要六屋.五楼有KTV比较吵，总的评价很好!', 'star': 3}
{'descr': '好，经济实惠', 'star': 3}
{'descr': '性价比高，周边饮食挺方便', 'star': 3}
{'descr': '这家店的性价比真不错，房间很不错，很干净，', 'star': 5}
{'descr': '挺好的，态度很好。', 'star': 3}
{'descr': '这里标间蛮大哦！', 'star': 3}
{'descr': '五一去的房间很不好定 ，这个比较好找河西区太晚比较难打车去那个方向，住宿还是不错的，比较干净服务也比较好，就是退押金怎么现在还没到账。。。', 'star': 5}
{'descr': '地理位置方便，内部卫生，就是门口停车有点混乱', 'star': 5}
{'descr': '楼看起来有点老，不过里面算是中规中矩的如家风格，房间有点稍小，淋浴的水不是很大。算是对得起这个价钱了。但是天津的交通系统比想象中要差，这个酒店离中心的景点稍远，建议旅游的朋友们可以找个更靠中心的酒店会方便点。总的来说性价还是够的。', 'star': 5}
{'descr': '位置不错，服务也挺好，就是房间太差，隔音差，毛巾床单也不太干净', 'star': 1}
{'descr': '环境很好，服务态度也不错，就是早餐的样式少了一些，但是总体来说还是很不错的！', 'star': 3}
{'descr': ' 酒店环境很好,坐车也挺方便的,很不错', 'star': 3}
{'descr': '第一次来天津出差，在项目附近找了这家“如家”酒店。这家性价比很高。房间比较宽敞，而且我设备也比较全，就是写字台稍微窄了一点，其他没有缺点。不错！', 'star': 5}
{'descr': '总体环境不错，室内卫生很好，地理位置也比较好，出门比较便利', 'star': 5}
{'descr': '房屋大，服务还好，交通方便，唯一就是周围娱乐场所少，喜欢玩的朋友不建议', 'star': 5}
{'descr': '房间挺大，噪声小，干净在便宜点就好了，呵呵', 'star': 5}
{'descr': '替朋友订的，服务还不错，以后有机会到天津的话，会考虑入住', 'star': 5}
{'descr': '这家酒店是新开业的，房间里的装修都是新的，虽然房间不到20平米，但是房间的布置和环境让人感觉很舒服，很温馨！！电视是液晶的；房间内有宽带，网速不错！！尤其值得一提的是：我有认床的习惯，每到一个陌生的城市，换了张床，我就失眠，睡不着觉；睡眠问题一直是我最纠结的，但是这家酒店的床很舒服，从我入住第一天起，睡眠的质量一直特好；这事挺神奇的..呵呵！！酒店的员工特有亲和力，让人感觉很舒服！！房间很干净！！', 'star': 5}
{'descr': '房间可真是够大的，一进房间真下一跳！！！卫生也很不错。', 'star': 3}
{'descr': '还不错。环境挺好，公交方便。广东路与围堤道交口，很好找。', 'star': 5}
{'descr': '这家酒店是新开业的，房间里的装修都是新的，虽然房间不到20平米，但是房间的布置和环境让人感觉很舒服，很温馨！！电视是液晶的；房间内有宽带，网速不错！！尤其值得一提的是：我有认床的习惯，每到一个陌生的城市，换了张床，我就失眠，睡不着觉；睡眠问题一直是我最纠结的，但是这家酒店的床很舒服，从我入住第一天起，睡眠的质量一直特好；这事挺神奇的..呵呵！！酒店的员工特有亲和力，让人感觉很舒服！！房间很干净！！', 'star': 5}
{'descr': '环境不错，好评', 'star': 3}
{'descr': '环境不错，房间装修很漂亮，交通方便，服务态度很好.', 'star': 5}
{'descr': '新的，挺好，位置也不错，但建议不选择临街的房间，车多。', 'star': 3}
{'descr': '很不错，推荐，服务很好，四楼的餐厅也很方便，隔音效果，也不错', 'star': 5}
{'descr': '环境不错，', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '非常好 的 酒店 ，下次还会再来的 呵呵呵', 'star': 5}
