{'descr': '还不错，周围环境好，', 'star': 4}
{'descr': '酒店位置很好，但设施、服务、卫生等均很差，价格还不便宜！', 'star': 2}
{'descr': '对不起这个价格', 'star': 4}
{'descr': '酒店不怎么样，', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '服务员态度不好', 'star': 4}
{'descr': '很好很舒服。', 'star': 5}
{'descr': '很好。很舒服', 'star': 5}
{'descr': '不错，挺好的', 'star': 3}
{'descr': '一般般', 'star': 2}
{'descr': '非常好，干净卫生。接待很热情，快速，能尽量满足要求。是一个不错的选择，经常入住。价格合理，下次继续入住。', 'star': 5}
{'descr': '非常完美！感谢前台！', 'star': 5}
{'descr': '还好了', 'star': 3}
{'descr': '交通真的很便利~~出行非常方便~~离得大概一站路有一条民族餐饮街  都是一些民族餐馆~~还不错~~酒店门口就有一家麦当劳~~地铁4号线就在离酒店100米处  但是房间的真的袖珍~~卫生一般~~这个价钱算是很便宜的了~~附近大学很多~~半夜会有大学生来开房间~~隔音一般~酒店总体来说还是很实惠的~~很适合去北京玩的资金不充裕的旅行族~~', 'star': 5}
{'descr': '宾馆地理位置确实不错,出行很方便.卫生条件一般吧,但卫生间气味实在不怎么好,要是在房间得把卫生间的门关上才行.', 'star': 5}
{'descr': '不错的，前台态度好，酒店便宜又舒服！最重要的是交通便利', 'star': 5}
{'descr': '总体还不错…离民大很近…唯一不足的是隔音不太好！', 'star': 3}
{'descr': '还行吧，这次我比较满意', 'star': 3}
{'descr': '床挺大 屋子相当小 几乎就是床了 其他还可以吧 挺干净的', 'star': 3}
{'descr': '对得起这个价位吧~设施一般~还算说得过去', 'star': 5}
{'descr': '对于这个价位来说在北京环境算是不错的，东西齐全，干净整洁，交通比较方便', 'star': 3}
{'descr': '首先进门，服务员干自己的事情，让我在一边等着。。。进来房间小的嘞！而且灯光超级暗！没办法因为离北理近只能忍受了。照片太骗人了！', 'star': 1}
{'descr': '环境和条件很一般，房间的隔音很差。但就冲这价格我也忍了', 'star': 1}
{'descr': '整体还行 有点潮 电视没影', 'star': 3}
{'descr': '酒店唯一的优点是位置好，其他房间小，潮湿，感觉有味道，不干净！！', 'star': 1}
{'descr': '优点：电脑、电视一体；地理位置便利，出门就是地铁；\n缺点：酒店布置太小气。连门卡都是坏的。房间太小，洗漱池是为3岁小儿准备的吧。', 'star': 1}
{'descr': '就在北外附近，交通也算便利，就是住宿房间能干净点就好了。在北京三环附近，离市区的距离乘公交的话，需要半个小时左右。', 'star': 5}
{'descr': '屋子很小就是了', 'star': 3}
{'descr': '还不错，离学校近，交通方便，有电脑\n还不错，离学校近，交通方便，有电脑\n还不错，离学校近，交通方便，有电脑\n还不错，离学校近，交通方便，有电脑\n还不错，离学校近，交通方便，有电脑', 'star': 5}
{'descr': 'he miao shu de ca ju hen da', 'star': 1}
{'descr': '感觉一般，住这里其实为了离培训地点进，可能是住的单人间的原因吧，感觉不舒服，没有窗户，不过该酒店电视电脑一体机还是挺给力的', 'star': 5}
{'descr': ' 房间挺干净 但是工作人员服务态度不好 而且回答住宿价格时价格一直在变 和之前电话询问时价格不一样', 'star': 3}
{'descr': '环境还好，就是墙壁上的灯坏了，还不给立刻修理，影响办公', 'star': 3}
{'descr': '条件太差', 'star': 3}
{'descr': '很一般', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '交通很方便~也挺干净的~离我学习的地方很近，推荐给学新东方的同学，这个价位在北京很可以了~', 'star': 5}
{'descr': '不错，挺好的。吃饭特别方便。交通也不错有公交和地铁。', 'star': 5}
{'descr': '酒店很经济实惠，交通方便，干净，服务不错。', 'star': 5}
{'descr': '朋友住的，说感觉比较一般。朋友住的，说感觉比较一般。', 'star': 1}
{'descr': '服务卫生都可以，就是旁边是部队，出早操，很吵。地铁声较大，不过价格和方便程度都不错。', 'star': 5}
{'descr': '这个还不错哦，房间设计的很温馨，服务员的态度很亲切~', 'star': 5}
{'descr': '去新东方魏公村上课很近，方便！也很干净！交通方便！\r\n但是：1.卫生间下水不畅，水会满到房间里；\r\n      2.卫生间地漏不防臭；\r\n      3.晚上能感觉到地铁通过的震动，因为在地铁上方么。', 'star': 5}
{'descr': '+交通很方便', 'star': 5}
{'descr': '比想象中要干净 而且离第二天的目的地很近 室内基本设施都齐全 拖鞋明显不是一次性的 而是消毒后重复使用的 房间灯光有点昏暗 其他都不错', 'star': 5}
{'descr': '这里很不错的，卫生、干净、，以后会常在这里住的，希望你们服务能继续保持下去', 'star': 5}
{'descr': '比较干净，位置好，离军艺近，旁边就是麦乐迪。', 'star': 5}
{'descr': '一很好', 'star': 5}
{'descr': '酒店的环境挺好的，我当时登记的是两间有一间给我的很小卫生间连一平米都不到而且也特别味反正很一般，位置还行。', 'star': 1}
{'descr': '交通很方便，离学校很近，设施就一般了，服务也不行，经常在屋外大声喧哗，妨碍休息', 'star': 1}
{'descr': '网速还不错，整体在北京来说还可以吧，离北京口腔医院很近，步行几分钟就到了！要住标准间，单人间太小', 'star': 5}
{'descr': '去中关村很方便，餐饮和交通还是比较方便的。', 'star': 5}
{'descr': '+能免费上网但房间太小', 'star': 5}
{'descr': 'it is ok', 'star': 5}
