{'短评内容': '昂', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '在机场附近', '短评打分': 4}
{'短评内容': '态度很差，比如家差多了，电话不接，电视也是坏的。差极了', '短评打分': 1}
{'短评内容': '电视太小了', '短评打分': 3}
{'短评内容': '三个字，非常差！', '短评打分': 4}
{'短评内容': '这是我住的最差的一次七天，七天已经越来越垃圾了。早上九点去的，客房刚刚打扫完，地面全是水，我问客房人员怎么办，客房人员说没办法，开开空调就好了，唉，认了吧，到了房间一看，要命了，卫生间和房间味道很浓，卫生间只有地巾，封装的浴巾没有了，打电话问前台，打了好几次没有接，下楼问前台，说去问打扫房间的要个就行，就去找打扫房间的，打扫房间的正坐在客房的桌子上聊天，说封装的得下午才来，好吧，又忍了。七天是越来越不行了，你们看看墙面很脏，也不处理，挂画没有了，也不补上，裸露这钉子，卫生间的地漏脏的要死。电梯的垃圾桶真是垃圾桶。床头柜的桌面破损了，感觉再也不是那个品牌七天了，还不如小旅馆。窗户外面更是没法说了，直接不能开窗！反正我是觉得七天在走下坡路了，会越来越差劲了！', '短评打分': 1}
{'短评内容': '订的大床房 房间超级大特别空?', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '位置偏，离机场近，休息一晚乘早航班是不错的选择。周围吃饭的地方比较少，房间设施一般！！周边在慢慢发展！', '短评打分': 3}
{'短评内容': '一般般八，就是离机场近所以方便些', '短评打分': 2}
{'短评内容': '因为经常出差去青岛！这家店距离机场近！每次都会入住！跟店里员工也都很熟悉！房间也很大！五楼还有停车泊位！停车很方便！', '短评打分': 5}
{'短评内容': '酒店位于机场附近，交通很便捷，店员服务热情周到，客房干净整洁宽敞！住过那么多酒店这家是住的最久的！不错', '短评打分': 5}
{'短评内容': '不多的选择。可以信赖', '短评打分': 5}
{'短评内容': '空调效果不错，价格也可以。', '短评打分': 5}
{'短评内容': '周边都是五金店，吃的要打的去宝龙广场买，公交间隔时间长，但是滴滴快车很多，房间空调声音像马达，不开又冷，实在是住的7天里面较差的，就房间挺大', '短评打分': 3}
{'短评内容': '不错，离机场近，', '短评打分': 5}
{'短评内容': '房间挺大，空调效果不错，最主要是价格便宜，非常满意。', '短评打分': 5}
