{'短评内容': '地理位置得天独厚，北方人吃饭口味重，这家早餐太淡选择太少', '短评打分': 4}
{'短评内容': '位置好，房间很大，有桌子沙发，出门就是海边，椰梦长廊，边相对大东海的人要少很多，早晚散步海边很惬意，旁边街道吃东西很方便，美中不足的就是旁边那个广场，跳广场舞的大妈些太吵了～', '短评打分': 5}
{'短评内容': '早晨的自助餐都是冷的，包子也是凉的，油条是隔夜的（很干，很硬），服务员态度也很差。', '短评打分': 1}
{'短评内容': '环境不错挺好', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 3}
{'短评内容': '很好，多次入住！', '短评打分': 5}
{'短评内容': '我怀疑我住了一个假的4星酒店。', '短评打分': 2}
{'短评内容': '好好。。好好。。。', '短评打分': 5}
{'短评内容': '不错。还是原来的老样子', '短评打分': 5}
{'短评内容': '位置不错，靠近海边，周围吃饭也非常方便', '短评打分': 5}
{'短评内容': '【EL】确认:8月16日入住三亚金凤凰海景酒店30度标准海景双床(含双早)1间2晚酒店信息:三亚市滨海大道海月广场(迎宾路与三亚湾路交汇处 近三亚湾滨海路)0898-88661155;您的房间通过旅行社预订,前台报吴江安入住.此单不能变更取消', '短评打分': 5}
{'短评内容': '感觉很好，下次还来', '短评打分': 5}
{'短评内容': '很不错，环境很好，早上起床面朝大海，感觉很舒服。下次还来。', '短评打分': 5}
{'短评内容': '第一次在京东定酒店，还真不错！挺优惠的。酒店离海月广场很近，走路五分钟用不了，晚上广场舞很多，选海景房的慎重啊。。。', '短评打分': 5}
{'短评内容': '酒店位置很好，离市区很近，就是酒店工作人员不太热情。设施略显陈旧，早餐一般。', '短评打分': 3}
{'短评内容': '很好，蛮不错的', '短评打分': 5}
{'短评内容': '很不错的酒店，环境很漂亮！', '短评打分': 5}
{'短评内容': '园景房环境也很不错，很安静！', '短评打分': 5}
{'短评内容': '酒店房间很不错，180度海景很漂亮！', '短评打分': 5}
{'短评内容': '还行吧，可以', '短评打分': 5}
{'短评内容': '有海景很好！太好了！离海边超近', '短评打分': 5}
{'短评内容': '不满意，酒店设施陈旧，电梯坏了，90度豪华海景房指的是对面的大楼吗？3楼什么都被挡了。外面噪音也大。', '短评打分': 5}
{'短评内容': '。。。。。。', '短评打分': 5}
{'短评内容': '如果商品使用没有问题，那么默认好评复制这条评论。', '短评打分': 5}
{'短评内容': '如果商品使用没有问题，那么默认好评复制这条评论。', '短评打分': 5}
{'短评内容': '这是啥意思？', '短评打分': 5}
{'短评内容': '小东西也偷', '短评打分': 1}
{'短评内容': '帮父母定的，交通方便，看海视野也很好，美中不足的是楼下是个广场，比较吵。下次还会回订。', '短评打分': 5}
{'短评内容': '方便，舒适，快捷。餐厅缺乏人性化服务', '短评打分': 5}
{'短评内容': '酒店不错，很安静，很舒适，续住', '短评打分': 5}
{'短评内容': '酒店不错，带老人来的，家里人非常满意。', '短评打分': 5}
{'短评内容': '酒店交通方便，性价比非常高，过一条马路就是海边，非常赞。早餐丰盛。', '短评打分': 5}
{'短评内容': '可以，出门就是海！出门向北购物吃饭比较方便！', '短评打分': 5}
{'短评内容': '房间干净 服务人员很和蔼可亲', '短评打分': 5}
{'短评内容': '跟老公出去玩几天，就怕住的不好，在携程看了几家最终选定这家，住了5天环境卫生都不错，出门就是公车站，到海边只要两分钟，非常不错下次还会选择，但是希望酒店能为玩了好几天而做晚班飞机的顾客提供小时房，这样就更贴心了。', '短评打分': 5}
{'短评内容': '很好，明年还会来住', '短评打分': 5}
{'短评内容': '很好，很便利', '短评打分': 5}
{'短评内容': '酒店地理位置优越，交通很方便，老酒店，房间卫生有待提高，服务人员的态度还行，希望能够严格执行禁烟的规定！', '短评打分': 4}
{'短评内容': '干净，整洁，吃饭，玩都方便。', '短评打分': 5}
{'短评内容': '房间挺大，有阳台晾晒衣服，每天都有打扫卫生换新床单，还让延迟退房到2点，就在海月广场对面，交通方便吃饭什么的也很方便。住的园景房，比海景房安静多了，到海边也很近，过马路就到了。性价比很高的酒店。', '短评打分': 5}
{'短评内容': '地理位置优越。', '短评打分': 5}
{'短评内容': '个人感觉好', '短评打分': 5}
{'短评内容': '服务人员不错，保安太差劲了都是拉皮条的，一直追着你要给你找特服', '短评打分': 3}
{'短评内容': '网上订房比现场定便宜很好，我是暑假旺季住的，房费才三百多，酒店过了马路就是免费的海滨浴场，不过水质一般，性价比可以的。', '短评打分': 4}
{'短评内容': '酒店的服务非常好！环境也是不错的！联通很便利', '短评打分': 4}
{'短评内容': '位置好，交通便利，周围也比较热闹，楼下就有广场，可以散步休闲，房间有点旧，但是很干净，值得推荐', '短评打分': 5}
{'短评内容': '不错，就是当地气候很潮湿，房间里也非常潮。加床有点贵，加的小床很不舒服。', '短评打分': 4}
{'短评内容': '给朋友预定的，当时明明已经跟酒店预订部确认了，但朋友入住时前台却说没有订单，很郁闷，而且还互相推卸责任', '短评打分': 1}
{'短评内容': '觉得很奇怪的是，在其他酒店的费用都是退房时一起结算，在这家酒店却是吃一餐给一次，很麻烦', '短评打分': 5}
{'短评内容': '位置超好，不只是海景漂亮，交通很方便，在酒店中餐馆用餐，基本属于那种吃团餐的感觉，不推荐。其它还好，老牌挂星酒店都差不多', '短评打分': 5}
{'短评内容': '金凤凰还是不错.2003年开业至今一样干净.交通也很方便.', '短评打分': 3}
{'短评内容': '不错，屋里有点霉味，也许是三亚特色吧', '短评打分': 3}
{'短评内容': '老牌的四星级酒店，整体感觉较好，服务生态度好，环境舒适。原本定的超级海景蜜月房，后来酒店免费升级成蜜月套房，空间大一点也舒服些。酒店最大的优点是交通便利，下楼就可以乘坐万能的25路旅游专线，地处市区购物也方便。不太舒适的就是靠近交通主干道，略吵。关于海景房，个人感觉住一晚享受一下即可，没必要天天海景房，说实话，都到海边了，你也不可能整天在酒店的阳台上窝着日夜看海就罢了是吧？所以，海景房因人而异，个', '短评打分': 5}
{'短评内容': '酒店已经很老了！价格却越来越高了~就是吃饭方便~外面很吵\n\n\n', '短评打分': 5}
{'短评内容': '价格适中，地理位置好，卫生状况也还不错，总体来说不错。', '短评打分': 5}
{'短评内容': '距离海边只隔一条马路，环境优美舒适，服务也还行，非常好。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比非常高的酒店。下次去还会入住该酒店。', '短评打分': 5}
{'短评内容': '比起三亚国际大酒店就差远了，同等的价位！', '短评打分': 3}
{'短评内容': '很干净整洁', '短评打分': 3}
{'短评内容': '距离海边只隔一条马路，环境优美舒适，服务也还行，非常好。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '每年都喜欢在三亚住上一段时间。每年都住这里的超级海景蜜月房，感觉是不错的。\n优点：服务还是一贯的好。特别是行李员和大堂副理都很热情。\n缺点：酒店不如以前，以前还可以到后面的小区游游泳，现在只能到2楼的小得可怜的游泳池游泳。\n早餐也越来越差了。品种越来越少，68元的价格实在是贵了点。\n订的房间有个小厨房，但酒店没有任何告知不允许在酒店做饭的提示，我有糖尿病，就买了电磁炉想自己煮点荞麦面，酒店在没有任', '短评打分': 5}
{'短评内容': ' 不怎么样', '短评打分': 3}
{'短评内容': '位置不错，过了马路就到海边了，大堂很有南国情调，让人想起《红色娘子军》南霸天开会的地方。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '优点：1酒店有档次，干净，有安全感。 2服务态度相当好，服务员很热情，其实三亚人都很淳朴的。 3处三亚市区，还临三亚湾，交通购物比较便利，门前有到南山和亚龙湾的旅游专车，离三亚市步行街也近。\n缺点：1周围没有比较大又好的超市，就有一个中型垃圾超市，东西不好还贵。 2酒店面朝的三亚湾的这段海景个人感觉不怎么漂亮，所以对海景和海泳要求高的人慎重。 3酒店只有比较贵的房间才是全部面朝大海的，其他只能斜视', '短评打分': 5}
{'短评内容': '我们在这家酒店先预定了两晚（怕住的不好，留了个心眼），后来又续订了3晚，前四晚住705，最后一晚因为酒店装修让我们改住507，我觉得这个酒店真的很棒，离海边近，离市区近，服务非常到位，最重要的是房间很大，很舒适，带了小孩来的，每天去不同的景点，但相同的是每个傍晚都沿着海边散步、嬉戏，孩子很喜欢，后面那条街的老面王很好吃，下次来还住这里！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '已经入住，但里面的环境不怎么样…', '短评打分': 3}
{'短评内容': '环境不错的，位置很好，推荐，去时不会住一住，', '短评打分': 5}
{'短评内容': '白色的整體色調，田園風格，交通便利', '短评打分': 3}
{'短评内容': '还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行', '短评打分': 5}
{'短评内容': '地理位置方便，周边餐馆服务水平较低', '短评打分': 3}
{'短评内容': '交通方便，服务良好，价格合理，设施完善，推荐', '短评打分': 5}
