{'短评内容': '态度很好很不错，就是卫生稍差点。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '挺好的，老板挺实在', '短评打分': 5}
{'短评内容': '太差了', '短评打分': 1}
{'短评内容': '差的不能看', '短评打分': 1}
{'短评内容': '就是有点凉，夏天应该很好吧，人还挺好的', '短评打分': 5}
{'短评内容': '酒店位置不错，旁边就是沃尔玛和步行街，去栈桥、劈柴院开车半小时都能到。缺点是刚好在老城区，路窄，青岛的单行超多，外地人不熟悉的话地方不好找。服务还可以，就是感觉和大城市比还有一些差距，环境也算干净，酒店房间墙上好多壁纸有脱落现象，听服务人员说青岛潮湿引起的。给好评吧。', '短评打分': 4}
{'短评内容': '垃圾，千万别去问大堂的旅游咨询', '短评打分': 3}
{'短评内容': '不错，服务很好！还挺实惠', '短评打分': 3}
{'短评内容': '洒店地段很好，到各处景点交通方便，地处台东商业步行街中心，吃东西逛街很方便。老板很客气，往得很满意。酒店设施齐全，备有洗漱用品及拖鞋，免费纯净水。24小时热水。宽带上网。我们老夫妻带着孙女第一次来青岛，留下了美好的酒店印象。', '短评打分': 3}
{'短评内容': '酒店位于台东六路，就是冲着晚上吃台东烧烤区的。酒店位于七楼，比较吵，但环境好，价钱便宜。旁边就是地道的台东烧烤，和步行街。', '短评打分': 5}
