{'短评内容': '小汪、鑫成服务较好', '短评打分': 5}
{'短评内容': '小汪（宾客主任）服务不错！', '短评打分': 5}
{'短评内容': '小汪（宾客主任）服务很好！', '短评打分': 5}
{'短评内容': '很赞，宾客主任小汪还帮我还升级了房间', '短评打分': 5}
{'短评内容': '小汪服务较好 大堂看着很新', '短评打分': 5}
{'短评内容': '还不错，大堂很大，一楼是餐厅，负一楼有免费的健身和游泳池，我们定的标间，面积蛮大的，网上订的发票得找订票公司开，不能现场开', '短评打分': 5}
{'短评内容': '没的说，强烈推荐。酒店生意越来越好了，现在早餐区都经常满座了', '短评打分': 5}
{'短评内容': '杭州湾最好的酒店，没有之一。以后我家房子也像这个酒店这么装修。住着太舒服了', '短评打分': 5}
{'短评内容': '没的说，酒店一如既往的让人满意', '短评打分': 5}
{'短评内容': '一次订了4个房间，中午1点check-in不成功，需要再等待两个小时！第二次3点check-in，成功2个房间，并升级一间到高级套房，同时被告知，另外两件需要再两个小时，也是无语了！再次等待2个小时才成功入住！堪称波折！\n酒店硬件设施可以，符合五星标准，前台服务需要提高！早餐还算可以，基本能满足大众口味！checkout很方便', '短评打分': 5}
{'短评内容': '每次都住这个酒店，很不错！不过酒店生意越来越好了，现在不提前预定都没有房间的', '短评打分': 5}
{'短评内容': '不错嘛呢嘛呢', '短评打分': 5}
{'短评内容': '酒店房间没的说，就是生意越来越好了，前台有时候退房太慢', '短评打分': 5}
{'短评内容': '一直都是住这里，没的说', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店还不错，除了游泳池没有开放，其他的还行！', '短评打分': 5}
{'短评内容': '酒店还不错，除了游泳池没有开放，其他的还行！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '最喜欢的酒店，睡着特别舒服', '短评打分': 5}
{'短评内容': '还可以吧，喜欢京东', '短评打分': 5}
{'短评内容': '很喜欢   订房很快  房间很不错 服务很周到', '短评打分': 5}
{'短评内容': '酒店不错！！！', '短评打分': 5}
{'短评内容': '房间面积很大，落地窗视野也很好，卫生间的下沉式浴缸看上去很令人放松。但是，床和枕头太软，并不十分舒服；去温泉世界没有定点的接驳车，需要专门跟酒店前台说一下。', '短评打分': 5}
{'短评内容': '酒店整体环境不错，安静，房间干净整洁温馨，早餐78也不错，附近有购物广场吃饭购物方便，人不多不少，带温泉票房价性价比不错的酒店', '短评打分': 5}
{'短评内容': '挺好的，挺好的', '短评打分': 5}
{'短评内容': '环境很好  带着一家人  买房那钥匙  住了一晚  很棒', '短评打分': 5}
{'短评内容': '去湿地公园玩，选择了这家最近的。酒店大堂已装点成圣诞节气息，房间和服务都不错，周边有美食街，夜宵不愁，总体感觉很好！', '短评打分': 5}
{'短评内容': '很好……', '短评打分': 5}
{'短评内容': '好房，好贵，好服务', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '离吉利动力总成公司很近，去那儿办事所以订在这里，世纪金源还是一贯的高性价比，房间大且不贵，设施也很不错。酒店停车也很方便，总体来说这次入住很满意。', '短评打分': 5}
{'短评内容': '房间挺好的，挺大，干净豪华。是这个位置不错的酒店', '短评打分': 5}
{'短评内容': '不错，每次都住，习惯了，', '短评打分': 5}
{'短评内容': '啥都挺好的，有5星标准。但是周边实在一般……没有高大上，但是一般生活需求也够了', '短评打分': 5}
