{'短评内容': '确实订上了 考记者证 离学校挺近的。但是住宿条件真的很一般 服务态度很好 很热情 总之 这个价位也是值的', '短评打分': 3}
{'短评内容': '一般吧 我们住的屋卫生间连个门都没有 无语了 但是吧台的姐姐服务态度挺好的很喜欢', '短评打分': 3}
{'短评内容': '很不错，服务很好，入住手续简单。停车场有点小。环境没得说很棒，早上起来还能在酒店里走走如果春天去应该更棒', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '房间老旧，服务差。', '短评打分': 5}
{'短评内容': '只能说一般，除了地方大点。。设施老旧', '短评打分': 4}
{'短评内容': '卫生间没有门', '短评打分': 4}
{'短评内容': '早餐到八点半结束，有点早…', '短评打分': 4}
{'短评内容': '该酒店环境挺好的，让人很轻松，很舒服的意境', '短评打分': 5}
{'短评内容': '环境挺好的，也很安静', '短评打分': 5}
{'短评内容': '给他们定的。不错各方面。', '短评打分': 5}
{'短评内容': '距离经十路很近，有停车场。交通方便，楼下有超市。晚上路边有烧烤，较嘈杂。酒店服务态度一般，没有电梯。', '短评打分': 3}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '来培训一直住这里，环境不错，很干净', '短评打分': 5}
{'短评内容': '卫生间排风扇不能用，有下水道异味，马桶座便器盖小一圈，别的还好。', '短评打分': 5}
{'短评内容': '下次不会选择，太一般了，房间很冷啊！', '短评打分': 1}
{'短评内容': '环境很安静，交通便利，服务很亲切！', '短评打分': 5}
{'短评内容': '交通便利，紧靠经十路，环境优雅，服务热情', '短评打分': 5}
{'短评内容': '服务不错，环境也不错啊。吃饭也方便。周围大型超市和医院都有。很方便。', '短评打分': 5}
{'短评内容': '在这家酒店办的喜宴，非常实惠啊，很好吃，环境很优美，在槐荫区很出名呢，住宿也很好，总之非常满意', '短评打分': 5}
{'短评内容': '不好意思，评论晚了。酒店环境很好，价格合适140元带早餐，前台大姐服务很好，下次去济南还住这里。', '短评打分': 5}
{'短评内容': '装修时间较久，较陈旧，有的马桶盖已坏，空调外机声音较大，但服务员态度还可以', '短评打分': 1}
{'短评内容': '挺好的，就是有点旧，房门的锁还坏了，不过整体来说还可以。挺安静', '短评打分': 5}
{'短评内容': '古色古香的风格，楼层不高，很舒适。前依经十路，交通方便，挺好。', '短评打分': 5}
{'短评内容': '酒店地理位置不错', '短评打分': 3}
{'短评内容': '宾馆服务很好地理位置优越  ', '短评打分': 3}
{'短评内容': '因为考试才去的，客房不在主干道上所以很安静，休息的很好。', '短评打分': 5}
{'短评内容': '环境很不错，房间有一种古朴美，很有特色，虽然在繁华的经十路，但是很宁静。', '短评打分': 3}
{'短评内容': '可以，服务不错，交通方便！下次去济南还会光顾 。\n', '短评打分': 5}
{'短评内容': '还可以吧，就是房间不是太大，还有就是卫生间该重新装修了，这都那个年代的了，其他还可以。', '短评打分': 5}
{'短评内容': '很不错的地方，只是早餐是不是有待提高一下，经十路，经七路西口。', '短评打分': 5}
{'短评内容': '很好没影响考试  环境也行 还送早餐很好没影响考试  环境也行 还送早餐', '短评打分': 5}
{'短评内容': '环境很优美 服务态度很好 很给力 下次还来 ', '短评打分': 5}
{'短评内容': '酒店服务周到、房间设施摆放合理，性价比较高。', '短评打分': 5}
{'短评内容': '房子不是很新，但是装修还不错，有小闹钟，很贴心。最值得表扬的是前台的一位美女，办理入住手续时，一个大嫂说108收拾好了可以住，前台美女说，还是让她住308吧，她是来考试的，一楼有点吵。我根本没说我是去考试的，她就能根据经验推断出来，我当时就觉得很温暖~~', '短评打分': 5}
{'短评内容': '服务挺好的，就是早餐的自助样数有点少，餐厅也小。其他条件都不错，值得推荐。', '短评打分': 5}
{'短评内容': '强烈推荐 昨天由于没法在网上订 本来想住七天的 电话订房时七天的预订员，态度非常恶劣 于是通过电话订了桃花源 接待的大姐态度很好 在下着小雨的夜晚 让人感觉很温馨 房间住的单人间 电视能收到好多台 100多个吧 比160有网线的好很多 早餐免费很丰富 ', '短评打分': 5}
{'短评内容': '房间太小了，并且房间地面很脏，床下还有塑料袋，服务还可以，不过不能延时退房，接听电话语气不好', '短评打分': 1}
{'短评内容': '设施陈旧，淋浴还不好使。。。绝对不会再去了', '短评打分': 1}
{'短评内容': '满意，很满意。服务满5分，打5分。有机会还会光顾', '短评打分': 5}
{'短评内容': '房间不错,价格也不贵,很好!', '短评打分': 3}
