{'短评内容': '离客户近。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离客户近。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位于辽河西路近金马路，距离金马路步行街走路约10分钟。离五彩城非常近。五彩城都是各种日料和居酒屋。酒店以日本客人为主，马桶是智能马桶盖，带浴缸。唯独酒店设施很老，需要更新换代了。服务还是可以的', '短评打分': 5}
{'短评内容': '酒店很旧了，外面大厅和餐厅还行，有日本料理啊什么的，房间里面实在太旧，复古了', '短评打分': 5}
{'短评内容': '地理位置优越，设施完善，服务周到。环境卫生。是我们为客户和供应商预订酒店的最佳选择。 地理位置优越，设施完善，服务周到。环境卫生。是我们为客户和供应商预订酒店的最佳选择。 地理位置优越，设施完善，服务周到。环境卫生。是我们为客户和供应商预订酒店的最佳选择。', '短评打分': 5}
{'短评内容': '酒店环境非常不错， ', '短评打分': 5}
{'短评内容': '早餐很不错', '短评打分': 4}
{'短评内容': '不错吧！希望能保持！', '短评打分': 3}
{'短评内容': '设施老旧', '短评打分': 4}
{'短评内容': '临近市区，装修偏旧，酒店性价比还行', '短评打分': 4}
{'短评内容': '位处开发区商业区， 房间安静。', '短评打分': 4}
{'短评内容': '日本风格，房间小', '短评打分': 5}
{'短评内容': '在携程上定的，结果前台不知道，以前入住因为是常客所以都没有收押金，这次却要求必须得交押金，语气强硬，感觉突然没了以前的笑容和人情味，挺失望。', '短评打分': 4}
{'短评内容': '酒店很干净，服务也很好，交通方便', '短评打分': 4}
{'短评内容': '酒店设施较陈旧了，空调不给力', '短评打分': 4}
