{'短评内容': '转机时入住，很一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店已经不营业了，把旅客转到别的酒店，靠铁道特别近，晚上吵死了，差评', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '服务很好，很周到。晚上两点多还过来接机。', '短评打分': 5}
{'短评内容': '服务很热情', '短评打分': 3}
{'短评内容': '非常安静也干净的家庭旅馆，老板特保热情，不仅免费接机，还免费送我去火车站，强烈推荐，实惠服务到位', '短评打分': 3}
{'短评内容': ' 环境是在小区内很是安静 宾馆来回接送 服务态度非常好 帮拎行李 从顾客角度安排住宿 室内装修齐全周到 有无线网上 速度良好', '短评打分': 3}
{'短评内容': '这个宾馆离机场很近才二三公里，近的话老板还会派车去接，没有飞机的吵扰声，在一个小区内挺安静和谐的，附近饭馆、超市、公交都有的。老板是福建的叔侄俩，人非常热情，宾馆4月才开张，虽然小但干净整洁、朴素宁静。我在那儿住了两天，他们把我当成兄弟一般，天南海北地侃，吃不惯面食的我还被邀请去他们家喝的粥。常言道，在外靠朋友，我很高兴认识他们。提醒大家在乌鲁木齐住的话，一定要住在汉人聚居的地方，以保证人身安全。', '短评打分': 5}
{'短评内容': '老板的服务态度不错，免费接机，房间也干净整洁', '短评打分': 3}
{'短评内容': '家庭宾馆，舒服、安全，最重要是接机，接站，早晚到乌鲁木齐都方便，更难得的是小老板热情、服务态度超好，谢谢。', '短评打分': 5}
{'短评内容': '简单的家庭旅馆，离机场超近，整洁干净，适合转机休息。', '短评打分': 3}
