{'短评内容': 'ok。有正规花票，适合单人出差报销用。', '短评打分': 4}
{'短评内容': '老酒店了，凑合着住，住了好几天了还没吃到早餐，好早结束', '短评打分': 3}
{'短评内容': '很差，卫生条件不好，周边吵闹，一宿都睡不安宁，早点虽然是赠送的，但很脏，也不好吃。', '短评打分': 1}
{'短评内容': '周边环境方便,价格实惠,但早餐较差,酒店设施较老旧.', '短评打分': 5}
{'短评内容': '太失望了简直，台湾饭店也算比较老牌的酒店了，没想到如此差劲。房间旧点也没什么，毕竟酒店也开了这么多年，可是一进房间就是一股霉味，厕所里还有蟑螂，太恶心了，以后再也不会住这家酒店了', '短评打分': 1}
{'短评内容': '一般很一般，还是什么豪华大床房，跟别的酒店普通房一样摆设，面积还小，服务员不诚实。', '短评打分': 3}
{'短评内容': '工作人员服务态度比较好，热情周到。且处于交通便利位置、办事、出行方便，账单结算快捷；酒店内部设施比较陈旧，应考虑从新装修。给顾客提供更好的入住环境。', '短评打分': 5}
{'短评内容': '\n酒店设施有点陈旧，床单不太干净，但价格还算实惠还含早餐，早餐还是不错的。', '短评打分': 5}
{'短评内容': '客房及早餐廳衛生條件不佳,整體感覺老舊,發霉味很重', '短评打分': 1}
{'短评内容': '地点还好吧，只是设备实在是旧，另外，就是相对同类酒店，价格还是有点高啊。', '短评打分': 1}
{'短评内容': '房间进去是有霉味的，网络是不行的，淋浴喷头是坏的，总之很烂。', '短评打分': 1}
{'短评内容': '酒店比较老，设施有点陈旧，但交通还算方便，早餐也可以，但不提供正餐。', '短评打分': 5}
{'短评内容': '定了间标间 ，挺不错的。提一点小小的意见：隔音的效果还要再加强些', '短评打分': 5}
{'短评内容': '酒店还是不错的，并且有专门提示房客要注意外面一些推销人员的广告和所谓的上门服务，很好的提醒，这一点这家酒店是做的不错的。里面的设施看起来是老气了点，不过作为是住宿的话是足够了。我觉得不错的，很好。', '短评打分': 5}
{'短评内容': '走进房间感觉有种很陈旧的感觉，有数字电视、空调、热水器。浴室里水龙头都生锈了，入住的时候连牙刷、牙膏之类的都没有，感觉很简陋。', '短评打分': 1}
{'短评内容': '酒店地处闹市区，周边出行方便，旁边有个酒吧也可以娱乐一下，这家酒店性价比蛮高的，房间装修的很到位，服务好，周边环境很不错', '短评打分': 5}
{'短评内容': '酒店在火车站附近，周边交通出行很方便，有停车场，停车方便，房间卫生条件很好，干净整洁，前台服务员很客气的', '短评打分': 5}
{'短评内容': '房间硬件设施很齐全，空调电视都有，服务不错，前台服务员热情周到，周边环境很不错，出行方便', '短评打分': 5}
{'短评内容': '酒店位置还可以，门口打车坐公交都很方便，住宿条件很好，房间干净整洁，硬件设施齐全，住宿条件还好', '短评打分': 3}
{'短评内容': '房间硬件设施很齐全的，电视清晰度很好的，服务员态度周到热情，房间布置的温馨，床品很好，睡着很舒服，早餐很不错，较丰盛，住宿条件不错', '短评打分': 5}
{'短评内容': '酒店服务态度不错，房间装修的比较一般，隔音效果很好，周边交通出行方便，停车也很方便', '短评打分': 3}
{'短评内容': '位置好，出行方便，房间舒适度不错，卫生条件优越，住着很放心', '短评打分': 5}
{'短评内容': '性价比很好的酒店，服务不错，房间硬件设施齐全，卫生条件很好，周边出行方便，住宿环境很好', '短评打分': 5}
{'短评内容': '性价比很高的酒店，位置不错，就在市中心，周边交通出行很方便，房间还是很大的，旁边有个大超市，购物方便，住宿环境蛮好', '短评打分': 5}
{'短评内容': '酒店地处市中心，楼下就有公交车站，周边出行蛮方便的，超市就在酒店边上，购物很方便，房间隔音效果很好，服务人员挺热情周到的', '短评打分': 5}
