{'短评内容': '整体很好，前台姐姐服务很热情，但周围环境太吵～', '短评打分': 4}
{'短评内容': '老顾客了 希望继续加油', '短评打分': 5}
{'短评内容': '满意！', '短评打分': 5}
{'短评内容': '还好，不错，好。', '短评打分': 5}
{'短评内容': '真是骗子啊！这是假汉庭酒店啊！在网上预订竟然不可退！真是垃圾！千万不要再上当了！', '短评打分': 2}
{'短评内容': '这个汉庭不是全国连锁汉庭，我就上当了', '短评打分': 3}
{'短评内容': '符合这个价钱', '短评打分': 3}
{'短评内容': '这个价钱也就这样', '短评打分': 3}
{'短评内容': '挺好的，有电脑，条件可以', '短评打分': 3}
{'短评内容': '条件挺好的服务也很好', '短评打分': 3}
{'短评内容': '服务好，温馨如家，环境优雅', '短评打分': 3}
{'短评内容': '酒店一般，是个老酒店，整个管理显得很乱。预定酒店后一直催我们交预付款，说红叶节人会很多，实际因红叶还不到时候，没有并多少旅客入住。我们入住后，当地还陆陆续续有零星入住者，价钱都比我预定的要低。有上当的感觉，让人有缺乏诚信的感觉。', '短评打分': 3}
{'短评内容': '环境位置都不错', '短评打分': 5}
