{'descr': '服务很好', 'star': 5}
{'descr': '好好干，。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常不错，一如既往', 'star': 5}
{'descr': '服务态度特别好，房间干净', 'star': 5}
{'descr': '价格便宜，质量很好，有优惠还会再来的。', 'star': 5}
{'descr': '特别干净，服务态度好！', 'star': 5}
{'descr': '不错，性价比高。', 'star': 4}
{'descr': 'Hotel is located in front of Yichun bus station.  Rooms are pretty good.  Staff is so cooperative. In winter room are warm that makes feel good inside the room.  Nearly you can find the market and lot', 'star': 4}
{'descr': '房间干净整洁！服务好！', 'star': 5}
{'descr': '房间不错，就是隔音效果不怎么好', 'star': 5}
{'descr': '酒店地理位置很好，交通方便，出行方便，离办事地点很近，酒店工作人员服务态度很好，很热情，房间干净卫生，阳光充足，洗漱用品还可以。', 'star': 4}
{'descr': '酒店不错，就是房间小了点', 'star': 5}
{'descr': '环境优雅，服务到位，', 'star': 5}
{'descr': '自助游还是优先选择连锁酒店，离车站很近，去观塔要打车过去，淡季没门票，其实蛮不错的，我对168比较有好感，相对其他连锁占优，推荐~', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '环境不错，干净快捷！', 'star': 5}
{'descr': '酒店干净良好.', 'star': 3}
{'descr': '还行，提前给我打电话问了什么时候来呢 所以还是很好 市中心的位置', 'star': 5}
{'descr': '酒店还有错.\n卫生间门的开关方向及洗手池的位置相互打架;小尺寸的老式电视机可以无序地在黑白和彩色之间转换;\n空间不错;\n价位太不合理,可能是将伊春也划入了旅游城市的缘故.', 'star': 5}
{'descr': '＋服務不錯', 'star': 3}
{'descr': '环境还不错，也挺干净的。服务质量有待提高···', 'star': 5}
{'descr': '真的很好，比北京的如家还好，只不过网速不给力，洗发膏不好，嘿嘿', 'star': 5}
{'descr': '卫生环境服务都堪称一流。性价比很高。', 'star': 3}
{'descr': '衛生不錯，房間有點小，位置很好出行很方便。', 'star': 5}
{'descr': '还不错。可以的价格合适吧。如家住的都还可以的', 'star': 5}
{'descr': '很不错，就是停车不太方便！综合来讲在伊春这个地方有如家的存在已经让人感觉很欣慰了，感谢如家！', 'star': 5}
{'descr': '不管在什么地方，如家酒店都是放心又实惠的选择。', 'star': 5}
{'descr': '性价比非常高，地理位置也好，就是在路边，有点吵。', 'star': 5}
{'descr': '位置不错，走几步就到步行街了，环境可以。', 'star': 5}
{'descr': '房间不错。就是有点小。光线太暗。靠近路边。比较吵。其他都还行。', 'star': 3}
{'descr': '干净、快捷、舒适、经济、服务好。', 'star': 3}
{'descr': '坐七路公交车直接到酒店，过马路就可，酒店提供早餐。', 'star': 5}
{'descr': '环境和价格还是可以的。可惜就是没有午餐和晚餐！', 'star': 5}
{'descr': '很干净,离车站近方便,但早餐品种少.', 'star': 3}
{'descr': '酒店离车站很近，斜对面，出差很方便，很干净，下次还住。', 'star': 5}
{'descr': '冬天入住,房间冷,没地毯,坐着上网冻脚,空调因为室外低温无法使用,但是大厅的就可以使用,房间总体感觉拥挤的厉害.', 'star': 1}
{'descr': '环境挺好 要是有电脑没有蟑螂就更好了', 'star': 3}
{'descr': '很满意，房间整洁干净，服务不错。但结账时没赠送优惠劵呢？', 'star': 5}
{'descr': '还不错，很干净！', 'star': 3}
{'descr': '干净舒适,设施齐全,环境优雅!非常满意!', 'star': 3}
{'descr': '非常不错,就在长途客运站旁边,服务人员态度也很好,只是早餐的品种相对少了些~!', 'star': 5}
{'descr': '性价比很高，酒店房间一开始进入有一股消毒水的味道（酸性消毒水），建议更换刺激性味道较低的消毒药水，其余地方均满意。', 'star': 5}
{'descr': '伊春不大，如家属于正规级别的酒店，在当地算好的了，也没有太多的选择\n\n地理位置还算可以，但伊春也就那么大\n\n但里面的设备环境就很一般，卫生还算干净整洁，就是AP不能使用，在其他地方的如家都可以，就这家不行，入住的人还挺多的。\n\n但这个价位在伊春的消费水平来说，算贵了', 'star': 5}
{'descr': '酒店干净舒适', 'star': 3}
{'descr': '酒店外边太乱，大货车的停车和修理都在楼下，噪音很大，脏乱！屋内也不知道什么原因，很潮。真的需要好好改进！', 'star': 1}
{'descr': '好', 'star': 3}
{'descr': '没订到标间，只好订了1间大床房，小了点，但很干净。不错', 'star': 5}
{'descr': '我喜欢这家酒店，非常不错的一家酒店，环境优美……', 'star': 5}
{'descr': '干净，交通方便\n会想朋友推荐，\n下次来，还到这里。', 'star': 5}
{'descr': '位置距离主要街道稍微远些，但伊春很小，尤其适合乘长途车的人。房间很大，很舒服，值得推荐，就是餐厅基本没有经营很遗憾。其他都不错。', 'star': 5}
{'descr': '酒店不错', 'star': 3}
{'descr': '位置很好，离客运站和火车站都很近，值得推荐', 'star': 5}
{'descr': '房间干净，设施也不错。离步行街不远，客运站就在斜对面！', 'star': 5}
{'descr': '环境挺好的  还挺干净的 而且还有网线  可以的  ', 'star': 5}
{'descr': '酒店是新建的，非常干净整洁，房间很大，热水很充总，与其他城市的如家一样，给人家的温暖。', 'star': 3}
{'descr': '干净、服务周到、暖气很足、在汽车站不远，交通方便，离闹市很近。', 'star': 5}
{'descr': '房间干净，设施不错，性价比较高，如果有含早餐就更换了。', 'star': 5}
{'descr': '酒店整体来讲还算及格，室内的硬件设施一般化，不过位置很好很方便出行.整体条件还不错.', 'star': 3}
