{'短评内容': '还可以挺不错的', '短评打分': 5}
{'短评内容': '总体感觉还可以，但是就是有点旧了，房间的杂物希望下次再住的时候可以拿掉，不要把房间当成仓库，本来都是没用的东西了', '短评打分': 4}
{'短评内容': '位置还可以，服务一般！', '短评打分': 4}
{'短评内容': '无早餐，位置方便，有停车场，不能加床', '短评打分': 4}
{'短评内容': '无早餐，是老式公寓房家具陈旧', '短评打分': 3}
{'短评内容': '房间很温馨很干净，房内没有异味', '短评打分': 5}
{'短评内容': '1111111111122222', '短评打分': 5}
{'短评内容': '房间有异味，其他还是很好的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '离客户单位非常近，价格也便宜。出差住还可以。标准化。', '短评打分': 5}
{'短评内容': '公寓式的酒店，设施都全面，就是比较旧。性价比不算很高。地段好，楼层高。', '短评打分': 3}
{'短评内容': '房间设施齐全不错，就是有点老了。', '短评打分': 4}
{'短评内容': '经常来', '短评打分': 3}
{'短评内容': '第二次入住服务很热情', '短评打分': 3}
{'短评内容': '设施旧了些', '短评打分': 5}
{'短评内容': '房间不错，干净整洁，设施齐全', '短评打分': 3}
