{'短评内容': '几时退担保', '短评打分': 1}
{'短评内容': '房间还不错，卫生也干净，就是隔音不是很好。', '短评打分': 3}
{'短评内容': '8月10日定12日入住，因为天气缘故，提前到11日入住，网上改签很方便。晚上6点前到酒店，入住很方便，店家葬送雨衣和地图，挺客气的，还能免费停车。推荐！', '短评打分': 3}
{'短评内容': '很好，价格公道，老板服务还行', '短评打分': 3}
{'短评内容': '网上预订150元/人，一家三口450元，现场入住收了300元，返现68元，实付232元。就餐遇一家三口同店入住，仅付160元！预订后担保入住，如不入住450直接划走，少了选择权！如实评述，自己比较！个人不推荐用艺龙来预订，其他类似网站要便宜许多！', '短评打分': 3}
{'短评内容': '去的时候有下雨，老板去接的我们，老板人特别好，很热情，给地图，雨衣还有登山仗，住的环境很好，早晨起来空气好清新，非常不错，爬黄山建议住着里。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '老板人特别好，做错站了他会派自家车过来接我们。一入住就送我们雨衣和拐杖，比我们想象都要周到。晚上还会询问我们今天是否开心，推荐大学生散客入住！~', '短评打分': 5}
{'短评内容': '房间很大，老板赠送了我登山的雨衣和拐杖，很派得上用场，还帮我联系到翡翠谷的车等等，觉得热心，亲切。感谢了。', '短评打分': 5}
