{'descr': '挺好的，房间很舒适 空间很大  也不吵杂  总之就是很好  又不贵~！', 'star': 5}
{'descr': '特价房的环境确实不怎么样....而且脚臭味比较重...地理位置还行吧  感觉就是吃的比较少！', 'star': 1}
{'descr': '酒店位置挺好的', 'star': 3}
{'descr': '价格合理…但是房间气味比较重，希望加强卫生管理的监督。', 'star': 3}
{'descr': '距离会场近，所以选择了。卫生、服务、设备都还行。', 'star': 5}
{'descr': '距离会场比较近，卫生、环境、服务都还行。', 'star': 5}
{'descr': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', 'star': 5}
{'descr': '房间还算宽敞，服务也还行。就是阴雨天房间一股味，受不了。电视机有的台不清楚或者没声音。建议把细节做到位。', 'star': 1}
{'descr': '设施陈旧，条件很一般，不推荐…', 'star': 3}
{'descr': '房间有点小，不过是在市区，总体还不错，就是早上外边有施工的有点吵。', 'star': 5}
{'descr': '还行，酒店在市中心，离市政府比较近，但是有点吵', 'star': 5}
{'descr': '很不错！价钱很公道，房间比其他的大多了，窗户也很大。房间设施也很好，反正在这个繁华地段，算是非常划算的呢！走两百米就是商业街。下次去昆山也要住这家，呵呵。', 'star': 5}
{'descr': '房间一股味 ，特别是阴雨天。 靠近闹市区，不是很安静 。  ', 'star': 1}
{'descr': '不错比其他几家莫泰都要好', 'star': 3}
{'descr': '本来预订的是大床房A，到店后没有大床房了，免费升级成家庭房。很开心，酒店位置还好，离大屯路东地铁站不算太远，除了酒店旁边的成都小吃挺好吃的，晚饭午饭都跟那里解决的，挺好吃的还不贵。', 'star': 5}
{'descr': '交通方便，隔音太差', 'star': 3}
{'descr': '去昆山一直住这家酒店，靠人民路好、购物方便，酒店普遍的河不错！休闲好去处！', 'star': 5}
{'descr': '地处闹市区，周围环境有点小吵，但房间非常宽敞及整洁，还算不错的', 'star': 5}
{'descr': '在格林联盟（亚运村）住了两晚，住宿环境和工作人员的态度都很好，下次去北京该选这家', 'star': 3}
{'descr': '总体还可以，但是电视不是数字电视，房间电话不能用，好像最近酒店附近在装修还是修路，早上5点多就有点吵没法睡', 'star': 3}
{'descr': '前台有点小，房间也有点小，不过两个人住的话够的，不知道是运气好还是本来就没这么差，反正是没碰到极品的事，价格相对周边的酒店来说便宜很多，性价比比较高，离鸟巢大概走了二十来分钟，不错，看完演唱会也不用赶地铁。', 'star': 5}
{'descr': '交通方便 在市区附近 干净 但是隔音不太好 几次去都是住的这里', 'star': 5}
{'descr': '第二次入住了，很好', 'star': 3}
{'descr': '很好,豪华大床房的床很大,很适合居住.下次会继续来的.', 'star': 5}
{'descr': '莫泰的特价房比其他的经济型酒店的特价房好太多了 第一次住莫泰印象很好', 'star': 5}
{'descr': '卫生实惠，很满意！', 'star': 3}
{'descr': '环境、卫生、服务、设施都很普通，一般般；房间有点下水道的异味', 'star': 1}
{'descr': '我订的意式温馨房，房间很好，很大，设施齐全，有浴缸，也有淋浴的，还有蒸桑拿的，圆床挺大。早上还有送早餐。\r\n房间有点冷，空调还行；水龙头都是一个调热水一个调凉水，很**，这种设计根本不如左右热水冷水那种好；还有，刚进去马桶跟浴缸那里地上还有水，没清理干净，淋浴那个用完也会使马桶旁边地上有水，上厕所的时候会踩到水，感觉很恶心。\r\n虽然有一些小不足，但这个酒店还是很让我满意的，350那个法式浪漫房小一', 'star': 1}
{'descr': '我去的时候服务员还在打扫房间，感觉不好。总体环境一般，服务一般，房间比较小。', 'star': 5}
{'descr': '住的是家庭房，环境不错。就是没有电脑有点不方便。', 'star': 5}
{'descr': ' 环境服务不错', 'star': 3}
{'descr': '不错很不错 送餐过于简单 很不错的酒店 有点小贵', 'star': 5}
{'descr': '退房後不像其他星級酒店可寄放物品，未達服務至上理念，有待改善\n早餐尚可，酒店設施一般', 'star': 1}
{'descr': '我提前一周预定的是大床房，但到我住的那天去办手续时被告知没有大床房，只有一间标间可住，令我哭笑不得。预定还有什么意义？\n价格在这个地区还算便宜，也还算较干净。', 'star': 5}
{'descr': '还不错 284元能住复式的酒店', 'star': 3}
{'descr': '价格不贵，位置很好，简约卫生，设施一般，服务还行', 'star': 5}
{'descr': '住这家酒店是不错的选择，作为应急需要，每次都很方便。地理位置好找，周边餐饮方便，离地铁稍远点，卫生也可以，我还会推荐朋友住这家\n', 'star': 5}
{'descr': '洒店很温馨，感觉不错，早餐会送到房间，只是有点凉', 'star': 5}
{'descr': '房间还算干净但较小，价格不便宜，热水忽冷忽热。', 'star': 1}
{'descr': '住的是家庭房，是那种装修成错层的，楼上住人，楼下是客厅和洗手间。楼下客厅有沙发、衣柜、电视。沙发可以坐三个成年人。楼上房间是两张床，一大床一小床，床还比较舒服。总体还比较方便干净。感觉北京的服务员没有南方的服务员好。打车到鸟巢、国家会议中心就是起步价，步行也就30分钟，非常方便。', 'star': 5}
{'descr': '周围饮食和出行是它的优势。服务也还可以。但酒店管理有严重问题：1、产品不合格——在房间里发现了不下10只小强（俗称蟑螂），有图有真相，卫生间聚餐就算了，床头柜也发现了，算是锻炼了我一把。2、培训不到位——一早结帐时，善意提醒前台有关小强的问题，只是一个简单的道歉，没有其它任何营销服务补救举措，好在我也没有期待，结完帐就去赶飞机了。4、运维不完善——晚上有客人大声喧哗，隔音不好，也没有服务人员提醒；', 'star': 1}
{'descr': '当时为了去鸟巢方便选择了这家，到了后比起七天或汉庭比门脸太小，没有早点，还好就是隔壁是家成都小吃，住的内部还可以，', 'star': 1}
{'descr': '非常满意，房间很干净，位置也不错，周围一条街都是饭店，就是价钱稍贵，嘿嘿', 'star': 3}
{'descr': '先说好的，离国家会议中心近，吃饭的地儿也挺多的。差的就多了，装修旧，地毯那个脏那个破啊，进门还有一股怪味儿，最恶心的是厕所还时不时又臭味儿，淋浴没有隔断，和马桶一起的，洗漱工具特别简陋。还有最夸张的是，第一天入住，上完大号发现没有纸，洗澡没有发现沐浴露和洗发水。。。（这也是替同事定的）', 'star': 1}
{'descr': '先说好的，离国家会议中心近，吃饭的地儿也挺多的。差的就多了，装修旧，地毯那个脏那个破啊，进门还有一股怪味儿，最恶心的是厕所还时不时又臭味儿，淋浴没有隔断，和马桶一起的，洗漱工具特别简陋。（这是替同事定的）', 'star': 1}
{'descr': '先说好的，离国家会议中心近，吃饭的地儿也挺多的。差的就多了，装修旧，地毯那个脏那个破啊，进门还有一股怪味儿，最恶心的是厕所还时不时又臭味儿，淋浴没有隔断，和马桶一起的，洗漱工具特别简陋。还有最夸张的是，第一天入住，上完大号发现没有纸，洗澡没有发现沐浴露和洗发水。。。', 'star': 1}
{'descr': '来北京出差住在这里，门外停车的地方太少了，按照宾馆人员的话把车停在门口，车门被钥匙划了，很是郁闷，附近吃饭倒是比较方便，下次不会住在这里了。', 'star': 1}
{'descr': '卫生还可以，但没有餐厅', 'star': 3}
{'descr': '多次入住，经济实惠，干净整洁，值得推荐。我公司客户来京一般都会定格林豪泰。地理位置也不错，周边环境便利。', 'star': 5}
{'descr': '总体还可以的：洗浴间干净，但是座便器的垫子不好用。通风不错，就是没有纱窗。床挺干净、舒服。其它还有就是服务态度比较好。酒店名称能不能统一一下，本来就不好记，还弄了两个名字，我认为这是入住人少的一个原因。酒店位置不是太明显。附近吃饭购物均较方便，可以一住。', 'star': 5}
{'descr': '客房虽然少，里面很精志，圆床、大卫生间，带桑拿。', 'star': 3}
{'descr': '2011年8月23日在网上预订了4个房间，最晚入住时间是2011年18：00，按照预订的时间到了，酒店却说只有两个房间。如此不讲信用的酒店不能关顾，没有信用。', 'star': 1}
{'descr': '虽然那个地段的价位算是很便宜，但房间陈设未免太陈旧了，浴室不是很满意', 'star': 1}
{'descr': '房间设施一般，装修也比较旧，但服务员态度很好，也比较干净。', 'star': 5}
{'descr': '很好，比有的所谓几星得都好，值得一住，顶顶！', 'star': 5}
{'descr': '房间比较干净，但标间有点小，服务基本满意，但本人入住期间正逢北京连降暴雨，想借把雨伞出门都没有，另该地段打车不太好打，每次出门平均要花半小时才能打到车', 'star': 5}
{'descr': '以前都是住亲戚家，但每次多少会打扰到他们，现在选择这家，方便多了，而且蛮实惠的，好几次入住了', 'star': 5}
{'descr': 'Reasonable Hotel.  Just a few blocks from my home.  I will recommend to my friends to stay there again', 'star': 5}
{'descr': '离地铁站有一段距离，但是门口有好几个饭馆还有一个游戏厅。离鸟巢非常方便，走路大概20分钟，打车起步价就到。', 'star': 5}
{'descr': '網路速度太慢了，做為現代人，網路速度太慢是會讓人受不了的。就是因為網路太慢所以我才會酒店住宿的。連大陸最流行的QQ登入花了半個小時也登不上去，登上去還會被斷訊', 'star': 1}
{'descr': '。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '地段不错。。。窗口看出去景色也不错。。。交通也很方便，逛马路方便。。。', 'star': 5}
{'descr': '我是第二次入住此宾馆，比较满意，值得推荐', 'star': 3}
{'descr': '宾馆内条件一般 周围饭店商场林立 交通便利', 'star': 3}
{'descr': '在市区，比较方便，但是在巷子里位置难找，建议打电话询问，另外可以要求住高的楼层这样不会很吵！房间的卫生间比较旧，其余还可以', 'star': 5}
{'descr': '距离鸟巢很近，就餐也很方便，房间干净，服务也不错。', 'star': 5}
{'descr': '不错  挺好的  靠近市区 交通方便  希望在房间内可以备些食物', 'star': 5}
{'descr': '很好，谢谢！', 'star': 3}
{'descr': '环境不错，周围也比较方便，房间小点，不过价格在亚运村这块算不错的', 'star': 5}
{'descr': '基本还不错，就我住的那间卫生间正上方房间好像漏水...还有就是洗脸池是堵的', 'star': 5}
{'descr': '房间太小了', 'star': 3}
{'descr': '酒店还不错,周边餐馆很多,离鸟巢很近,步行15分钟!', 'star': 3}
{'descr': '好象有点老 不象莫泰的风格。不太方便好象有点老 不象莫泰的风格。不太方便好象有点老 不象莫泰的风格。不太方便', 'star': 5}
{'descr': '环境略差 不是很满意', 'star': 3}
{'descr': '房间很好，我们订的家庭房，儿子很喜欢。下次还会再去滴。', 'star': 5}
{'descr': '位置不错就是不太好找，房间比较满意', 'star': 3}
{'descr': '整体环境不错，就是空调声音有点大,还有房间应该进行杀虫了，小飞虫比较多', 'star': 5}
{'descr': '比较靠近展馆，性价比不高，有异味，卫生间有虫子希望准备入住者好好考虑', 'star': 1}
{'descr': '，酒店不错', 'star': 3}
{'descr': '环境还不错', 'star': 3}
{'descr': '很好的酒店价格合适，环境舒适', 'star': 3}
{'descr': '比较舒适、干净 。第二天17号离店后，向同行推荐，19号她们订了20间房。', 'star': 5}
{'descr': ' 酒店很干净，性价比高，交通方便', 'star': 3}
{'descr': '我昨晚已入住格林豪泰酒店', 'star': 3}
{'descr': '地理位置很不错，出行方便，卫生不是特别好，房间隔音效果不好,', 'star': 5}
{'descr': '不错，去昆山都住这里，环境不错，就是隔音不太好，宾馆基本都这样，没办法', 'star': 5}
{'descr': '交通方便! 附近有宵夜可以吃!隔壁也有個超市!!', 'star': 5}
{'descr': '酒店客房空间合理舒适，服务热情周到，早餐品种丰富，地理位置好，适合出差者和游客居住。', 'star': 5}
{'descr': '优点：服务态度不错，房间内设施不错。不足：地漏反味应该修修，因为装修尘土比较多给7.8分', 'star': 5}
{'descr': '很好的地方，就是环境差点，没有电梯，因为正在修', 'star': 5}
{'descr': '还可以，对得起100元。不过没电梯太不方便。', 'star': 5}
{'descr': '性价比很高，就是这段时间在装修有噪音。总体可以打70分吧', 'star': 5}
{'descr': '该楼二层施工,影响晚间休息', 'star': 3}
{'descr': '...............................', 'star': 5}
{'descr': '离地铁比较近，相对还算方便。对面餐厅的什么鱼我很喜欢（吃完没记住什么名儿）', 'star': 5}
{'descr': '酒店的地理位置很好\n周围吃饭的地方也很多\n就是我的房间空调声音稍有点大 。。。\n不过还可以接受', 'star': 5}
{'descr': '还不错，就是隔音效果差了点，其他方面都不错，周围环境也不错，', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '这家酒店式联盟酒店，环境很不好，房间异味太大，不会推荐', 'star': 1}
{'descr': '出入很方便。步行至银行、饭馆、超市都特别方便，很多饭馆档次高也不贵。金鼎轩有很多粤式小吃。对面就是西贝筱面，挺有特色的。', 'star': 5}
{'descr': '特价99.8能住上200多的房子很不错了，收拾得挺干净的，什么都不缺。', 'star': 5}
{'descr': '总的来说很对得起这个价格，99.8的特价房住的还算舒服。\n不过隔音挺差的，没有电梯。', 'star': 5}
{'descr': '挺不错的一家酒店，周围有很多吃的，环境也很安静', 'star': 5}
{'descr': '酒店的布置很不错，环境很好，唯一的缺点就是没有电梯', 'star': 5}
{'descr': '房间的装修卫生还是挺好的，酒店的位置还是蛮好找的，服务态度和价格都是挺好的。', 'star': 5}
{'descr': '很不错  物有所值 已经住了很多次了  服务态度也很好', 'star': 5}
{'descr': '房间比想象中的要好  以后多推出百元房  赞一下', 'star': 3}
{'descr': '性价比很高', 'star': 3}
{'descr': '交通方便，洗澡水很棒，嘿嘿，周围设施齐全，下次还去住，性价比高', 'star': 5}
{'descr': ' 还不错。 房间灯坏了, 通知前台后很快给修好了。', 'star': 3}
{'descr': '酒店没有电梯，你们也没有告诉我们，在五楼，累死了。。', 'star': 1}
{'descr': '居住很满意!', 'star': 3}
