{'短评内容': '早餐不是太丰富，但是质量蛮高，房间很大，这个房间空间跟国内的五星空间差不多大了，在寸土如金的香港来说，是很不错的了，唯一差劲的是携程，6000多一晚的房费他滴答一秒就扣除了，NND，到了酒店竟然忘记给我订房间，我带着小朋友，一直饿着肚子到晚上十点多，在大堂等了一个多小时才解决问题，携程来一句抱歉返回给我几十块钱，不知道以后我还会不会再用携程', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '点名这次要住四季酒店，主要是酒店位置交通便利，到香港机场也方便，机场快线可以直达，不用转乘连楼都不用出。 这个季节估计又是旺季，价格虽有点高，但酒店干净卫生，设施齐全，住的也舒心。', '短评打分': 5}
{'短评内容': '价格很贵，但品质很好。地段不错，出行方便。服务挺好的，对内地客户也很友善～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '能加床 酒店位置很好', '短评打分': 5}
{'短评内容': '价格有优势，订房服务不错', '短评打分': 5}
{'短评内容': '很好，不错的酒店', '短评打分': 5}
{'短评内容': '空调声有点大，其余都比较满意', '短评打分': 5}
{'短评内容': '还是很喜欢，不过套房给房时间就没提前过', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '非常美，贵有贵的道理', '短评打分': 5}
{'短评内容': '位置連接大型購物商場、服务好、但價格比较高', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '订的中文报纸，给了我英文的', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '中规中矩', '短评打分': 4}
{'短评内容': '酒店所有设施一流，国际五星，差不多哪里去，服务态度也很好！', '短评打分': 5}
{'短评内容': '环境设施一流，地段非常好，还会再订！', '短评打分': 5}
{'短评内容': '第一流服务，海景美报，餐饮高端', '短评打分': 5}
