{'descr': '服务挺好，徐州人很热情。', 'star': 5}
{'descr': '很干净，服务也行！', 'star': 5}
{'descr': '汉庭酒店的位置很好找，开着导航很容易找到了，停车也便利，凭酒店的票车子可以免费停在对面的停车场。房间不大但干净整洁，枕头被子都很舒适。前台和清洁大姐服务热情周到！很满意！', 'star': 5}
{'descr': '汉庭酒店的位置很好找，开着导航很容易找到了，停车也便利，凭酒店的票车子可以免费停在对面的停车场。房间不大但干净整洁，枕头被子都很舒适。前台和清洁大姐服务热情周到！很满意！', 'star': 5}
{'descr': '中心城区交通便利', 'star': 4}
{'descr': '地点很方便，环境也不错，靠近徐州钟鼓楼，周边吃饭也很方便，酒店设施很齐全', 'star': 5}
{'descr': '年年回来住，就在家对门，', 'star': 5}
{'descr': '房间还不错的', 'star': 5}
{'descr': '房间很温馨干净 周围也挺干净 出门好打车，不错的一次。', 'star': 5}
{'descr': '地理位置好', 'star': 5}
{'descr': '不错的酒店，干净整洁', 'star': 5}
{'descr': '不错，特价房和普通的没多大区别，赞?', 'star': 5}
{'descr': '酒店位置很好，房间也非常舒适，零压房的床非常舒服，针头也是安睡枕。周边环境也非常安静，适合居住，下次还会入住。', 'star': 5}
{'descr': '实惠，不错。', 'star': 5}
{'descr': '连锁酒店的空间都不是很大啊，卫生间环境还不错', 'star': 4}
{'descr': '都还可以吧，还行，挺好', 'star': 4}
{'descr': '房间不错，交通还好，免查房的服务很人性化，下次还会选择汉庭入住。', 'star': 5}
{'descr': '非常不错的酒店，就是房子有点小，然后住在马路边上，很吵', 'star': 5}
{'descr': '服务ok，房间干净，但大床房小了点，早餐种类也不多。', 'star': 5}
{'descr': '十房间小了点，其它还好，信价比还可以。', 'star': 3}
{'descr': '相当不错。符合汉庭一贯的简单朴实实用的风格。服务态度也很不错，十分满意。', 'star': 5}
{'descr': '总体感觉不错。\n今天十点多就到西安了，原以为要在大街上等了，试一试打个电话给酒店，前台很热情让我们赶紧过来办理入住！', 'star': 5}
{'descr': '，房间安静床很大，在市中心很方便，服务态度好，赞一个', 'star': 3}
{'descr': '位置不错，离市中心商业区很近，走路10分钟，窗户密封一般，马路噪音明显', 'star': 5}
{'descr': '交通方便，地处市中心附近，但窗户密封一般，外面噪音大，早餐偏贵', 'star': 5}
{'descr': '卫生做得很到位，还很人性化地每房赠一瓶纯水，服务人员都很热情周到，早餐也很丰盛喏！距离北边的彭城广场仅仅步行一刻钟，广场内饮食、游戏、购物、影院样样俱全！楼梯口的自饮区的五谷茶真不错！呵呵！', 'star': 5}
{'descr': '位置不错，和以往住的商务大床房相比较，房间实在很小', 'star': 3}
{'descr': '外出购物、餐饮都很方便，距离火车站的士仅仅四五分钟，一路公交车也仅仅两站。前台都很热情，内设整洁而合理，床上用品都很舒适！', 'star': 5}
{'descr': '前台服务非常好，房间很舒适很温馨，总体感觉不错！', 'star': 5}
{'descr': '，第一次入住汉庭，让我很满意', 'star': 3}
{'descr': '酒店整体条件还不错.隔音效果好客房挺安静.而且卫生也做得很好，位置好距离广场比较近.', 'star': 5}
{'descr': '房间不错交通方便', 'star': 3}
{'descr': '电梯旁边的饮料机不错   上电梯前  可以喝一杯    房间电视偏小', 'star': 5}
{'descr': '酒店还不错，房间也还行和其他的快捷酒店差不多，环境也还不错感觉还是挺好的。', 'star': 5}
{'descr': '酒店位置在商业区，周边饭店商场多。内部设施新，汉庭的标准，只是大厅小，停车位少，不过附近有花钱的停车场。', 'star': 5}
