{'短评内容': '干净卫生，服务周逼，性价比高', '短评打分': 5}
{'短评内容': '早餐很不错，交通便利，价格合理，工作人员也很热情，下次有机会还是会在交通饭店入住，这个地方真的很不错', '短评打分': 5}
{'短评内容': '方便！！对于第二天出行的旅人来说太方便！新南门车站就在饭店旁边！如去成都周边耍，就住这里！', '短评打分': 4}
{'短评内容': '非常不错的地方，那么便宜还有早餐～～～酒店环境不错，服务一流～～', '短评打分': 5}
{'短评内容': '饭店标间有免费早餐，免费瓶装水。乘坐地铁公交车非常方便，地铁3号线步行2、3分钟。环境不错，虽然地处市中心，但很安静。周边就餐购物很多，晚上江边走走景色很美。离春熙路酒吧街都不远。', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '???? ?????? ?????? ?????? ???? ????? ???????? ????? ???? ??? ?? ????? ??? ?????. ??????? ??? ??? ???????? ?????!', '短评打分': 4}
{'短评内容': '到了已经凌晨三点了 仍然有人开门接待 还升级了商务房 门店价格400多 而我们只要一百多 确实不错', '短评打分': 5}
{'短评内容': '也算不错了，出门在外对于住的方面本来只有两个要求，安静和干净。这家饭店能满足我，不错。到底是国营的，而且能开那么久，两个字，规范。早晨有早餐，饱饱地坐车去九寨沟，很好，从九寨沟回来还住，行李免费寄存的。', '短评打分': 5}
{'短评内容': '交通方便,服务一般', '短评打分': 4}
{'短评内容': 'Just near bus station. Have to share toilet and shower room but nice facility with reasonable price.', '短评打分': 4}
{'短评内容': '酒店的环境很好，和熊猫夫人是一家的，有很多老外，很干净，离旅游车站也很近出入都很方便，旁边还有个菜场。', '短评打分': 5}
{'短评内容': '去九寨的头一天晚上入住，价格也能接受，去车站非常方便，就是单人床太小，最多只有1米宽，估计才90公分。总体好评？', '短评打分': 4}
{'短评内容': '酒店位置不错，离汽车站很近，离商业区也不远，环境幽静，设施干净，如果不是当时修路，感受会更好，附近吃饭的地方也很多，值得推荐。', '短评打分': 4}
{'短评内容': '滿意 十分方便 如果有想看川劇 可留意芙蓉国粹 有看過锦里的小品 晚上再看這 精采 十分值得', '短评打分': 5}
{'短评内容': '如果是去 九寨 的朋友們 不用想太多喔 就住這 方便', '短评打分': 4}
{'短评内容': '住的公卫2人间 公共卫生间卫生还可以 是马桶 2间厕所2间淋浴  主要是淡季人少没多少人 有洁癖的可以不考虑住 建议淡季住公卫2人间  旺季厕所肯定挤 房间还可以 网上预定的126', '短评打分': 4}
{'短评内容': '京东的服务非常好。但成都交通饭店确有些奇怪。办理入住时居然说不知道我的预定。直到我拿出我预先打印的京东的订单经请示后才办了入住手续。真有些败兴。', '短评打分': 4}
{'短评内容': '能够在市中心住到这样干净、整洁、安静、实惠的宾馆非常不错，很好，就是隔音稍差一点。', '短评打分': 4}
