{'短评内容': '离出差地近，干净整洁，还蛮实惠。', '短评打分': 5}
{'短评内容': '还不错，就是房间里有虫子', '短评打分': 5}
{'短评内容': '好，出差常驻地', '短评打分': 5}
{'短评内容': '很差，隔音不好，环境复杂，外面很吵。', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般，位置比较偏，不好找', '短评打分': 3}
{'短评内容': '，像我这种不挑的人已经忍无可忍必须差评。屋顶是楼上漏水严重的污渍。床单被子不知道睡过多少人没有更换了，都是毛絮。窗帘都是灰尘。卫生间，虽然有一半磨砂但有一半是透明的，虽然两个女生住也太没有隐私了吧。硬件条件这么差，已经不想说细节了。差评差评', '短评打分': 1}
{'短评内容': '旅馆相当于几十块的小宾馆水平， 确收180多的费用， 绝对不会再住的地方。', '短评打分': 2}
{'短评内容': '酒店位置比较便利，很好找。周边吃东西的地方也比较多。就是靠近主干道比较吵啦。早餐很人性化。房间很大，不错。', '短评打分': 5}
{'短评内容': '我是6号入住的该酒店，我觉得地理位置还不错，因为要去科技园；该公寓酒店离深大地铁站A4出口步行5分钟左右的路程。先给我的是9楼的一房间，网络访问不了，而且电视机顶盒反应比较慢；后来换了个7楼的房间，网络、电视都还不错。', '短评打分': 5}
{'短评内容': '不太推荐，有几点不满意！\n1、服务跟不上，厕所堵了，叫我自己花50块钱修理，说是因为我入住前它是好的！\n2、我住了5天，第2天出门的时候要求整理房间，没去，第3天要求换条毛巾，就真的只是换了条毛巾，其它什么都没做\n3、房间不是地毯，是瓷砖地，洗手间门口没有防滑垫/毛巾\n4、那幢楼还在出售当中，隔壁左右都住的是销售小弟，中午还在房里做饭，油烟味飘到满层都是的，楼层最前面是办事处，门经常被风吹的关上，', '短评打分': 1}
{'短评内容': '还行吧，一个人睡很怕', '短评打分': 3}
