{'短评内容': '房间可以，服务周到', '短评打分': 5}
{'短评内容': '好。前台很热情', '短评打分': 5}
{'短评内容': '很贴心哦，看到有孩子免费升级大床哦', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '很好很方便', '短评打分': 5}
{'短评内容': '京东客服很好，只是这个代理商服务很差，非常差，以后非不得已不考虑了', '短评打分': 5}
{'短评内容': '不好 态度恶劣 不过京东客服满分', '短评打分': 2}
{'短评内容': '很棒棒很棒', '短评打分': 5}
{'短评内容': '好评，位置就在公交站旁边，坐车方便，房间也不错～', '短评打分': 5}
{'短评内容': '房间空间很大，床很舒适！虽然临街但是一点都不吵！隔音非常好 推荐噢', '短评打分': 5}
{'短评内容': '很喜欢，干净卫生安全', '短评打分': 5}
{'短评内容': '适合商务出行，挺不错的', '短评打分': 5}
{'短评内容': '干净清爽舒适', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '去的时候赶上修地铁，太吵，没出路，电梯还维修，睡的床单不舒服，皮肤过敏的人容易痒，整体就服务不错，其他不咋的。', '短评打分': 3}
{'短评内容': '说实话是我住过的最差的维也纳酒店，下次绝对不会住了。', '短评打分': 3}
{'短评内容': '酒店周围正修地铁，路边是大路很多车，虽然是两个窗，依然有些吵。酒店卫生和设施还行，就是网高峰期有时断断续续的很讨厌，还说总网速有些慢。', '短评打分': 4}
{'短评内容': '很好很满意！', '短评打分': 5}
{'短评内容': '出差过来，这家店的性价比很高', '短评打分': 4}
{'短评内容': '酒店还不错，楼下就是餐馆，味道挺好的，下次到深圳还住这。', '短评打分': 5}
{'短评内容': '服务态度还可以，但环境一般，如非必要不会入住了', '短评打分': 1}
{'短评内容': '地方不好找，周边人员复杂，房间漏水，不过服务员的态度还是不错的', '短评打分': 1}
{'短评内容': '服务态度差，我定了两间房，本来是想大家朋友一起，住同一层，很方便，但是居然给我们分成两层，要求换房，她还不愿意！真是无语！房间设施也比较陈旧了，估计装修很久了，电梯就像火炉一样！虽然近银湖汽车站，但是一般的地方是没有车的！反正我不推荐', '短评打分': 1}
{'短评内容': '马马乎乎还可以...就是站在电梯门口的那兄弟实在不给力都走进走出了好几次了,还要问哪个房的.', '短评打分': 5}
{'短评内容': '本以为在银湖汽车站旁边会有点吵，但是晚上看来并不吵，装修方面也不错，还算可以的一家酒店', '短评打分': 5}
{'短评内容': '优点：住过很多次维也纳，各家的装潢都令人舒服；酒店有配套的饮食，很方便；服务员态度也OK，银湖这家也不错。\n缺点：其他维也纳的酒店服务员效率较高，银湖这家虽然服务态度不错，但效率需要提高。', '短评打分': 5}
{'短评内容': '总体环境不错，价格有优惠。\n我住在701，旁边就是楼层工作人员办公室，早上6点多就开始聊天，有点影响休息。\n其他都好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '外面看着不错，地址是属于福田区的，确写一个罗湖区，误导了我们。房间很不隔音，床不错，舒适，卫生间的水也不错，但是卫生间的物品不是很好，非常简单，没有剃须刀，酒店也没有什么介绍的菜单，不是很方便。', '短评打分': 5}
