{'短评内容': '环境还可以。   ', '短评打分': 4}
{'短评内容': '就那回事。这价位可以了', '短评打分': 4}
{'短评内容': '环境优美交通方便价格合适', '短评打分': 5}
{'短评内容': '挺好的，房间宽敞干净', '短评打分': 5}
{'短评内容': '还好还好哈还好还好哈', '短评打分': 5}
{'短评内容': '之前国庆去过一次没有用携程，打货非常方便。很近', '短评打分': 5}
{'短评内容': '性价比最高！也方便', '短评打分': 4}
{'短评内容': '附近的性价比最高！还是满意', '短评打分': 4}
{'短评内容': '地理位置优越，环境优美。', '短评打分': 5}
{'短评内容': '在这种地方，这样的酒店还可以了！', '短评打分': 4}
{'短评内容': '本来去乌镇的，但是那边没房了，临时入住的', '短评打分': 4}
{'短评内容': '房间干净整洁，独立的洗漱间和卫生间，还有阳台，总体不错！附近配套设施很全。', '短评打分': 3}
{'短评内容': '环境很好，也很方便，下次还住这里。', '短评打分': 3}
{'短评内容': '桐乡周边性价比高的酒店，下次还去！', '短评打分': 3}
{'短评内容': '装修旧了，希望能再装修就好', '短评打分': 3}
{'短评内容': '来住了几次了，房间不错，就是走廊有点窄。', '短评打分': 3}
{'短评内容': '来这儿进货都是常来住的。\n\n屋子空间很大设施也很齐全，风景好。\n\n还有电脑可以用。\n\n总体来说很满意。', '短评打分': 5}
{'短评内容': ' 感觉卫生，但阳台门很多是坏的，换了几个房间才好，考虑安全，希望酒店能改进！', '短评打分': 3}
{'短评内容': '位置比较容易找', '短评打分': 3}
{'短评内容': '住的挺舒服，在五一期间价格也很公道，房间设施完备，有空调电脑，能上网，浴室挺大。总之很满意', '短评打分': 5}
{'短评内容': '酒店总体来说还是不错的，性价比还是可以的。', '短评打分': 5}
