{'短评内容': '环境很棒，物有所值', '短评打分': 5}
{'短评内容': '太脏了，很破旧。但前台的服务很好很热情。', '短评打分': 4}
{'短评内容': '非常不错，下次还来', '短评打分': 5}
{'短评内容': '不错 性价比高', '短评打分': 4}
{'短评内容': '服务态度不怎么好，其它还可以。', '短评打分': 4}
{'短评内容': '有停车场，没早餐，卫生情况一般，设施比较旧了，壁纸都脱落了，好在位置还行，交通方便，住了两天，在这个旅游城市这个价格就不能要求这么高了。', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '和朋友出游在携程预订的酒店，地理位置优越，离景区很近，街对面就是武夷夜巿，品尝小吃极其方便，酒店设施稍显不足，性价比很高，总体满意', '短评打分': 5}
{'短评内容': '房间设施需要更新', '短评打分': 4}
{'短评内容': '酒店环境好，地理位置出行方便。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '有点贵', '短评打分': 4}
{'短评内容': '服务态度良好，交通便利，空调，卫生间排气不是很理想', '短评打分': 5}
{'短评内容': '可选', '短评打分': 3}
{'短评内容': '可选', '短评打分': 3}
{'短评内容': '太破了，一点都不值这个价钱，卫生情况也很一般，像开封的消费水平，这个酒店的价格绝对属超不值', '短评打分': 1}
{'短评内容': '酒店设施有些陈旧了，服务很一般，卫生确实像别的网友评论一样很差，下次是不会再选择这里了！', '短评打分': 3}
{'短评内容': '说实话，酒店设施陈旧，卫生也不是很好，而且价钱还不实惠。', '短评打分': 1}
{'短评内容': '房间够破的', '短评打分': 3}
{'短评内容': '还行！酒店相当不错~就是房卡总是用起来不是那么好用~', '短评打分': 5}
{'短评内容': '环境很好，服务也周到。不错，以后来还会选择入住', '短评打分': 5}
{'短评内容': '酒店地理位置很好 但设施相对陈旧', '短评打分': 3}
{'短评内容': '在国内住了那么多宾馆，第一次遇到上网还收费的，愤怒！！！', '短评打分': 1}
{'短评内容': '设施感觉和三星级标准相差有点远，不是很满意', '短评打分': 3}
{'短评内容': '总体感觉跟开封的大形势比，还算可以了。床有点閣！淋浴头该出水的地方不出水，不该出水的地方到处喷，吹风机也是坏的，设施陈旧，不过交通还比较方便，下次还会来住', '短评打分': 5}
{'短评内容': ' 酒店设施陈旧,根本不够三星水准', '短评打分': 5}
{'短评内容': '酒店环境、服务都还好', '短评打分': 5}
{'短评内容': '＋房间还可以，就是没宽带', '短评打分': 5}
{'短评内容': '现在住宾馆上网还收费', '短评打分': 1}
{'短评内容': '在该酒店住宿两天,本想只花了360元,条件差一些也能接受,但离店后发生的一件事使我对该酒店彻底失望了.离开酒店后的十个小时,我发现遗忘了一件物品在酒店客房的冰箱里了,马上给酒店打电话联系,酒店前台服务员说要和客房联系后给我回复,大约十分钟不到的时间就给我回复说东西还在,还答应第二天给我快递过来,并让我留下了地址,当时我很感动,觉得到底是正规的酒店,服务很不错的.可是第二天酒店给我电话说只是装东西的', '短评打分': 1}
{'短评内容': '酒店的性价比还可以就是需要加强一下服务。', '短评打分': 5}
{'短评内容': '酒店的位置还不错，出行交通都非常方便。', '短评打分': 5}
{'短评内容': '房间面积比较大，采光也很好，舒适度还不错。', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施都比较陈旧了，卫生还不错。', '短评打分': 5}
{'短评内容': '航天环境还可以，房间也比较宽敞。', '短评打分': 5}
