{'短评内容': '干净整洁，服务态度好，经常住', '短评打分': 5}
{'短评内容': '干净整洁，服务态度好，经常住这里', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '位置很好适合逛街', '短评打分': 5}
{'短评内容': '很不错哦，帮朋友定的。很满意。', '短评打分': 5}
{'短评内容': '整体还是非常对得起这价格的', '短评打分': 5}
{'短评内容': '服务态度很好！前台的那个高个子的男生，好像叫张什么爽的！必须好评', '短评打分': 5}
{'短评内容': '还可以，就是陈旧了一点', '短评打分': 5}
{'短评内容': '卫生干净，房间比较小比较安静，真的就是一个单间，就是图一个位置方便。', '短评打分': 5}
{'短评内容': '房间内非常干净卫生，好评！下次还来住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境真心的一般，都是老设备', '短评打分': 3}
{'短评内容': '大于10个字获得金豆啊，呵呵哒', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '实际与照片差的太远', '短评打分': 3}
{'短评内容': '环境好,交通好', '短评打分': 5}
{'短评内容': '交通便利,环境较好', '短评打分': 5}
{'短评内容': '有点陈旧', '短评打分': 5}
{'短评内容': '武广那一块、逛街、吃饭很方便、酒店环境很赞、六十八中考试离得很近', '短评打分': 5}
{'短评内容': 'boss女儿在六十八中考试、给他们订的房间、酒店环境很赞、服务态度好、', '短评打分': 5}
{'短评内容': '內飾要更新 服務項目要改進', '短评打分': 4}
{'短评内容': '酒店房间还不错，就是窗户打不开，Wi-Fi还老连不上', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '设施一流，温馨舒适，服务不错，房间宽敞明亮，干净，无异味，服务热情周到，设施齐全讲究，非常满意，出行会首选。推荐推荐', '短评打分': 4}
{'短评内容': '方便度还可，就是设备旧了，房间一股味。', '短评打分': 3}
{'短评内容': '房间一般，服务不错！', '短评打分': 3}
{'短评内容': '酒店老了，但位置好。房间小点，但位置好。隔音不好，但位置好。看在位置好的份上一再住', '短评打分': 3}
{'短评内容': '地理位置不错,在航空路,旁边就是闹市商圈.但酒店房间的隔音实在太差,易受打扰者恐怕受不了。', '短评打分': 5}
{'短评内容': '酒店比较旧，但是价格却是四星的价格，床很不舒服，太就了，和旅行酒店差不多的摆设，唯一觉得比较满意的是早点种类丰富', '短评打分': 1}
{'短评内容': '这次住的房间较安静。不过单人房间还是小了点。关键是酒店不分吸烟和非吸烟，想想前面的人在房间吞云吐雾，不可能没有烟味', '短评打分': 3}
{'短评内容': '地理位置挺好，早餐差点，房间隔音不好。', '短评打分': 3}
{'短评内容': '老酒店了啊。设施比较旧了。不过附近来说，这个地段就这里算便宜了。', '短评打分': 5}
{'短评内容': '设施太陈旧了！隔音也理想，除了位置还行，没有别的可取之处', '短评打分': 1}
{'短评内容': '房间还是不错的 就是旧了点 门卡还是插的那种\n厕所地板和毛巾也比较脏', '短评打分': 5}
{'短评内容': '作为曾经武汉最高档的酒店，现在装修有点陈旧了，但是地段的确是武汉市最繁华的航空路口', '短评打分': 5}
{'短评内容': '环境不错，但房间有异味', '短评打分': 3}
{'短评内容': '离新世界很近，和同事一起工作方便，但是酒店说同事没有入住，估计是自己的查询系统有问题，最后得到解决了，否则还麻烦', '短评打分': 5}
{'短评内容': ',商务单间涨得没道理，硬、软件没有提高，cpi也没涨这么多啊！？', '短评打分': 3}
{'短评内容': '帮同事订的，因为就在新世界对面，住起来方便，说房间还可以吧', '短评打分': 5}
{'短评内容': '硬件一般，软件还成，基本四星以上的服务都具备。两点不满意：1、早餐品种太少；2、入住的单人间床正对着一穿衣镜，真是莫名其妙的布局。', '短评打分': 5}
{'短评内容': '地点不错，房间隔音不好，冰葙太闹', '短评打分': 3}
{'短评内容': '不错，挺好的饿，下次还会再来，不错，挺好的饿，下次还会再来，', '短评打分': 5}
{'短评内容': '酒店比较旧噢~设施也比较陈旧~这个价格也相对贵了点', '短评打分': 1}
{'短评内容': '挺好的！很干净，入住时花一样的钱但把标准提高了，下次还住。', '短评打分': 3}
{'短评内容': '酒店是四星的，装修还不错，蛮有品位。下次向朋友推荐一下。', '短评打分': 5}
{'短评内容': '488元/晚 商务单间  床太小，电视机太OUT 了 ，时不时发出嘎吱嘎吱的声音\n  ', '短评打分': 1}
{'短评内容': '地理环境优越！价格较高！设施较陈旧！', '短评打分': 3}
{'短评内容': '从住房来说，还较满意，我住的是6楼行政套间，但房间与四星级很不相称。该酒店的电梯内餐饮广告宣传与实际也不相符，有点欺诈感觉，我们一行五人到该酒店的会议中心内餐厅就餐按广告宣传可以打85折，但服务员说只能对8楼豪华套间打折，对广告宣传所说入住该酒店享受85折，完全是诱导。给我们的感觉特不好！', '短评打分': 1}
{'短评内容': '还不错，出差都住哪里，也非常方便！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '客房太小，楼层空间太矮，不够4星级。大厅也不大，大门太小，不能在大门口停车。', '短评打分': 1}
{'短评内容': '酒店到武汉高铁不到四十分钟，比较方便', '短评打分': 3}
{'短评内容': '环境还不错，睡得很舒服，只不过订的小床，有点小。。。不能肆意的翻跟头', '短评打分': 5}
{'短评内容': '带早餐的大床房，酒店比较老，早餐还可以，如果在汉口办事，这个酒店的位置不错，硬件一般，服务一般。', '短评打分': 5}
{'短评内容': '很差，建议千万不要去。428的价格在武汉应该可以住到不错的宾馆了，结果我花了428，住的房间却是128的，甚至还不到。房间超小，床超小，卫生间自然也是非常的迷你。更可笑的是，摆了张书桌和椅子，但是椅子根本就没地方摆，因为空间被那个80年代的老电视机以及电视柜占用了，椅子只能塞在桌子底下当摆设。总之，住了那个酒店，除了价格你能体会到它是4星，其余的，呵呵，不体会也罢。', '短评打分': 1}
{'短评内容': '早餐差点，其他还行\n环境还行，房间太小 ，。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店非常陈旧，服务也一般', '短评打分': 3}
{'短评内容': '酒店到机场很方便', '短评打分': 3}
{'短评内容': '酒店比较老,我在里忘记了东西,酒店不承认,估计被保洁员拿走了,没有办法,国营企业就是这样', '短评打分': 5}
{'短评内容': ' 酒店路段可以，交通方便，如果可以翻新一下更好。', '短评打分': 3}
{'短评内容': '小间的隔音效果不好，房间比较小～～～～～～', '短评打分': 5}
{'短评内容': '刚刚点评错了，酒店服务还好~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '交通方便，距离国际广场、国际展会中心步行10分钟以内。\n设施有点老，行政单人间有点小，但这个价格值了。\n这几天武汉秋燥得厉害，第一次来武汉，卫生状况。。。', '短评打分': 5}
{'短评内容': '还可以吧，就是没有保险柜，前台也不能存电脑什么的，不太方便。房间很大，但里面全空的', '短评打分': 5}
{'短评内容': '这家酒店太一般了，还是四星级的，设施陈旧，房间小，卫生间不值得一提，离马路又近，噪音大', '短评打分': 1}
{'短评内容': '住了三晚,升级为套房,感觉不错.部分设施确实旧了点.网速较快,下载在700K+赞一个.早餐丰盛,住在三楼没有杂音.', '短评打分': 5}
{'短评内容': '地理位置优越，出行非常方便。但酒店属于老酒店，设施不是特别新。', '短评打分': 5}
{'短评内容': '酒店性价比合适', '短评打分': 3}
{'短评内容': '位置好，早餐也不错； 房间较小，设施也旧了。 卫生间有异味。 不过位置确实是方便。', '短评打分': 5}
{'短评内容': '干净舒适服务好', '短评打分': 3}
{'短评内容': '免费升级到了行政套房，还不错，这个价位算是物有所值了，虽然临街，但是窗户是双层玻璃，隔音还不错。', '短评打分': 5}
{'短评内容': ' 已经第三天住了，觉得地方位置不错，服务还行', '短评打分': 3}
{'短评内容': '住进去已经接近凌晨了，酒店地理位置不太好，高架桥旁边，很早就听到车水马龙声音了，不过酒店的早餐不错，也很干净，房间很大。总体还是好的', '短评打分': 5}
{'短评内容': '酒店在市中心，边上就是同济医院，对面即是新世界百货，还有武广购物中心。去机场也很便捷。', '短评打分': 5}
{'短评内容': '酒店比较陈旧', '短评打分': 3}
{'短评内容': '地理位置优越，毗邻商业中心，性价比高，值得推荐。', '短评打分': 5}
