{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '一如既往的好，来池州只选大九华', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '度假的好地方', '短评打分': 4}
{'短评内容': '餐饮一般，其他都不错', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '花园式酒店，房间很大，设施尚可。酒店内环境不错。没有车出不去，周边没有任何商业设施。早餐需改进，否则就变成了高级农家乐。', '短评打分': 4}
{'短评内容': '到附近出差。酒店环境不错，很大。没车的话出入不便。早餐需要改善。', '短评打分': 4}
{'短评内容': '环境清幽，环境优美，酒店与山景浑然一体。唯一的缺点是餐饮尚有不足。下次还会入住', '短评打分': 5}
{'短评内容': '酒店位于在九华山的后山，风景也还可以，仅此而已，但是对自由行的客人别的来说，用餐太困难了，当天酒店有私人宴会，住店客人要是吃饭，还要等别人吃过以后才行，而且价格太贵了，如果不在酒店用餐，那好，开车半个小时自己去找吧。而且房间里明显没有4星的标准，第二天起床，看见漫天的白蚁飞出来，太恶心和吓人了，房价还是不含早餐的，吃早餐也没有地方啊。好可伶，下次再也不来了', '短评打分': 3}
{'短评内容': '非常棒的酒店！下次还来！性价比高！', '短评打分': 3}
{'短评内容': '风景美，环境超好，空气清新，中晚歺选择少', '短评打分': 5}
{'短评内容': 'wifi信号非常差！酒店位于景区内，娱乐设施不全，没有信号，晚上只能看看电视了，闷！', '短评打分': 4}
{'短评内容': '环境不错，有山有水', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
