{'短评内容': '房间太简单。不值这个价。没办法十月一嘛宰一个是一个。', '短评打分': 2}
{'短评内容': '不好，卫生不是很干净，太贵了，不值得十一去的价格', '短评打分': 3}
{'短评内容': '一般，只是照片拍的太好了，刚进房间没有认出来', '短评打分': 3}
{'短评内容': '该有的设施都有。房间吹风机，热水器，拖鞋一应俱全。床铺也很卫生干净，被子有洗过的那种香味。就是在马路边，太吵了。不过价格倒是很便宜，离景区很近。', '短评打分': 5}
{'短评内容': '平台服务太差，旅馆条件差，', '短评打分': 1}
{'短评内容': '经济实惠，环境也不错', '短评打分': 4}
{'短评内容': '到店更便宜', '短评打分': 4}
{'短评内容': '就是看了网上的评价才选了这家店，老板和老板娘都很热心，大热天的毫无怨言的免费接送我们，有机会还会过来', '短评打分': 4}
{'短评内容': '总体环境还不错，老板人很好，车接车送。酒店位置近双桥入口，吃饭也很方便。', '短评打分': 5}
{'短评内容': '酒店就在景区附近很方便，房间看起来很干净温馨，整体感觉不错！', '短评打分': 4}
{'短评内容': '店家人不错', '短评打分': 5}
{'短评内容': '老板和老板娘的态度很好，接送到周庄汽车站。', '短评打分': 4}
{'短评内容': '真心不错', '短评打分': 5}
{'短评内容': '一家适合亲子游的客栈，房间很干净，老板也很热情。我们要的是标间，结果给我们的房间都是家庭房。住起来很舒服，离周庄入口很近。', '短评打分': 5}
{'短评内容': '性价比不错，距离景区其中一个入口很近，这个入口也是几个最重要的景点聚集区。旅馆卫生不错，宽敞明亮。', '短评打分': 4}
{'短评内容': '比想像中要好,除了热水提供不太给力,这个价格有这样的环境不错啦^_^', '短评打分': 3}
