{'短评内容': '空调很给力', '短评打分': 5}
{'短评内容': '环境优美，服务热情周到！', '短评打分': 5}
{'短评内容': '服务热情周到！酒店环境优美', '短评打分': 5}
{'短评内容': '服务周到热情', '短评打分': 5}
{'短评内容': '床有点儿硬', '短评打分': 5}
{'短评内容': '还不错，房间挺大', '短评打分': 5}
{'短评内容': '可以！不错！服务态度好，风景也不错，房间大。', '短评打分': 5}
{'短评内容': '价格还算公道，适合出差人士', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置很好，酒店也很干净，服务态度好，房间大，住过几次了，性价比很高，距离步行街很近，周边环境也不错，以后还会住这里。', '短评打分': 5}
{'短评内容': '房间宽敞干净 性价比高 前台服务热情 下次还会来', '短评打分': 5}
{'短评内容': '不能开发票', '短评打分': 3}
{'短评内容': '酒店相当的不错 重新装修了的 整个环境给人一种温馨  家 的感觉 挺安静的 打开窗户就能看见天门山 心情舒畅！已是多次入住该酒店 前台服务也很到位 包括房间的布局和装修都很舒服。', '短评打分': 5}
{'短评内容': '房间干干净净，格局也比较合理的，服务态度也不错，住起来妥妥的。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 1}
{'短评内容': '值得入住，装修很不错，房间大，淋浴很舒服。', '短评打分': 5}
