{'descr': '环境很好', 'star': 5}
{'descr': '条件好，干净卫生', 'star': 5}
{'descr': '屋里温暖，设施较新，周边交通便利，服务热心', 'star': 5}
{'descr': '环境好，服务棒', 'star': 5}
{'descr': '非常不错很好', 'star': 5}
{'descr': '&hellip;&hellip;.&hellip;&hellip;&hellip;&hellip;', 'star': 5}
{'descr': '住的非常舒适 以后还回去的！谢谢', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '缺少点人情味', 'star': 3}
{'descr': '太冷了。房间一点都不热乎。', 'star': 4}
{'descr': '快捷酒店一直选如家，品牌，值得信任！', 'star': 5}
{'descr': '服务态度很好，房间也宽敞舒适，屋子也很暖和，不开空调也不冷，', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '不愧是如家，各方面做的都很不错。房间设备齐全，氛围温馨。卫生条件也很好。价格也很大众化，好评！', 'star': 5}
{'descr': '服务态度特别好。可能因为开业有些久，房间设施有一点老化。空调开暖风噪音挺大的。定的房是靠近电梯的，走廊声音挺大的。主要是有些没素质的人大吼大叫。总体来说挺好的。', 'star': 5}
{'descr': '一直住挺好的', 'star': 5}
{'descr': '洗澡水太热，不好调节，容易烫伤，危险，喷头只有3个急流水柱。\n\n其他还好，位置也不错。', 'star': 4}
{'descr': '很好,刚装修完毕,下次还订', 'star': 5}
{'descr': '挺好的  确认的挺快的\n', 'star': 5}
{'descr': '不错，酒店很干净，服务也好', 'star': 5}
{'descr': '服务还好，位置还行，机场到这大巴下来，坐TAXI10元左右。', 'star': 5}
{'descr': '已入住，宾馆位置好，交通方便。干洁整洁，服务热情，早餐也不错', 'star': 3}
{'descr': '条件还不错，和别的如家差不多，网速很快111111111111111111111', 'star': 5}
{'descr': '很喜欢如家，家的感觉。。。。。。。。。。。', 'star': 5}
{'descr': ' 房间不错，还是一如既往的如家，', 'star': 3}
{'descr': '环境还可以，就是热水热的很慢，有点影响整体心情', 'star': 3}
{'descr': '标准间感觉很小，床都靠到墙了。不过早上的自助还是不错的', 'star': 1}
{'descr': '一如既往，各方面都算满意，只是早餐比别的如家酒店稍差，种类少~~', 'star': 5}
{'descr': '屋里有点冷，别的还好', 'star': 3}
{'descr': '还不错，挺干净的', 'star': 3}
{'descr': '网速是住过的如家里最快的', 'star': 3}
{'descr': '不错，挺干净，交通也较方便', 'star': 3}
{'descr': '很满意，因为去冰雪大世界打车才13块钱，去中央大街和火车站打车都是十几块钱，很方便，虽然屋子不太大，但是还算可以', 'star': 5}
{'descr': '除了网速不行，其它都还好', 'star': 3}
{'descr': '屋子很小\u3000离电梯太近\u3000休息不好啊\u3000半夜都很吵，但是很干净\u3000网速不错', 'star': 5}
