{'短评内容': '房间感觉很旧很压抑，卫生条件不怎么样，就是价格便宜！', '短评打分': 3}
{'短评内容': '价格较为合理', '短评打分': 4}
{'短评内容': '很好，不错。', '短评打分': 5}
{'短评内容': '客房至少应该每天倒一次垃圾，可是竟6天内一次未做', '短评打分': 1}
{'短评内容': '一切还可以‘朋友们可以去住’价钱便宜‘交通方便’', '短评打分': 5}
{'短评内容': '住过最差的地方了。。。要考试是在没办法了。。', '短评打分': 1}
{'短评内容': '还可以 2楼还有窗 比较干净 性价比高 液晶电视 推荐', '短评打分': 5}
{'短评内容': '酒店太冷了！而且 很偏僻! 而且 热水不是24小时  用用就没有了！ 还有马桶超级脏  超级恶心！ 都没有刷！ 而且电视还不好使 电源 插座 极垃圾 ···以后都别去！！', '短评打分': 1}
{'短评内容': '在北京这个价位值了。独立卫生间。交通便利。缺点是冬天房间不太暖，被子薄。电视信号不好。热水不稳定，一会就变凉了。总体还是舒适的。', '短评打分': 5}
{'短评内容': '还可以吧，是给朋友订的，价格便宜，适合学生。', '短评打分': 5}
{'短评内容': '隔壁叫床声很大,水温不稳定，开始很烫后来就只有凉水了', '短评打分': 1}
{'短评内容': ' 水很热，就是房有些小，毛巾看着不怎么干净。', '短评打分': 3}
