{'短评内容': '除了网络差点，其他都挺好。', '短评打分': 5}
{'短评内容': '强烈不推荐！进去房间一股霉味，晚上热水不热没法洗澡。要求十二点之前退房，延迟退房一小时多收20元，每增加一小时，就多收20，不到一小时按一小时收费。服务呆板，好无人情可言。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '超乎想象，比旁边的汉庭  好多了', '短评打分': 5}
{'短评内容': '房间很小，隔音不大好，能听见隔壁屋的声音。其他还行。', '短评打分': 5}
{'短评内容': '房间很小，隔音不大好，能听见隔壁屋的声音。其他还行。', '短评打分': 5}
{'短评内容': '住的很爽，地方装修很棒，水也很大，下次来还会光顾。', '短评打分': 5}
{'短评内容': '精緻乾淨，價格合理，服務不錯。精緻乾淨，價格合理，服務不錯。精緻乾淨，價格合理，服務不錯。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总之是长住的店', '短评打分': 5}
{'短评内容': '不错………条件环境都好', '短评打分': 5}
{'短评内容': '每次出差都住这，干净`装修温馨。', '短评打分': 5}
{'短评内容': '快捷酒店里比较好的，地理位置方便，很干净', '短评打分': 4}
{'短评内容': '价格便宜，很干净，住着挺舒服', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好  推荐。。。。。。。。', '短评打分': 5}
{'短评内容': '感觉比如家汉庭好', '短评打分': 5}
{'短评内容': '酒店设计的很有宜家风格，非常不做，住的很舒服', '短评打分': 5}
{'短评内容': '酒店室内装修很精致  算是干净  位置也不错', '短评打分': 5}
{'短评内容': '酒店房间不是很大，装修很简单实用，是宜必思一贯的风格。早餐相对简单而且要单付钱。性价比还是可以的。', '短评打分': 3}
{'短评内容': '第二次入住，主要是喜欢这家酒店的设计风格，其他的没有了', '短评打分': 5}
{'短评内容': '还行吧，设计风格挺喜欢，就是前台服务很一般，评论的有点晚了', '短评打分': 5}
{'短评内容': '虽然酒店在马路旁边，但房间比较安静，卫生。', '短评打分': 5}
{'短评内容': '硬件不错，服务态度也很好，但服务理念不行', '短评打分': 5}
{'短评内容': '整体还是不错的，以后还会选它的。', '短评打分': 3}
{'短评内容': '装修风格不错  简洁大方房间有点小 房间之间隔板很薄隔音不好旁边放啥电视后都知道', '短评打分': 3}
{'短评内容': '设施齐全，环境优雅，服务很好，下次还会去的', '短评打分': 5}
{'短评内容': '环境不错~挺舒适的。值得亲自一试~~~~~', '短评打分': 5}
{'短评内容': '交通较方便~已是第二次入住 下次还会继续入住~', '短评打分': 5}
{'短评内容': '整体环境不错，隔音好，很温馨，大房间很划算！', '短评打分': 5}
{'短评内容': '酒店各方面都挺不错。不过可能因为我住的时间太长，打扫卫生跟不上。有好几天连地都没拖。。。', '短评打分': 5}
{'短评内容': '酒店很温馨，喜欢内部的装修，让人有家的感觉，网速也比较快，性价比高！值得推荐！', '短评打分': 5}
{'短评内容': '在市中心移动方便 ，还蛮的的..............', '短评打分': 5}
{'短评内容': '房间很舒服，洗澡的沐浴露不太够用，其他还好', '短评打分': 5}
{'短评内容': '价格、态度还可以，就是里面也没有吹风机，洗手间也感觉挺不舒服的', '短评打分': 5}
{'短评内容': '酒店很干净，不错的酒店。值得入住，只是早餐一般。', '短评打分': 5}
{'短评内容': '价格位置比较不错 感觉比如家等快捷酒店更要好一点~ 下次继续入住~', '短评打分': 5}
{'短评内容': '房间不错，早餐太差。', '短评打分': 3}
{'短评内容': '很好很满意，有氛围，可惜省的梳子都没了。价钱便宜，值。', '短评打分': 3}
{'短评内容': '（1）5月下旬天气已经很炎热了，该酒店回应无空调\n（2）刚入住发现，酒店赠送的矿泉水是个班瓶\n（3）酒店无商店，一楼自动投卖机出现故障，不找零了，告知前台，被前台告知，该机器费酒店内安装，明天早上再确认。\n（4）酒店电视频道极少，共15个，没有欧最喜爱的体育和电影频道\n（５）洗澡没有沐浴露，真晕了。', '短评打分': 1}
{'短评内容': '还行，这个价位的酒店，住这还可以。下次还来。', '短评打分': 5}
{'短评内容': '环境不错~位置也不错~房间设计也很温馨。~', '短评打分': 5}
