{'短评内容': '环境一般', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '环境挺好', '短评打分': 5}
{'短评内容': '帮朋友定的 ，  说早餐很简单', '短评打分': 5}
{'短评内容': '交通方便，价格还不错', '短评打分': 5}
{'短评内容': '服务不错，交通便利，离中山路步行街及东渡码头不远，来去很方便。只是酒店设施有些简单，不过价格合理，总之还不错。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '恩', '短评打分': 5}
{'短评内容': '环境不错，就是床有点硬，第二天换了一间房，因为之前那个下水道堵了', '短评打分': 5}
{'短评内容': '5011下水道不下水，后来让阿姨来看了一下 还主动给我们送了毛巾，估计已经很多次这种情况了。第二天换了一间房就好了。床实在是有点硬', '短评打分': 5}
{'短评内容': '酒店不错，离公交车近，服务也不错的,中间一晚漏水，但是给我们换房间了，总体还是不错的', '短评打分': 5}
{'短评内容': '很好,准时入住!', '短评打分': 3}
{'短评内容': '一般吧。一般吧 。设施之类正常。有电脑。位置不错。档次太差。', '短评打分': 5}
{'短评内容': '不错的酒店，虽然刚进来大厅不起眼，但是房间是真的好，', '短评打分': 3}
{'短评内容': '环境挺好的，交通也很方便，前台服务很周到！！！', '短评打分': 5}
{'短评内容': '太差了。劝告大家别住', '短评打分': 3}
{'短评内容': '不错的酒店，服务还算可以，酒店装饰很有特色，就是早餐要走出酒店到另外一家酒店才可以吃', '短评打分': 5}
{'短评内容': '是在银行中心的后面，房间还不错', '短评打分': 3}
{'短评内容': '这家酒店真的还需要完善，首先就是车到了酒店门口找不到停车指示，只好跑进去问保安，保安也爱理不理，只是告诉你在酒店旁边下车库，坐在那里根本不会说到大门口指示一下，害得我们又兜了一圈才找到停车场。其次前台就像招待所。我们一家是中午1点多到的，结果被告知房间还没打扫要等半小时。我们只好出去吃东西，2点多回到酒店，前台说房间可以了，上去一看，被子没折，垃圾没倒，卫生间没清洁，清洁阿姨说根本还没打扫，又跑到', '短评打分': 1}
{'短评内容': '酒店没想象中大，但是位置很好，旺中带静，转弯就是天虹，巴士站，还有意外惊喜就是步行五分钟不到就可以吃到大同烧鸭粥和开禾沙茶面', '短评打分': 3}
{'短评内容': '房间很好，很宽敞，干净，交通也比较方便，100多米公交线路很多，可以到很多景点。', '短评打分': 5}
{'短评内容': '停车不方便，地理位置挺好的，走走也不错，就能到', '短评打分': 5}
{'短评内容': '很好很好。。步行可到步行街。就是出租车不好打', '短评打分': 5}
{'短评内容': '欧式风格，还可以，床比较硬，早餐要到隔壁酒店去吃', '短评打分': 5}
{'短评内容': '房间较大，各方面还不错，有些小小瑕疵，要求不高的人应该可以接受', '短评打分': 5}
{'短评内容': '欧式的装修风格喜欢，房间较大，只是有色设施还需添加', '短评打分': 5}
{'短评内容': '非常棒的酒店！环境舒适，前台服务特别贴心！强烈推荐！', '短评打分': 3}
{'短评内容': '很干净，离中山路以及码头都不算远，价格也不贵。只是服务态度有代提高。房间里有个长条桌子还挺不错，建议朋友去了可以喝茶聊天，打牌。', '短评打分': 5}
{'短评内容': '门面不起眼！！里面房间不错！！就是空间的声音比较响！！不习惯有轻微噪音的不推荐', '短评打分': 5}
{'短评内容': '从机场过去还不是很远，打车也就30几块钱。离中山路也蛮近的。唯一不好的就是空调的声音有点大。服务员的态度也很好。', '短评打分': 5}
{'短评内容': '真的很不错~住的情趣房~没得说~非常棒~强烈推荐一下', '短评打分': 5}
{'短评内容': '房间超大，装修欧式风格，很喜欢，酒店环境好，交通方便，很赞', '短评打分': 5}
{'短评内容': '酒店房间干净整洁，服务态度挺好的。周围交通非常便利  餐饮也挺多的  出行和吃饭都很方便，就是早餐要去拿现金劵去隔壁小店现点现煮 很麻烦。', '短评打分': 3}
{'短评内容': '酒店位置很好，步行十分钟可以到达中山路步行街。房间很大，欧式的装修风格。\n如果去鼓浪屿旅游，千万别住岛上，建议还是住市区方便。', '短评打分': 5}
{'短评内容': '欧式的感觉，很豪华，浴室很大，房间很宽敞。灯饰也很漂亮。住的很舒服。但是床很硬。', '短评打分': 5}
{'短评内容': '房间很大，欧式家具，落地窗，两侧有两扇可以打开的窗户，有百叶窗式的护栏，洗漱的龙头有两个出水口，一个是普通出水口，前端还有一个纯净水出水口，可以直接饮用。总之是我喜欢的风格。还有睡袍提供。离中山路，火车站，轮渡都比较近。床有点硬。5011房间的下水比较慢。\n好像有其它楼层在装修，有电锯的声音，由于我们带了小孩，中午回来睡觉，睡到下午3点左右，所以听见了。但如果是白天出去玩，晚上回来睡觉，这个应该不', '短评打分': 5}
{'短评内容': '房间很大，欧式家具，落地窗，两侧有两扇可以打开的窗户，有百叶窗式的护栏，洗漱的龙头有两个出水口，一个是普通出水口，前端还有一个纯净水出水口，可以直接饮用。总之是我喜欢的风格。还有睡袍提供。离中山路，火车站，轮渡都比较近。床有点硬。5011房间的下水比较慢。', '短评打分': 5}
{'短评内容': '还要补充下。。床很硬。。。。浴室下水有问题。。', '短评打分': 1}
{'短评内容': '交通挺方便的，卫生不是很好床单有点脏上次而且还发现葵花籽壳。。。晚上空调声音太大了。。开窗就更吵了。。。', '短评打分': 1}
{'短评内容': '房间大，出行方便，但客房服务有待提高，设施应及时检查维修。', '短评打分': 1}
{'短评内容': '大堂很小，看起来不太好的样子，但是房间挺好的，不过350的价格稍贵了些，个人觉得300差不多。另外，窗户是密闭的，通气不太好，有点憋。', '短评打分': 5}
{'短评内容': '环境和内部都不错，比想象中的好，也就是有点热', '短评打分': 5}
{'短评内容': '地段好找。欧式风格非常喜欢，房间很大 ，都很新，我和朋友都很喜欢，下次去厦门还会选择！', '短评打分': 5}
{'短评内容': '房间还算干净整洁 床铺很硬 窗户把手是坏的\n周围环境比较安静 这一点很好\n酒店早餐及其差 \n前台服务人员态度很好\n下次不会再入住了\n不推荐\n', '短评打分': 5}
{'短评内容': '房间内部非常好，古典和温馨。住起来感觉很安心。卫生间的环境也不错。提个小建议，就是床够大，但有点点硬，稍微软点就完美。另外酒店大厅稍微有点小，进大厅直到房间这一段，走起来有点冷清，也许厦门就是这样的风格。', '短评打分': 5}
{'短评内容': '地段很好，酒店附近也有好几家吃饭的店,装修很新,很不错，房间很大，很新，洗手间也很大，洗手池也比普通的大,洗澡的喷头也很大,地段离火车站也不远,打车17元左右.离轮渡码头也近,走路10分钟,离中山路也近,走路10分钟，个人认为这个价格，对于这个房间不贵,除了酒店大门看着不怎么气派,房间真的很值,值得推荐，白色的欧式风格,床也很大，还有落地窗,下次去厦门的话还是会选这家', '短评打分': 5}
{'短评内容': '正在装修会有些影响，但硬件条件很好，性价比很高。推荐。', '短评打分': 5}
{'短评内容': '价格有点偏高，设施上的小细节还需要加强！ 例如：个人护理包，淋浴间的置物台，床头的灯光控制，小酒吧，保险柜，衣架，窗帘等等对于一个房费在788的房间来说这些都需要加强！', '短评打分': 5}
{'短评内容': '酒店位置出行方便,酒店比较干净安静,出门公交多,到哪都方便.比较喜欢这家酒店.', '短评打分': 5}
{'短评内容': ' 酒店和网上介绍的还是有差别的。', '短评打分': 3}
{'短评内容': '酒店在装修，房间还算比较干净，不过设施比较简陋', '短评打分': 5}
