{'短评内容': '环境还可以 价格还不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '棋牌室不错，房间热水太烫，几乎没有冷水，过年出游，一般吧', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '隔音不好，旁边KTV有点吵，其他都还可以！', '短评打分': 5}
{'短评内容': '老客户了，挺好的！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设施有点旧了，早餐也相当一般，感觉不值这个价', '短评打分': 4}
{'短评内容': '非常好！非常好！非常好', '短评打分': 3}
{'短评内容': '被褥舒适，水热，房间通风良好，服务员很热情。就是不知道为什么艺龙不能继续订了？', '短评打分': 3}
{'短评内容': '很好 酒店位置不错 服务也好', '短评打分': 3}
