{'短评内容': '这个酒店不错', '短评打分': 5}
{'短评内容': '酒店价格还可以，454元/天。早餐还可以，酒店内有餐厅。酒店周边小餐馆也很多，吃饭非常方便，离海边很近，但在酒店看不到海。服务不错。', '短评打分': 5}
{'短评内容': '酒店真的很不错，硬件很好，离海边很近，海边走走，风景很美。饭店的服务非常好，服务员热情周到，早餐很好。', '短评打分': 5}
{'短评内容': '在酒店买去长隆的机票，就可以坐酒店的大巴到长隆', '短评打分': 5}
{'短评内容': '地段优势好，环境优雅，海景房优美。', '短评打分': 5}
{'短评内容': '酒店服务不错，去的时候给我升级了套房，早餐挺丰富的。', '短评打分': 4}
{'短评内容': '在拱北过关提前一天来住 很近,可以走去拱北!房间很大,我住的是海景房十层的.个人认为没必要海景，因为也并不太好看!房间唯一不好的是床过于软了腰疼！从携程上订房确认订单在大堂等了很久,服务还是很热情的。早餐赞赞赞', '短评打分': 4}
{'短评内容': '酒店的位置还可以，离拱北口岸不远，出行交通也方便。房间的设施还比较齐全，卫生做的一般，服务水平不高。早餐还是很丰盛的。', '短评打分': 5}
{'短评内容': '不错，入住好多次了。', '短评打分': 4}
{'短评内容': '特别好，非常完美，下次还会继续购买', '短评打分': 5}
{'短评内容': '特别好，非常完美，下次还会继续购买', '短评打分': 5}
{'短评内容': '还挺不错，性价比较高', '短评打分': 5}
{'短评内容': '入住免费停车，没想象中的好，398的价格觉得有点高，房间很小设施有点不完善，酒店前台服务态度不好。', '短评打分': 5}
{'短评内容': '物流服務不錯，貨品十分理想。', '短评打分': 5}
{'短评内容': '哈，都说评论有礼品哈，都说评论有礼品哈，都说评论有礼品去', '短评打分': 5}
{'短评内容': '环境不错啊，sss', '短评打分': 5}
{'短评内容': '其他还好，就是隔音效果实在太差了，而且停车还收费。', '短评打分': 4}
{'短评内容': '红红火火恍恍惚惚，可以', '短评打分': 5}
{'短评内容': '酒店好 离海关近  周边繁华', '短评打分': 5}
{'短评内容': '酒店离口岸和城轨珠海站非常近，出行方便，到海边也近，这些地方走路都可以到，附近吃饭也非常方便，酒店服务非常好，很满意！下次去还可以选这家酒店', '短评打分': 5}
{'短评内容': '黄金时期预订，没有办法，价格很贵。整体感觉一般，早餐不好不坏，人员态度还好。设施略显陈旧，要不是航展是不会住的。', '短评打分': 4}
{'短评内容': '   位置距离拱北口岸不算远，酒店服务还可以，房间安静，干净，只是房间不够大，有点小，没有标明的30多米。', '短评打分': 4}
{'短评内容': '每年去珠海都是选择这家，周边小吃忒别多，还有很多夜排挡。去拱北关口也方便，就是喜欢这家！虽然设施有点旧，但是服务还不错的。', '短评打分': 4}
{'短评内容': '三星到四星之间的水平，自助餐难吃，服务差，要每天客人自己去领饭票，前台直接扔出来一张，感觉爱吃不吃的样子，说海景房结果被三栋大楼挡着', '短评打分': 2}
{'短评内容': '房间够大 床铺太软 早餐免费 服务员有礼貌 停车方便 吃饭方便 去澳门方便 入住率高 有个大堂经理长的还不错 下次把她啪了', '短评打分': 3}
{'短评内容': '很好好', '短评打分': 5}
{'短评内容': '很好第二次进驻了', '短评打分': 5}
{'短评内容': '空调好吵', '短评打分': 5}
{'短评内容': '酒店附近交通出行便利，各方面都比较满意。', '短评打分': 4}
{'短评内容': '酒店位置很好，步行去拱北关口也就600、700百米，酒店的设施还是比较新的，卫生条件也不错，唯一不足的就是刚刚入住时味道比较大，可能是很久没人住的霉味吧，但是打开窗过了会就好多了。', '短评打分': 4}
