{'短评内容': '还可以的', '短评打分': 4}
{'短评内容': '酒店住置不错，门口就有公交车站。刷卡入楼层区域，房间干净无异味，沐浴热水，有暖气。前台还给迟时退房。印象好下一站旅程继续选星程连锁了', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '紧邻学校，太方便了。', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 4}
{'短评内容': '宾馆整洁卫生', '短评打分': 5}
{'短评内容': '设施有点老了，交通还比较方便', '短评打分': 5}
{'短评内容': '酒店自带的饭店有点吵，在国家电网办事很方便', '短评打分': 4}
{'短评内容': '位置好，没办法。要方便就这里了。', '短评打分': 4}
{'短评内容': '一般，整体性很一般', '短评打分': 4}
{'短评内容': '还行吧，中规中矩，位置在学校门口', '短评打分': 4}
{'短评内容': '设施不错，第一次住得非常满意，最近状况已有所退步，但还是值！希望保持下去', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '位置方便', '短评打分': 4}
{'短评内容': '母校的酒店，搞同学活动基本就在哪里，值得赞，但是希望进一步提高服务意识，进一步搞好客房卫生和环境！', '短评打分': 5}
{'短评内容': '这个酒店市南邮的酒店，母校的活动就在里面搞，没什么好说的，赞一个，不过如果有可能，希望前台的服务在客气一点，对我们这些客人要有点服务意识！推荐！', '短评打分': 5}
{'短评内容': '大家注意了，环球酒店改名了，改名为星辰酒店了，不要到了那里还找不到哦，酒店是全新的装修，空间，设施，卫生，都一流哦，太棒了，下次去还住这里。', '短评打分': 5}
{'短评内容': '＋酒店住的还算舒服，宽带不能上网，电脑权势宁度，别的倒是没什么问题', '短评打分': 3}
{'短评内容': '很好!!!!!!!还会去！！！！!!!!!!!!!', '短评打分': 1}
{'短评内容': '距离国家电网电科院较近，办事方便，老牌星级酒店装修。', '短评打分': 5}
{'短评内容': '网上订的房 ，不提供早餐。房间还行，上网速度慢', '短评打分': 1}
{'短评内容': '房间中规中矩～', '短评打分': 3}
{'短评内容': '挺不错', '短评打分': 3}
{'短评内容': '干净明亮舒适。', '短评打分': 3}
{'短评内容': '还好吧！就是贵了些！', '短评打分': 3}
{'短评内容': '房间有味道', '短评打分': 3}
{'短评内容': '＋房间还算干净，性价比还行，但靠近马路比较吵。四楼的陆琴脚义不错，可以尝试一下', '短评打分': 3}
{'短评内容': '酒店价格还可以，但是看起来感觉不太干净，就像发霉长毛似的', '短评打分': 1}
{'短评内容': '就是临街吵闹了点，其它的都不错！挺值的！', '短评打分': 5}
{'短评内容': '，已入住，房号8711和8715。该酒店太冷，热水老没有。', '短评打分': 3}
{'短评内容': '这个酒店还好，干净，服务态度好，总体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店还不错，值得推荐，价格也满公道的，还会光顾', '短评打分': 5}
{'短评内容': ' 原来南邮的培训中心，很方便，到湖南路也很近', '短评打分': 3}
{'短评内容': '实在达不到准4，房间设施较为简陋，酒店给点房间也较偏', '短评打分': 1}
{'短评内容': '没有早餐，出门也没什么好的饭馆。性价比不高，半夜还老听见隔壁的叫声。去夫子庙那边打车要二十几块，到中山陵要三十几块，如果去南京玩，不建议住这里。', '短评打分': 1}
{'短评内容': '环境静雅，位置适中，李美食街湖南路几步之遥，是美食、逛街、休闲好去处', '短评打分': 5}
{'短评内容': '价格适中，设施有点旧。离南邮近。很方便。。。。。', '短评打分': 5}
{'短评内容': '干净卫生非常好', '短评打分': 3}
{'短评内容': '感觉很一般，有车的话还可以，有免费停车场。附近没有什么步行5分钟可以找到吃饭的地方，预定前以为在鼓楼商业中心，结果离中心还很有点距离', '短评打分': 5}
{'短评内容': '入住不错', '短评打分': 3}
{'短评内容': '第二次住这家酒店了，这次发现房间内的电视频道比上次增加了不少，有改变！酒店总体的感觉还不错，到山西路美食一条街很近，购物、逛街都很方便。', '短评打分': 5}
{'短评内容': '虽然给我免费升级到商务套房，房间的配套还没有完善，连个总台号码提示都没有，有线电视也没有，服务态度还好', '短评打分': 1}
{'短评内容': '房间地毯味道很浓，前台和早餐厅的说法不一致，管理混乱！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '酒店就在我们院总部对面，每次来都要住这个酒店，的确前台服务员的态度不好，不过这次还可以，住过东南大学里面的宾馆后，就觉得这个酒店的条件还算是好的了', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '可以干净，但大厅服务太差，可能是老板的亲属', '短评打分': 5}
{'短评内容': 'LINGUOQING519', '短评打分': 3}
{'短评内容': '酒店环境不错，周围小吃店多，但其他如交通购物等方面有点不便。', '短评打分': 3}
{'短评内容': '酒店名不副实，住8楼中央空调很吵，位置离市中心远，不方便，周边环境差，价位高，不值的。服务也不正规。', '短评打分': 1}
