{'短评内容': '阴森恐怖，胆大的人可以挑战一下，特别是2214房！我是进门就吓跑了，房费都没给退，特别坑！！！', '短评打分': 1}
{'短评内容': '位置还可以。', '短评打分': 3}
{'短评内容': '不人性化', '短评打分': 3}
{'短评内容': '早餐味道一般，停车场超大的。', '短评打分': 5}
{'短评内容': '还不错！唐韵大酒店这边适合出差办公的，服务不错', '短评打分': 5}
{'短评内容': '听说还行的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好住的酒店.经常住.便宜.方便…商务接待有专业的泡茶房间好', '短评打分': 4}
{'短评内容': '安静舒适', '短评打分': 4}
{'短评内容': '挺好的，安静！周边便利', '短评打分': 5}
{'短评内容': '房间大又舒服卫生，酒店服务态度很好！', '短评打分': 5}
{'短评内容': '房间舒服环境一流卫生好！', '短评打分': 5}
{'短评内容': '房间大，没别的了', '短评打分': 3}
{'短评内容': '三人间超级大，床也舒服，设施都很好。而且可以免费泡温泉，鱼疗什么的。', '短评打分': 5}
{'短评内容': '房间干净，整洁。值得入住。', '短评打分': 3}
