{'短评内容': '服务好，热水挺给力，房间空调也挺好的', '短评打分': 5}
{'短评内容': '可以 划算', '短评打分': 5}
{'短评内容': '酒店位置很方便，住的很舒心，卫生打扫的非常及时，服务人员特别热情，而且楼下还有出去游玩的指示标签……', '短评打分': 5}
{'短评内容': '服务态度好，房间不错，位置佳', '短评打分': 5}
{'短评内容': '挺好 前台非常热情', '短评打分': 5}
{'短评内容': '很好，很完美，挺实惠', '短评打分': 5}
{'短评内容': '酒店离西安第四医院很近，房间也不吵，价格也实惠满意！', '短评打分': 5}
{'短评内容': '房间有点小，但是很干净，价位也很便宜，很安静', '短评打分': 5}
{'短评内容': '可以免费停车，地方不是很好找', '短评打分': 5}
{'短评内容': '挺好的，交通便利，门口还有许多吃的，环境干净卫生。挺愉快的一次住宿。', '短评打分': 5}
{'短评内容': '宾馆还可以，有点偏，但挺安静，以为提前网上预付价会有价格优势，但当天去宾馆看，反比挂牌价多一元，预付不退款还挺限制行程的', '短评打分': 1}
{'短评内容': '设施很旧', '短评打分': 4}
{'短评内容': '还。     行。         吧。                               凑活住', '短评打分': 4}
{'短评内容': '住过几次，感觉还好，就是空调该换了，装些暖气不然冬天太冷了，希望以后多做些优惠才好。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间设施有点破旧了，装修的不好。住还是能住', '短评打分': 4}
{'短评内容': '房间干净卫生', '短评打分': 5}
{'短评内容': '酒店环境挺好，吃饭的地方特多，离火车站不算太远，公交有直到大燕塔，鼓楼，小吃一条街的', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '经常住这因为离办事的地方近', '短评打分': 4}
{'短评内容': '酒店周边环境还好，离钟鼓楼很近，房间设施太差了，牙具还得交钱买', '短评打分': 3}
{'短评内容': '环境可以', '短评打分': 4}
