{'短评内容': '有早餐', '短评打分': 5}
{'短评内容': '不错啊不错啊不错啊不错啊', '短评打分': 5}
{'短评内容': '设施高端但很陈旧，服务一般。', '短评打分': 4}
{'短评内容': '感觉不错，到哪都特别方便。', '短评打分': 5}
{'短评内容': '一般般…………………………………………………………………………………………………………………………………………………………………………', '短评打分': 3}
{'短评内容': '环境优美安静 早餐还不错', '短评打分': 5}
{'短评内容': '环境不错，设备设施也比较好，就是服务一般，酒店里面提供的免费水，退房时多向服务员要了两瓶，一般快捷都会给的东西，酒店居然收费，你收费可以，但是你要告知一下吧？也不说，结账时一瓶收我十块钱！300ml的免费水你收十块钱一瓶，有点过了吧！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '该酒店环境优雅，是花园式酒店，出差首选。', '短评打分': 5}
{'短评内容': '设施比较老旧，早餐非常一般，周边到还比较方便。', '短评打分': 4}
{'短评内容': '床垫弹簧太硬，空调控温有问题', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '看图吧，房间有小强的尸体，洗漱用品是用过的，肥皂包装已经发霉。早点也没什么选择，就粥和水煮蛋还行。', '短评打分': 3}
{'短评内容': '整体不错，很安静，住的别墅区，就是吃饭还得穿戴整齐去宴会厅，不太方便。听说这个是接待政府机关的多，所以说房间才那么复古吗？商务出差还是觉得住酒店好一些！个人建议！', '短评打分': 5}
{'短评内容': '环境、服务一流，推荐大家入住。', '短评打分': 3}
{'短评内容': '酒店环境很好服务态度好，设施很陈旧', '短评打分': 3}
{'短评内容': '据说是领导人来大庆下榻的酒店，环境很好，不过我住的5号别墅有点设施陈旧，洗澡水忽冷忽热，叫了服务员报修，也没有改善，早餐品种太少，前台速度很慢。', '短评打分': 1}
{'短评内容': '住的比较满意，环境非常安静，服务业挺好的', '短评打分': 5}
{'短评内容': '价格略高.设施陈旧，而且室内空间很小.位置比较好找出行很方便.服务人员还可以.', '短评打分': 3}
{'短评内容': '高昂的价格，低廉的配置。\n\n商务还是别去住，休闲倒还可以。性价比严重不足。\n狭小的房间，狭小的两张床。\n680的价格：（\n', '短评打分': 1}
{'短评内容': '酒店住宿环境特别好，房间很宽敞，也蛮高的，住着一点也不压抑，房间卫生条件很不错，打扫的很干净，院子蛮大的，环境很好', '短评打分': 5}
{'短评内容': '酒店有自己的停车位，车位充足，很方便，服务特别好，服务员都很周到热情的，下次还会住的', '短评打分': 5}
{'短评内容': '性价比很高的酒店，服务挺到位的，当时我们入住的时候已经很晚了，前台服务员还是很热情的接待了我们，酒店位置不错，在主干道上，出行还是很方便的', '短评打分': 5}
{'短评内容': '装修不是太好卫生还行，酒店环境倒是挺好的。服务不行房间里面也上不了网，价格还是挺高了。', '短评打分': 5}
{'短评内容': '酒店的行政房装修的很不错，硬件设施齐全，很新，房间很大很宽敞，住着蛮舒服的。', '短评打分': 5}
{'短评内容': '别墅区正在改造，酒店的行政房装修还不错，房间很大，只是周边万达在施工', '短评打分': 5}
