{'短评内容': '经常住的酒店值得信赖', '短评打分': 5}
{'短评内容': '订的的无早餐，问客服吧，适合，离火车站和中心汽车站不远，出去玩很方便，有停车位', '短评打分': 5}
{'短评内容': '酒店位置离火车站近，房间不错，性价比高', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '早餐不错 服务良好', '短评打分': 5}
{'短评内容': '火车站附近，如家酒店不错', '短评打分': 5}
{'短评内容': '安静，干净，服务态度很好', '短评打分': 5}
{'短评内容': '挺好，这价格这条件很不错', '短评打分': 5}
{'短评内容': '房间非常干净，服务非常好，赞', '短评打分': 5}
{'短评内容': '都还可以 主要夜班的前台态度特别好', '短评打分': 5}
{'短评内容': '出行人比较满意', '短评打分': 4}
{'短评内容': '房间还是很干净的，屋内设施虽然不多，但是简单又实用，暖气很足，热水也挺好，除了有火车汽笛声，周围还是很安静的，又续住了三天，挺满意的。', '短评打分': 4}
{'短评内容': '环境不错，出游很方便。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '如家标准软硬件。离车站近，步行五六分钟。如果要吃饭买零食，还是要在车站附近完成再过去。', '短评打分': 5}
{'短评内容': '交通方便，在市场边，', '短评打分': 4}
{'短评内容': '服务很好，价格实惠，出行方便，房间内整齐干净。', '短评打分': 4}
{'短评内容': '干净 温馨  。', '短评打分': 5}
