{'短评内容': '酒店有一股潮味儿，房间也是', '短评打分': 3}
{'短评内容': '非常不错推荐！非常不错推荐！非常不错推荐！推荐推荐！非常不错推荐！非常不错推荐！非常不错推荐！推荐推荐！非常不错推荐！非常不错推荐！非常不错推荐！推荐推荐！非常不错推荐！非常不错推荐！非常不错推荐！推荐推荐！', '短评打分': 5}
{'短评内容': '一个字：烂！房间小不说 ，卫生间味道不是一般的大！卧室墙壁脏，毛巾，浴巾脏，没有沐浴液和洗发液', '短评打分': 1}
{'短评内容': '櫃台服務態度良好,整體感覺不錯.', '短评打分': 3}
{'短评内容': ' 还好吧。。。。隔音一般。。', '短评打分': 3}
{'短评内容': '定的大床B,结果前台给了个大床A,房间和床都小很多.', '短评打分': 3}
{'短评内容': '整体来说不错，但是有点闷，可能我住的是廊床的缘故吧，交通很便利，出行方便', '短评打分': 5}
{'短评内容': '定房很方便，对房间也很满意', '短评打分': 3}
{'短评内容': '快捷的标准 基本合格了。  感觉比如家好点', '短评打分': 5}
{'短评内容': '酒店在经济酒店中算是中等装修了  室内硬件还可以了  至少免费的洗刷用品还是有的 什么环保什么绿色啊 都是打着环保的旗号收费罢了  GRENN TREE 在这方面做得比较好 还是考虑对客户的方便', '短评打分': 5}
{'短评内容': '格林豪泰山大路店还可以，就是收赠早餐，房间偏贵', '短评打分': 3}
{'短评内容': '很好很强大，以后还回来住，经济实惠，干净最重要，大堂经理让人感觉有点不爽，很拽很嚣张，没有服务的姿态。', '短评打分': 5}
{'短评内容': '比较满意环境还算不错，价钱比较便宜。。。。', '短评打分': 5}
{'短评内容': '总体还行，唯一不满意的就是隔音效果太差太差！！上次是陪同学去考试的，结果到半夜了还被吵得睡不着', '短评打分': 5}
{'短评内容': '房间很舒服，服务很好，就是房间有点小，没有沙发茶几，总体很不错', '短评打分': 3}
{'短评内容': '边上楼的空调直接吵死，房间很小很封闭，住的很不舒服', '短评打分': 5}
{'短评内容': '交通便利~性价比蛮高~附近有不错的吃饭的地方~', '短评打分': 5}
{'短评内容': '很好，以后还来，我们一直很信赖，以后开会也要在这里', '短评打分': 5}
{'短评内容': '房间太小 隔音不好 服务一般 总体性价比不是很高 不推荐 ', '短评打分': 1}
{'短评内容': '服务差强人意\n饮水机换水，打了好几次电话都没有来，办事效率不高啊', '短评打分': 5}
{'短评内容': '+很好，很满意～', '短评打分': 5}
{'短评内容': '服务员效率很低，去的时候还赶上了电梯检修，楼梯间杂物堆放很多。', '短评打分': 5}
{'短评内容': '酒店不错。地理位置也不错。美中不足的是一台电梯整个楼层用。住在6楼实在是要等太久了。', '短评打分': 3}
{'短评内容': '很干净，很超值。但是最大缺点—隔音太差了，清晰地听见隔壁及楼道说话声', '短评打分': 5}
{'短评内容': '总体上不错，只不过一个电梯实在是太慢了。', '短评打分': 5}
{'短评内容': '一寸地段一寸金果然不假，这家不在黄金地段，因此只要泉城广场周围酒店一般的价格就能住的很好，房间很大，很干净，瓷砖很温馨，小tips很用心准备，是我在济南住过的最好的经济酒店，当然，不是说品牌，单论这一家酒店而言', '短评打分': 5}
{'短评内容': '酒店卫生很好，虽然靠近路口但是很安静，性价比很好，值得推荐', '短评打分': 5}
{'短评内容': '酒店位置不太好找，问了路才找到，入住很快房间也还不错，都是差不多的房型，值得信赖的酒店品牌', '短评打分': 5}
{'短评内容': '价格便宜，房间一般，晚上空调噪音很大，床铺比较潮。总体来说，性价比还是很高的。', '短评打分': 5}
{'短评内容': '孩子在山大上学，去看孩子选择入住，就在山大旁边，以前住过附近其他酒店，相比较该店性价比较高，交通便利，处于闹市区，购物饮食也很方便，如果只求住宿和性价比，推荐入住。', '短评打分': 5}
{'短评内容': '\u3000条件不错', '短评打分': 5}
{'短评内容': '隔音欠佳', '短评打分': 5}
{'短评内容': '＋酒店环境卫生都不错，值得推荐', '短评打分': 5}
{'短评内容': '挺不错的，服务卫生都很好，还有电脑用，性价比很高~', '短评打分': 5}
{'短评内容': '总体来说还是不错的 只是没想到订的房间是在九楼 做电梯到八楼 然后要爬很长的一段楼梯才能到 ，并且九楼刚装修完，味道还没去干净，总体来说还是可以的', '短评打分': 5}
{'短评内容': '酒店配备了电吹风和充电器，想得蛮周到的，大床A 有点小喔。', '短评打分': 3}
{'短评内容': '房间设施设备很好，要的淑女房，还有绒毛大熊呢，好可爱的。\r\n电脑速度还行，就是第二天网络中断了。希望下次还有机会来这里……\r\n支持，谢谢。', '短评打分': 5}
{'短评内容': '山大路店位置交通便利，就是大床房间有点小，配备了充电器和电吹风想得挺周到的。以后来济南还住这里。', '短评打分': 5}
