{'descr': '还是可以的&hellip;&hellip;个方面都合适', 'star': 5}
{'descr': '酒店就在杨家坪旁边，性价比挺高！', 'star': 5}
{'descr': '还可以的了，性价比比较高，以后还会考虑的', 'star': 5}
{'descr': '帮朋友订的，可以用优惠券，价格还可以，客人表示很满意。', 'star': 5}
{'descr': '酒店的服务和设施都不错，位置也方便，服务也很不错。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '交通比较方便，性价比较高', 'star': 4}
{'descr': '交通比较方便，性价比比较高', 'star': 4}
{'descr': '环境不错啊', 'star': 5}
{'descr': '好！', 'star': 5}
{'descr': '环境还不错，闹中取静', 'star': 5}
{'descr': '不错的酒店，但是价格能在便宜点就更好了', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '挺舒服 出差一般都是住他们家', 'star': 5}
{'descr': '还可以吧 前台服务态度不错 就是床单上有根头发...估计没换吧 这价钱已经不错了 一分钱一分货', 'star': 5}
{'descr': '很好比超市便宜', 'star': 5}
{'descr': '好好好好好好', 'star': 5}
{'descr': '质量真的很好的，大家值得购买的', 'star': 4}
{'descr': '屋子好旧，不是15年才装修的吗？整体感觉就是最一般的宾馆，算不上快捷酒店。对了，窗户隔音效果不好，路上车嗡嗡响。破坏了我心中锦江之星良好的形象', 'star': 2}
{'descr': '锦江之星一直都在住，还是很信任的', 'star': 4}
{'descr': '不错的，万象城附近算可以的了', 'star': 4}
{'descr': '干净整洁，值得一试。', 'star': 5}
{'descr': '好，不错，干净整洁', 'star': 5}
{'descr': '环境整洁舒适交通也很方便', 'star': 5}
{'descr': '本来只想住三天的后来觉得这家店的地地理位置和居住环境不错就住了一个星期', 'star': 5}
{'descr': '老的酒店了，服务态度很好，就是里面的设施太旧了，应该更换了，特别是床单，被套这些！', 'star': 4}
{'descr': '住了好多次了，价格很实惠，你杨家坪步行街也很近，关键是安静。', 'star': 5}
{'descr': '酒店雖然小了一點兒，但相對安靜', 'star': 4}
{'descr': '一切都挺满意的', 'star': 5}
{'descr': '一直喜欢锦江之星干净整洁舒服的感觉！', 'star': 4}
{'descr': '位置还不错，很满意，服务不错，房间很好~', 'star': 5}
{'descr': '找了好久，位置真心不好找', 'star': 5}
{'descr': '总体还不错哦，非常体贴，当时几天下雨，酒店还提供雨伞。\n房间很整洁，就是临街的有点吵，关上窗户会好些。', 'star': 5}
{'descr': '挺不错的一家酒店，地点方便，保持了锦江的水准', 'star': 5}
{'descr': '房间干净卫生。服务也热情周到。除了前台有个胖点的女的接待时态度不是特别好。', 'star': 3}
{'descr': '位于杨家坪繁华的商业街附近，购物很方便。', 'star': 5}
{'descr': '酒店位置一般，门开的比较不好找，反而旁边的七天要醒目的多，交通还算方便，但去任何景点都要坐至少半小时以上的车，前台服务员态度一般，不热情，总体感觉一般吧。', 'star': 3}
{'descr': '环境不错，周边也很繁华、开心的旅途，舒适的酒店', 'star': 3}
{'descr': '个人更觉得锦江之星比如家、汉庭、7天等更规范、更舒适。', 'star': 5}
{'descr': '床上用品有的脏,尤其是枕头。我觉得锦江之星不应该这样，有损形象', 'star': 5}
{'descr': '好极了！好极了！好极了！好极了！好极了！好极了！好极了！好极了！', 'star': 5}
{'descr': '酒店很不错，卫生整洁舒适，交通便利有轻轨出行很方便，', 'star': 5}
{'descr': '以前来重庆就住过这家，这次是觉得不错，再次入住。喜欢干净简约的内部环境，外部环境就忽略不计了，呵呵。离轻轨近，交通方便。就是楼下的环线车道，打车不方便。总体来说，还是推荐的。', 'star': 5}
{'descr': '每次去重庆都住的这家，挺好，离办事处近，吃饭方便。\n不足是，楼下的车辆有点吵，不过还可以接受。', 'star': 5}
{'descr': '好！交通方便！干净卫生好！交通方便！干净卫生', 'star': 5}
{'descr': '位置很好，很方便。酒店设施就一般，房子比较老，周边环境比较嘈杂。', 'star': 5}
{'descr': '到酒店之后被告知预定的房型只有二楼临街，相当吵，于是换成了标间A，还不错，对于商务出行来说足够了', 'star': 5}
{'descr': '酒店整体环境不错卫生干净，来杨家坪住这挺不错的', 'star': 5}
{'descr': '酒店环境卫生感觉不错，就是离朝天门有点远', 'star': 5}
{'descr': '很不错的酒店，性价比较高，早餐还不错，中晚餐就一般了，希望能改进口味。', 'star': 5}
{'descr': '外面就是马路，晚上非常吵，如果睡眠质量不高的一般睡不着。地段是很好，靠近杨家坪步行街，步行只需要2分钟，离谢家湾和杨家坪轻轨站也很近交通方便。但是酒店周围的环境尤其是楼下的会所可以用乱七八糟来形容。', 'star': 1}
{'descr': '酒店环境不错……交通方便，服务也很好……', 'star': 5}
{'descr': '性价比极高的经济型酒店，安全、舒适，这个价位没的说咯，以后常住！', 'star': 5}
{'descr': '相当不错啦，卫生、安全、舒服，以后还来的话，肯定是选择这里了。', 'star': 5}
{'descr': '这段时间经常到重庆，在锦江之星住过一次后感觉很不错，就这几次均入住。值得推荐', 'star': 5}
{'descr': '锦江之星...我的选择..不错不错...', 'star': 5}
{'descr': '相当不错，感觉比较好，性价比没的说咯，有机会肯定是常来这里住！', 'star': 5}
{'descr': '挺好的，环境不错就是地理位置不好找，找了半天才找到。', 'star': 5}
{'descr': '离步行街很近，但是听不到吵声，很是方便，比较干净', 'star': 5}
{'descr': '又一次入住感觉如前一样舒适,推荐在重庆短暂停留者入住', 'star': 5}
{'descr': '性价比比较高，房间还不错，就是不送早餐，早餐要18元，有点贵，前台有个小妹妹，比较好看，撅着小嘴。下次还住。', 'star': 5}
{'descr': '房间靠路边，噪音太大了\n主要是在一条主干道边上，晚上车太多', 'star': 1}
{'descr': '住了一晚，很满意，下次出差，再住这个酒店。', 'star': 5}
{'descr': 'B房就是有点小，还有冲凉的水，看似可以，实则有点难受。不过A房还行。', 'star': 5}
{'descr': '各方面都还好啦，安全性，舒适性都比较好，相当满意！', 'star': 5}
{'descr': '相当不错，感觉各方面都很好！就是洗衣服这方面有点麻烦!', 'star': 5}
{'descr': '酒店很干净，值得推荐。就是临街比较吵，宽带晚上可能上网的比较多有些慢', 'star': 5}
{'descr': '和网上标注的不一样', 'star': 3}
{'descr': '干净，卫生', 'star': 3}
{'descr': '住过的酒店里面，锦江是我觉得最干净的。每一次订的每一个房间都打开门，都给人很清爽干净的感觉。服务态度也多不错的，性价比挺高的一间酒店。', 'star': 5}
{'descr': '挺规范的连锁酒店，中规中距的，房间大小方面不算小了，设施齐全。当然，作为经济型的酒店，装修比较简单。此店唯一不便的是没有停车位，附近也不好找停车位置。打车倒也方便。', 'star': 5}
{'descr': '不错，交通也很方便', 'star': 3}
{'descr': '房间干净、整洁\n交通比较方便\n但因为临街，有点吵', 'star': 5}
{'descr': '步行街旁边，房间很干净，交通也方便，性价比不错。', 'star': 5}
{'descr': '服务还算不错，里面房间也可以呢，只是临街有些吵，特别是白天', 'star': 5}
{'descr': '挺标准的标间，一切都好。只是附近晚上有摩托经过较吵', 'star': 5}
{'descr': '房间很大，挺不错的，住着还算舒服，下次还来。', 'star': 5}
{'descr': '预订的标准B确实太差了，不仅是指定对着电梯的房间。房间就是一个角落开辟出来的，卫生间很小。房间很旧了，很闷，不舒服。进去发现被单里衬好大一团血，明显是某个女子的。。。还好服务中心来换了。', 'star': 1}
{'descr': '比较干净；地理位置不错，生活很方便；服务OK；总体OK。', 'star': 5}
{'descr': '在这种价格和这种地段也不奢求了，还算将就吧。', 'star': 5}
{'descr': '酒店的服务和环境都没话说，就是地图当时没有仔细研究，实在离市中心太远了，去哪里搭车都要半小时以上，住了一天就换了酒店', 'star': 1}
{'descr': '出入交通比较方便，酒店比较干净整洁，就是临电梯的标准B间有点小。还有不足的就是浴室里面的沐浴露和洗发液应经常检查，保持有沐浴露和洗发液。（我们最后一天就没有了）。\n', 'star': 5}
{'descr': '一直住这里非常好，服务态度很好，，，，，，，，。。。。。。。。。。。。。。。。。，。。。。。，，。。。。。。。。。。。。', 'star': 5}
{'descr': '已经是第三次入住该酒店了，酒店的位置非常好。价格也非常好，特别是酒店的服务员态度非常好，但使我没想到的是结账时居然用了40多分钟，差一点误了火车。酒店的账乱的无法结算，两个前台服务员轮番上阵都没算清，为了赶火车我只好将有签字的单据和无签字、无单据的糊涂账都认了。下次到重庆是否还住该酒店？难说。 \n', 'star': 1}
{'descr': '已经是第二次入住该酒店了，酒店的位置非常好。价格也非常好，特别是酒店的服务员态度非常好，下次到重庆一定还住该酒店。', 'star': 5}
{'descr': '锦江之星很不错，我们预定了房间，酒店说肯定会给我们预留房间。服务态度好，环境不错，很环保，很实用，房间布局也不错，', 'star': 5}
{'descr': '酒店服务很好，房间很干净，价格便宜性，晚上楼下有烧烤和小面，吃的比较多，除了靠外面有点吵之外，其他的都不错。', 'star': 5}
{'descr': '很好很好，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '非常不错。。。。。。。。。。。。，，，，，，，，，，，，', 'star': 5}
{'descr': '房间还是很满意的,无线网络很稳定.', 'star': 3}
{'descr': '非常不错的酒店，交通方便，周边吃饭购物很方便，就是离轻轨有点远。', 'star': 5}
{'descr': '不错，经济实惠，地理位置也较好，适合逛街。', 'star': 5}
{'descr': '很不错的经济型酒店，性价比高！晚上酒店门口的烧烤好吃~', 'star': 5}
{'descr': '出入交通比较方便，酒店比较干净整洁，就是临街的标准间有点点闹。还有不足的就是浴室里面的沐浴露和洗发液那个盒子是坏的', 'star': 5}
