{'短评内容': '一般，', '短评打分': 4}
{'短评内容': '周边环境很差，吃饭不方便，楼上有ktv，吵得不行，停车难，最关键的是房间设施卫生太差。也就是188元的房价，携程收253返55，佣金就收了十元，高报价，再返利，有欺骗消费者嫌疑。', '短评打分': 2}
{'短评内容': '前台服务太差   不值得推荐', '短评打分': 2}
{'短评内容': '还行，挺好', '短评打分': 3}
{'短评内容': '半夜还老是停电', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以服务好，有停车位', '短评打分': 5}
{'短评内容': '总体还不错。很满意', '短评打分': 5}
{'短评内容': '环境和上传图片相符，服务人员态度和蔼。总的来说还可以这个价格。问问返款在哪里 没见耶 服务员说网站返 现在也没见', '短评打分': 5}
{'短评内容': '感觉还不错，住着还行', '短评打分': 5}
{'短评内容': '房间干净整洁，设施完善，齐全', '短评打分': 3}
{'短评内容': '提醒大家注意，我2015年9月27日早晨退房退押金时退给100元假币，商家坑顾客，这是我第一次遇到，早晨6点多退房，自己没注意，我提醒大家注意，不要被骗。我很气愤。我及时评价就是让大家在预定是提高警惕。', '短评打分': 3}
{'短评内容': '环境不错，房间很干净，服务态度也很好，设备设施也不错！挺好的！我们都很喜欢！', '短评打分': 5}
{'短评内容': '好，很好，非常好，特别好。', '短评打分': 3}
