{'descr': '卫生整洁，还是可以吧。下次还住。', 'star': 5}
{'descr': '感觉不错', 'star': 5}
{'descr': '还行，只是价格偏高', 'star': 4}
{'descr': '服务热情', 'star': 5}
{'descr': '环境温馨  ', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '不错的，服务不错，继续保持！点赞，无数个赞！', 'star': 5}
{'descr': '干净整洁，临近公园，设施略简陋。', 'star': 5}
{'descr': '住宿环境还是不错的，环境一般吧', 'star': 5}
{'descr': '房间很大！比较干净！！晚上也安静！！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '非常不错，', 'star': 5}
{'descr': '还不错，挺干净，服务也很好', 'star': 5}
{'descr': '还可以吧  就是床比较小  挺一般的  ', 'star': 5}
{'descr': '房间小了点，但是很干净，服务员态度非常好。', 'star': 4}
{'descr': '位置还算好找,出差住还可以，房间大小也满意', 'star': 4}
{'descr': '帮朋友订的，还好吧', 'star': 4}
{'descr': '前台服务员态度非常不好！房间条件不太好，暖气管噪音大，窗户隔音不好', 'star': 3}
{'descr': '地方有点偏，交通挺方便', 'star': 4}
{'descr': '周围环境很好，出行比较方便', 'star': 5}
{'descr': '一般般吧,貌似优于锦江之星的普通水准,没办法,快捷酒店就是这样了.', 'star': 1}
{'descr': '环境还行！服务态度也挺好，就是房间小点', 'star': 3}
{'descr': '房间很干净，就是有点小，没有什么坐的地方。比较不方便的是酒店没有停车场', 'star': 5}
{'descr': '锦江之星吗，全国都一样。这里的标间全都是靠大街的，夏天开窗户很吵，商务间还行，就是小点', 'star': 5}
{'descr': '不错 床很舒服 去草莓音乐节的不二选择！就是墙比去年脏了 其他的都很好 很满意', 'star': 5}
{'descr': '十锦江之星', 'star': 3}
{'descr': '电视有点小，没有免费矿泉水', 'star': 3}
{'descr': '挺干净，商务房有点小，毛巾旧黑，但可以要求换新的。服务还行，没有免费停车场。', 'star': 3}
{'descr': '房间干净，满意。下次来还会选择。房间干净，满意。下次来还会选择。', 'star': 5}
{'descr': '房间不错，就是临街的房间有点吵。楼下就有一家东北餐馆，好吃干净。总体来说挺满意的。', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '简洁，干净，有家的感觉，前台的服务也很好，以后还会订这个酒店的', 'star': 5}
{'descr': '简洁，干净，有家的感觉，以后还会订这个酒店的', 'star': 5}
{'descr': '酒店还不错，就是没有停车的地儿，有点不方便', 'star': 5}
{'descr': '酒店新开业 非常非常干净 交通也很便利 洗浴设施等都很好 强烈推荐  ', 'star': 5}
{'descr': '卫生不错', 'star': 3}
{'descr': '房间不错,很给力', 'star': 3}
{'descr': '很不错', 'star': 3}
{'descr': '环境不错。价格经济，设施也不错。值得收藏，就是网速慢的厉害。再改进点就完美了！', 'star': 5}
{'descr': '这是我第二次入住了，酒店卫生，环境很好，服务态度也很不错，总之值得入住，同时交通便利322、667等直接到酒店门口了，同时液晶电视可以直接插U盘观看电影，所以提醒入住朋友可以自备电影进行观看，效果蛮好', 'star': 5}
{'descr': '酒店蛮好的啊 很干净、有窗户、液晶电视可以直接用U盘看电影感觉很好很方便 价格优惠 很值   而且服务态度都很好，蛮喜欢的，而且从这里去华联逛街坐车只有2战地，门口就有公交站的', 'star': 5}
{'descr': '这家酒店的服务生 服务态度好，感觉很亲切 ，房间面积不大 但干净 建议住三层以上房间。', 'star': 5}
{'descr': '大概是因为房间数量少的原故，餐厅早餐不能说简单，而应该称之谓简陋；晚餐也很一般。\n其它正常！\n网速似乎比以前快了！', 'star': 5}
{'descr': '很好的居住环境，干净，服务态度好，以后还会光顾本酒店。', 'star': 5}
{'descr': '锦江之星酒店的设施很好，环境好，卫生好，没有异味，外宾非常喜欢入住，下次继续入住此酒店。', 'star': 5}
{'descr': ' 赠券有什么优惠吗', 'star': 3}
{'descr': '酒店很干净，服务也很好，感觉挺不错的，值', 'star': 5}
{'descr': '设施可以，服务一般，主要是对婴儿没有足够的耐心。', 'star': 5}
{'descr': '环境干净，安静，舒适度很好，有机会还会去。服务热情，地段也可以。', 'star': 5}
{'descr': '不错！环境不错！周边配套也挺好！恩恩！下次还住着！！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '挺好的！房间干净！', 'star': 3}
{'descr': '房间很干净也很安静,服务也很好。', 'star': 3}
{'descr': '很不错', 'star': 3}
{'descr': '房间比较干净，就是有点小，位置有点偏，倒是安静', 'star': 5}
{'descr': '要了无烟商务间，一贯的锦江风格，干净温馨，服务人员的态度也很满意。而且前台放了糖果，办理入住的时候，服务员让儿子选了一块奶糖，让小儿子非常高兴嘻嘻。', 'star': 5}
{'descr': '外宾入住了，感觉满意,交通便利，还有免费的宽带上网。', 'star': 5}
{'descr': '第一次带外宾入住此酒店，客房卫生很干净，服务员态度很好。客户室内空间稍微少了一点，要是空间更大一点就更好了。', 'star': 5}
{'descr': '不错  还可以   房间面积不大  卫生很好  推荐入住', 'star': 5}
{'descr': '还可以，就是有些偏，周边没有什么可吃的东西，但整体配套设施很好，新装修不错。', 'star': 5}
{'descr': '舒适有家的感觉 非常安全 安全通道明显宽敞 整天非常卫生整洁 有星级酒店的感受 ', 'star': 5}
{'descr': '性价比高 整洁舒适 饭也好吃 服务也好 地段也不错有各种饭馆 很方便', 'star': 5}
{'descr': '很干净舒适，因为是刚开张不久，所以很舒服。只是周边有些偏僻，位置一般。', 'star': 5}
{'descr': '酒店还算不错，价格还是有些偏贵，地理位置也偏些也不是特别不好。酒店环境还成吧。', 'star': 5}
{'descr': '位置比较好，出行很方便.室内硬件设施一般化，服务也不是很热情.整体给我感觉比较一般化.', 'star': 3}
{'descr': '很温馨！很干净！环境很好！服务人员很有礼貌！', 'star': 5}
{'descr': '相当不错，干净，整洁、也很安静！旁边有药店和小饭店！适合商务差旅！', 'star': 5}
{'descr': '值得推荐, 性价比很高.值得推荐, 性价比很高.值得推荐, 性价比高.', 'star': 5}
{'descr': '很好。酒店干净整洁，性价比很高。下次去通州还是这里了。', 'star': 5}
{'descr': '酒店在通州的城区，交通便利并且位置很方便出行，整体条件非常不错，而且住着也挺舒服的.', 'star': 5}
{'descr': '还可以，干净，交通方便，还可以，干净，交通方便，', 'star': 5}
{'descr': '退房的时候很快，因为所有的杯子都是一次性的，省去了查房的时间。地点距离古运河很近，是一个饭后遛弯的好地方', 'star': 5}
{'descr': '很干净，舒适，性价比不错。交通还算方便，很好找。', 'star': 5}
{'descr': '很有家的感觉，写字台很大，灯光明亮，在里面办公也不会觉得昏暗。距离酒店公交2站地的位置有比较繁华的购物中心，不过早餐永远不变，有点吃腻了。。', 'star': 5}
{'descr': '位置不太好找房间还可以。价格倒是挺便宜的，酒店的环境还行和别的锦江之星差不多。', 'star': 3}
{'descr': '环境不错，交通条件也不错，下次出差还要住这个宾馆。', 'star': 5}
{'descr': '不错，不停水就更好了', 'star': 3}
{'descr': '前台服务亲切有礼，性价比高，出差旅游可选择。', 'star': 3}
{'descr': '房间隔音差点，其他都不错', 'star': 5}
{'descr': '+不错', 'star': 5}
{'descr': '位置不错，停车方便，房间非常干净，标间很宽畅，单间略小。', 'star': 5}
{'descr': '这里很好。我和老公很喜欢这里的服务！', 'star': 5}
