{'短评内容': '古色古香的青年旅社，还有各种房型可选择，性价比超高。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '很有特色的青年旅舍，內部的花園、中庭都蠻漂亮的，很舒服的感覺～職員的態度很好，有禮貌～離地鐵站大概10分鐘左右，不過晚上的庭園比較暗，怕黑的人要帶好照明工具', '短评打分': 5}
{'短评内容': '不错 房间就是有点小了', '短评打分': 4}
{'短评内容': '大赞！旁边就是八办，值得去', '短评打分': 5}
{'短评内容': '青年旅舍氛围不错，价格便宜，独自出游的可以住床位路上结伴同游～喜欢舒适有独立卫生间的住单间也可以', '短评打分': 4}
{'短评内容': '很好一次住宿环境，很经济实惠！还有晾衣区和自助洗衣房！下次还会来的！', '短评打分': 5}
{'短评内容': '有各种设施可以满足顾客的需求，服务态度挺好的，很轻声细语，院子古色古香，住在这个大古都里就应该来体验一下这么有气氛的住房。七贤我们下次再会！', '短评打分': 5}
{'短评内容': '非常有特色，安静，价格实惠', '短评打分': 5}
{'短评内容': '环境不错，院子很静，有很多来自不同地方的朋友。推荐推荐', '短评打分': 5}
{'短评内容': '古风四合院，环境安静，有单房也有床位，价格还可以，最喜欢的是有洗衣机！比较遗憾的是不提供洗漱用品，另外他们跟携程没有合作，是通过第三方预定的，其实这样的优质酒店携程应争取过来！', '短评打分': 5}
{'短评内容': '环境很好，一个很大的院子，就是分房间的时候把大床弄成标间了', '短评打分': 4}
{'短评内容': '好喜欢开满花的那个庭院，就是那天下雨，鞋子袜子湿了没地儿吹干', '短评打分': 5}
{'短评内容': '环境很赞，会再来', '短评打分': 5}
{'短评内容': '位置有点不太好找 不过房间和院子很有特色 服务很不错 可以体验一下 ', '短评打分': 4}
{'短评内容': '和妈妈一起去的，酒店距离公交车站大概要走十分钟，挺安静的不吵不闹。就是元旦去，房间没有暖气只有空调，感觉有点凉飕飕。酒店很清静，挺好的。', '短评打分': 5}
{'短评内容': '十人大房间俩空调一个是坏的，冷；客房区WiFi连不上；除了酒吧，没有能看书上网的室内环境（酒吧关门早且不能喝自带饮料），室外有桌椅，冬天冻死，夏天还不咬死？反正不会再去了。', '短评打分': 5}
{'短评内容': '环境不错，交通也蛮方便', '短评打分': 3}
{'短评内容': '旅舍不错，是个适合旅途劳顿休憩的场所，唯一的遗憾就是不方便打车！', '短评打分': 3}
{'短评内容': '服务很热情，很亲切、 第一次住青旅，2个女生定的是标间，房间不大，装修风格很干净简单。  规模挺大的，什么自助厨房、洗衣间都有，酒吧也很舒服。  唯一不满就是房间里没有WIFI，要上网就一定要呆在酒吧或者附近区域。', '短评打分': 5}
{'短评内容': '酒店没有标间，两个女生睡大床晚上会抢被子，蛮干净的。十分有亮点的青年旅社，强烈推荐！', '短评打分': 5}
{'短评内容': '标间160其实是很贵的，因为房间很狭窄，如果不是非常亲密的朋友，会对卫生间三分之二的玻璃感到发指吧，整体环境非常的好，就是中原大院的格局，布置的简单，可以说原汁原味，但是因为是和一个不太熟悉的朋友一起去的，本来定了三晚，最终只入住了一晚，也是比较可惜的。总体还是很推荐这家，就是不太好找，但是那里打车方便，这在西安是最重要的。', '短评打分': 5}
{'短评内容': '还不错，不过感觉工作人员明显对外国人比较热情', '短评打分': 5}
{'短评内容': '环境很好的地方，服务也不错，老板人很和气，和网上的恶评不一样，推荐入住', '短评打分': 3}
{'短评内容': '硬體設施超乎想像的好，環境也不錯，值得推薦！', '短评打分': 3}
{'短评内容': '的确名不虚传，可惜第二天都没房了，不然真想一直住下去，订的是阁楼房，老板说是他童年的梦想来设计', '短评打分': 5}
{'短评内容': '房间不大，卫生很好，热情质量挺好，用着挺舒服，位置挺好，出行挺方便。', '短评打分': 5}
{'短评内容': '旅店看着挺古朴的，服务和卫生挺好，价格挺便宜，住的挺划算的。', '短评打分': 5}
{'短评内容': '这入住的老外挺多，设计风格挺特别，我挺喜欢，位置很好，出行挺方便。', '短评打分': 5}
{'短评内容': '位置挺好，离景点不算远，附近也有公交，出行挺方便，价格上挺实惠的，这点挺满意。', '短评打分': 5}
{'短评内容': '设计的挺古香古色的，环境很好，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '挺好，口碑挺好的，卫生条件挺好，房间舒适度还好，价格挺实惠的。', '短评打分': 5}
{'短评内容': '装修的有点复古的感觉，卫生还好，隔音效果还好，价格上挺便宜的。', '短评打分': 5}
{'短评内容': '服务态度还好，房间里颜色挺协调，床铺挺干净整洁，设施简单了点，整体感觉还好。', '短评打分': 3}
{'短评内容': '前台服务和客房都挺好，餐厅中餐西餐都有，口味还好，卫生很好，设施一般，整体感觉还不错。', '短评打分': 3}
{'短评内容': '服务上挺热情的，房间装修的挺现代化，住的挺舒适。', '短评打分': 3}
