{'短评内容': '本店有停车场，环境好。屋里空间超大~', '短评打分': 5}
{'短评内容': '干净卫生，就是性价比不太高', '短评打分': 5}
{'短评内容': '呵呵', '短评打分': 3}
{'短评内容': '住了一宿总体来说还可以', '短评打分': 5}
{'短评内容': '酒店环境还行，也比较干净。住了两间3016和2019', '短评打分': 5}
{'短评内容': '酒店环境还行，也比较干净。住了两间3016和2019', '短评打分': 5}
{'短评内容': '这也叫酒店？锁是坏的，早餐说有，结果7.30过去说没了，两天也不见收拾房间～', '短评打分': 3}
{'短评内容': '住的不错', '短评打分': 5}
{'短评内容': '酒店内设施很好，服务也好，干净卫生，就是离主干道有点距离，据说有公交，也没找到站牌。', '短评打分': 5}
{'短评内容': ' ;)', '短评打分': 3}
{'短评内容': '环境一般，位置不好找，服务还行门口停车场很大', '短评打分': 1}
{'短评内容': '为了在王府学校考托福才住在这里。交通方便而且很实惠，旁边就是饭店，很方便吃饭。推荐入住。', '短评打分': 3}
{'短评内容': '除了贴”皮草间“的房间比较不好以外，其余的还可以。有的门锁不好使，需要让服务员来开门，比较不方便，还好给调换了，服务不错，不过要是没房了的话，就不好说了。。。', '短评打分': 5}
{'短评内容': '服务不好，环境偏僻。设施简陋，价格偏贵。', '短评打分': 1}
{'短评内容': ' 环境不错。打车到王府学校15或者20', '短评打分': 3}
{'短评内容': '干净，态度也很不错，就是东西有点旧，离北京王府学校很近', '短评打分': 5}
{'短评内容': '总体环境可以 有窗的房间感觉很宽敞 细节有待提高', '短评打分': 5}
{'短评内容': '从车站走到那挺远的', '短评打分': 3}
{'短评内容': '设施布局很喜欢。但卫生间太脏了。漏水不说，刚进去的时候，马桶盖上还有屎。夜里睡觉时，老听到漏水生。房间很大，大落地窗，都是不错的，细节还要加强呀。', '短评打分': 5}
{'短评内容': '山水人间快捷酒店很好,方便丨,干净,卫生,', '短评打分': 3}
{'短评内容': '还可以！！！还可以！！！还可以！！！还可以！！！', '短评打分': 5}
{'短评内容': '不错啊，离温都水城挺近的，不过卫生间的淋浴喷头需要修理，只有水管，可以经营得更精细些吧。', '短评打分': 5}
{'短评内容': '酒店很干净！服务也很热情。唯一不足是周边的环境很差。。黄沙漫天啊', '短评打分': 5}
{'短评内容': '房间很大，阳光充足～床不太舒服，用手可以摸到弹簧…洗了两次澡，都是洗一半就没有热水了。', '短评打分': 3}
{'短评内容': '条件各方面都不错 在城北来说价格合理 服务员很热情', '短评打分': 5}
{'短评内容': '房间大，又干净，不错的快捷酒店，价格合理。', '短评打分': 5}
{'短评内容': '房子够大，就是有点偏，然后舒适度一般。对于这个价钱来说，稍有不值', '短评打分': 1}
{'短评内容': '地方有点偏，不过服务还可以，能尽量满足顾客要求，', '短评打分': 5}
{'短评内容': '位置好，比较好找而且出行也挺方便的，整体条件不错.', '短评打分': 5}
{'短评内容': '位置有些偏，交通不太好走.其它条件都非常不错.整体来讲比较好.', '短评打分': 5}
{'短评内容': '卫生还行酒店装修挺新的，位置比较偏交通不是太方便，服务态度一般，价格还成，周围吃饭都不是太方便只能在酒店里面吃但是也挺贵的。', '短评打分': 1}
{'短评内容': '客房采光不是太好.其它各方面还不错,整体来讲还是比较到位的.', '短评打分': 5}
{'短评内容': '价格一般。服务一般。多要一个枕头也没有。', '短评打分': 5}
{'短评内容': '价格不贵，新开的，里面装修也比较年轻化。舒适度一般，但房大床大', '短评打分': 5}
{'短评内容': '    酒店设施还算不错,屋子环境也很好,新装修的,有一点点油漆的味道.\n    服务态度也很好,网速也挺快的,要说不好就是地点太偏了.周围环境很差,跟农村似的.没有早餐.\n    总之,酒店不错,周末环境太差.', '短评打分': 3}
{'短评内容': '+房间设施都不错，态度也很好…就是…太偏了……跟农村似的周围…不过挺安静的…', '短评打分': 5}
{'短评内容': '服务很好，态度不错。停车方便、安全。只是位置有点偏，比较荒凉。', '短评打分': 5}
