{'descr': '感觉不是很新，卫生倒是干净', 'star': 4}
{'descr': '房间很大，有厨房和碗筷，甚至刀具砧板都有，适合周末大家一起开火锅Patty。', 'star': 5}
{'descr': '酒店房间还可以，旁边商场吃饭很方便', 'star': 5}
{'descr': '还可以地理位置不错', 'star': 5}
{'descr': '周边设施很方便 就在我格广场 附近有大型超市 方便采购 离轻轨站也不远', 'star': 5}
{'descr': '地点超级好 就在我格广场楼上 酒店设施齐全 比较满意 聚会佳选 前台服务态度很好家具和设施虽然很不错 但是相对来说有点旧了 ', 'star': 5}
{'descr': '很舒服的环境', 'star': 5}
{'descr': '各方面都不错', 'star': 4}
{'descr': '房间干净卫生，周围环境有点杂乱，整体不错', 'star': 5}
{'descr': '不错的酒店！周边在搞建设有点吵！打车特不方便！', 'star': 4}
{'descr': '性价比还不错，就是客厅打扫得不是特别干净', 'star': 4}
{'descr': '性价比还不错，就是客厅打扫得不是特别干净', 'star': 4}
{'descr': '性价比还不错，就是客厅打扫得不是特别干净', 'star': 4}
{'descr': '提的要求。只满足了大床。窗外就是下面商场的中央空调。还给了个残疾人房。也没有说明。理由是17:00来入住。太晚了。', 'star': 4}
{'descr': '一般', 'star': 4}
{'descr': '还不错的酒店公寓。下次还会入住，就是停车还得收费', 'star': 5}
{'descr': '很有档次且舒适的一家酒店！厨具一应俱全，房间布局合理，老婆说下次还要来住。缺点的话服务人员真该有个笑脸，那就更好了。', 'star': 5}
{'descr': '很干净。很好。夏天酒店没蚊香。或者纱窗。很喜欢厨房。哈哈', 'star': 3}
{'descr': '装修档次都很满意，上网需要100元/天，网速还错，加一双拖鞋8元，如果来这轰趴，要注意保护他们的设备，不然赔偿很可怕的哦~', 'star': 5}
{'descr': '很安静。房间都很干净。很舒适。以五星级建造酒店公寓价钱算合理。但是两个人住一份早餐。登记时又拿四张身份证', 'star': 3}
{'descr': '酒店公寓中同类算好的，床非常舒适。早餐不好。', 'star': 5}
{'descr': '酒店很好', 'star': 3}
{'descr': '酒店环境非常好', 'star': 3}
{'descr': '床还是一样的舒服，可是有噪音，其它都不错', 'star': 5}
{'descr': '不错的啊，不是第一次入住了，很好，很大，很干净,性价比高', 'star': 5}
{'descr': '很好的一个酒店，房间很大，物超所值，可以做饭开PARTY', 'star': 5}
{'descr': '酒店公寓还是很不错，非常人性花，把居家的设备都考虑到位了，非常适合商务人士和外籍客人使用。有个小遗憾，大堂不在1楼，有点不容易找。', 'star': 5}
{'descr': '服务态度很好,房间设施齐全,有家的感觉,不过单人房缺少浴缸.', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '酒店的确不错。性价比还可以。交通也方便。像这样的酒店应该在全国多开几家！好\n', 'star': 5}
{'descr': '酒店的确是不错，宽敞整洁，感觉是居民楼改建的。所以是酒店式公寓。\n但是大堂太小，工作人员无法清晰的指引客人从地铁站到达酒店，还有价格偏高还不含早餐。', 'star': 5}
{'descr': '很好，床大，房间大，淋浴房大，出行也方便，早餐简单但也可接受。', 'star': 5}
{'descr': '不是第一次入住了，但每次都是能有个很好的心情。很不错哦，下次还会继续入住！！！', 'star': 5}
{'descr': '总体感觉不错; 房间设施全.房间大. 女友也喜欢.\r\n不足的是门童有时不够热情...', 'star': 3}
{'descr': '总体感觉不错; 房间设施全.女友也喜欢.\r\n不足的是门童有时不够热情...', 'star': 5}
