{'短评内容': '没在酒店吃早餐，不知道早餐如何', '短评打分': 4}
{'短评内容': '早餐一般，但周边比较方便，大床房还可以，标双比较小，其他不错', '短评打分': 5}
{'短评内容': '早餐一般，但周边比较方便，大床房还可以，标双比较小，其他不错', '短评打分': 5}
{'短评内容': '酒店很旧，房间有点脏，晚上貌似有虫，很差的体验。', '短评打分': 2}
{'短评内容': '很一般，比较陈旧，厕所异味很大。', '短评打分': 3}
{'短评内容': '酒店在周边算不错的了！还比较舒服！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很不错，实惠。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价格算优惠，就是空调起不到作用', '短评打分': 5}
{'短评内容': '东西不错，以后再来', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '装修还不错，服务比较贴心，退房超级快', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '您我哄鸡鸡鸡鸡李经理哦算了算了受苦受累送你mormon哄你咯破送你磨破MSN公民名模敏明哦哦哦敏敏明媚哦送ornp小说在一起在一起我让我婆婆哦是', '短评打分': 5}
{'短评内容': '不错很好还可以明明农民工敏敏哦哦公民名模您你弄哦送你住户万岁万岁万万岁我是小人物生物入侵者我让我朋友擒贼先擒王擒贼先擒王擒贼先擒王我让我朋友我让我朋友万岁万岁万万岁我让我朋友万岁万岁万万岁万岁万岁万万岁我有朋友挺轻松sons磨破rows在一起在一起我一无所有万岁万岁万万岁我先去洗澡民意一直在婆媳磨破松坡公民敏敏破功哦sons我婆婆民工漫只是想想前一阵子', '短评打分': 5}
{'短评内容': '还不错hi考虑考虑', '短评打分': 5}
{'短评内容': '酒店很不错，干净，卫生，前台忘了给早餐券就送上来了，服务也好，有窗，交通也很方便，出门没多远就是地铁的四号线了', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '对得起这个价格', '短评打分': 4}
{'短评内容': '热水完全不行，出水量小，温度低，再不能住了，洗手间里面设施太旧了，什么都脏兮兮的感觉', '短评打分': 3}
{'短评内容': '还好！', '短评打分': 4}
{'短评内容': '帮我的一个朋友预订的，还可以，就是装修比较老了。', '短评打分': 5}
{'短评内容': '不差', '短评打分': 5}
{'短评内容': '交通蛮便利的，但里面的设施比较旧，特别是床比较小，不喜欢！', '短评打分': 1}
{'短评内容': '有史以来入住酒店遇到的最差的一家，没有之一！前台接待服务差劲，跟欠她家钱一样！！入住时遇酒店停电至3个多小时不见来电，试问35度以上的高温天气能受得了吗？！再说了，酒店难道就没有备用发电机吗？基本的设施都不能保证以后谁还敢住呢！！！工作人员没有及时解决问题，总是敷衍住客马上就来电，请问你的马上是什么概念？！！现在想想幸亏是白天停电，如果是晚上我看酒店是要把住客都逼到大街上去吧', '短评打分': 1}
{'短评内容': '前台服务态度好，房间设施也还不错酒店干净，\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间大小还不错，设施一般，上网需致电前台开通，早餐一般，到蔡甸办事所以选了这家，总体一般吧，过得去', '短评打分': 1}
{'短评内容': '出入方便，离动物园步行只有五分钟路程，全家出游住这还行。房间还行，早餐不怎么样。\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '住的是商务套房，可没有浴袍；卫浴设施及备品比较糟糕，浴巾全部飞边，洗浴用品居然放在了卧室，洗澡事先得到卧室取浴液等物品，浴室小。房间空调是单向的，现在只能制冷，刚入住时，室内温度只有18度，很冷，空调不能制热，所以室内很长时间都不热乎。室内的开关好像没有总控开关，晚上睡觉时，绕床N圈关灯', '短评打分': 1}
{'短评内容': '已经入住武汉格瑞斯酒店', '短评打分': 3}
{'短评内容': '还不错，地段方便，房间设施也还不错', '短评打分': 3}
{'短评内容': '非常舒适!四星标准装修，设施也很新!', '短评打分': 3}
{'短评内容': '一家三口入住较好,', '短评打分': 3}
{'短评内容': '酒店比较安静，卫生情况不错，与同价位酒店相比，显得房间装修比较简洁。', '短评打分': 5}
{'短评内容': '性价比比较高，交通便利，就是早餐太差，其他都还可以', '短评打分': 5}
{'短评内容': '前台服务很差，水平很差！房间马桶坏的，告诉前台居然没有人理会！', '短评打分': 1}
{'短评内容': '希望酒店价格平常时间折扣多一点', '短评打分': 3}
{'短评内容': '好啊，在市中心，房间很干净的，值的推荐。。。。。。。。。。。。 \n', '短评打分': 5}
{'短评内容': '房间宽敞也很舒服 很多镜子 就是靠街道凌晨有点吵', '短评打分': 5}
{'短评内容': '还可以，我们去开会的，共定了16个房间，离会场6公里，出酒店大门左走150米。艳阳天酒店不错，菜味道好，价格底，就是住的酒店前台服务还需要提高。。。。。。 ...', '短评打分': 5}
{'短评内容': '还可以，我们去开会的，共定了16个房间，离会场6公里，出酒店大门左走150米。艳阳天酒店不错，菜味道好，价格底，就是住的酒店前台服务还需要提高。。。。。。', '短评打分': 5}
{'短评内容': '酒店干净，服务态度好，就是早点没有咖啡等饮料。', '短评打分': 3}
{'短评内容': '另外，先交卡退房，然后去吃早餐，结果早餐吃完后连发票都还没打完？\n是我吃得太快？还是早餐太简单？还是前台太慢？建议有急事的朋友提前\n30分退房比较保险。', '短评打分': 1}
{'短评内容': '住1208，以前觉得房间还可以，所以住了几次，现在觉得早餐太一般了。\n下楼忘带餐卷了想吃了退房时再补给，餐厅冷冰冰的说那得上去拿，和前台商量\n先给一餐卷退房再还一张，也不行，唉，无奈只好电梯辛苦一下了，好在不用我的电。', '短评打分': 1}
{'短评内容': '单从酒店本身而言，属于比较老的，硬件一般，房间较小，但其位置较好，着落汉阳老城，距离古琴台等景点较近，比较方便。另外建议，如果喜欢吃地方特色的话，出门右转200米左右，有一家三镇民生甜食馆的连锁店，热干面，煎包等小吃味道不错，价格也不贵！', '短评打分': 5}
{'短评内容': '酒店前台服务质量太差，\n首先，办理订房和退房的速度太慢了，至少要十来分钟，\n另一个就是询问同事的房号时，还要打电话到对方那里去问，\n问完了才告诉我。如果这样的话，我还不好打手机得了。\n早餐厅的可吃食物太少了，而且都凉了。\n房间里潮湿，地毯一直未换过，也未进行烘干之类的。', '短评打分': 1}
{'短评内容': '要比想像中的好，环境和卫生状况都是不错的。\n离机场也不是很远，\n附近的购物地点有点少，不好找。\n早餐的餐点也不少，', '短评打分': 5}
{'短评内容': '酒店内部装修还挺新净，属于3星以上，比较清洁，舒服。网路速度还可以。晚上比较幽静，睡觉比较好。但是早餐品种稍不理想。', '短评打分': 5}
{'短评内容': '房间设施还是挺好的，至少电视是液晶的，周围的环境也不错，购物方便。\n之前一直都是住在帅府车友饭店，第一次住这里，\n感觉很舒服。已推荐给朋友入住。', '短评打分': 5}
{'短评内容': '酒店不错，经济实惠。\n交通便利，经济型酒店，要求也不能太高了。\n也不能每次均下榻相同的。值得期待下次', '短评打分': 5}
{'短评内容': '还可以，酒店房间还算舒服，可惜有时候网络很慢的\n而且距离市中心有点远', '短评打分': 1}
{'短评内容': '实在非常的差，一点不值，房间很脏，好多小虫子，热水太小，基本用滴来形容。空调没有效果，非常不推荐，以后肯定不会再住了！', '短评打分': 1}
{'短评内容': '酒店不错，经济实惠！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '基本可以，最大的亮点是附近一带没有较多的酒店，而且靠开发区较近，但房间偏小', '短评打分': 5}
{'短评内容': '交通方便,服務還不錯;算是中等的商務旅館了', '短评打分': 5}
{'短评内容': '＋很好很满意', '短评打分': 3}
{'短评内容': '＋不错，第二次住了，以后每次到武汉出差都住这。', '短评打分': 3}
