{'descr': '          很好      ', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '感觉一般，性价比可以，周围吃的多', 'star': 4}
{'descr': '一般啊一般啊', 'star': 5}
{'descr': '非常不错！！', 'star': 5}
{'descr': '很不错的呢，，，', 'star': 5}
{'descr': '...........很不错', 'star': 5}
{'descr': '1111111111111111111', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '招待所啊招待所', 'star': 4}
{'descr': '还不错的一次出行！', 'star': 4}
{'descr': '床 被子 枕头都刚刚合适，睡的很舒服，价钱也不高，小吃超市地铁都在附近，很便利！', 'star': 4}
{'descr': '经济实惠，机场巴士方便', 'star': 3}
{'descr': '还可以吧、地板不太好、洗浴的门关不严', 'star': 4}
{'descr': '再接再厉', 'star': 5}
{'descr': '不错不错非常非常不错?', 'star': 4}
{'descr': '不错不错非常非常不错?', 'star': 4}
{'descr': '住了几次了，还算不错，办事方便', 'star': 4}
{'descr': '酒店很干净，服务很周到', 'star': 3}
{'descr': '酒店环境不错，交通也很方便，下次还会入住', 'star': 5}
{'descr': '没有主题!', 'star': 3}
{'descr': '   酒店还不错，离地铁果园站很近，房间的设施很齐全，下次还会继续入住的', 'star': 5}
{'descr': '环境一般，卫生间连门都没有，早上8点钟就开始不停的催退房 关键是我明明预定的是有窗的房间 去了却给我安排了一间没窗的 还说来晚了 可我是在十点以前去的', 'star': 1}
{'descr': '还不错，比较整洁的新酒店。应该都是周围居民家里来客人住的。', 'star': 5}
{'descr': '还不错，很安静。。。。。。。。。。。。。', 'star': 5}
{'descr': '第一次入住，服务还好，酒店也还算整洁。但因为有剧组在，加上散客，显得房间很紧张的样子，不够清净，单人间也被塞了一张小床。。。隔音很差很差，晚上隔壁说话声，电视声，全部能听清楚。除此以外，还可以了。', 'star': 3}
{'descr': '店里很温馨，感觉不错！ 当天还赶上有剧组在那！~嘿嘿', 'star': 5}
{'descr': '附近交通一般，商业配套较差...当时入住时还在装修，各方面有待提高', 'star': 1}
{'descr': '有蟑螂，毛巾不卫生，洗手间太小。其他就不错......', 'star': 1}
{'descr': '酒店干净价格合适', 'star': 3}
{'descr': '位置比较偏，但室内设施还可以吧，总体而言谈不上好也不算差。', 'star': 5}
{'descr': '酒店实在是太差劲，走廊上从傍晚开始到早晨退房为止，餐饮垃圾都不处理。而且有些房间墙壁都长毛了。', 'star': 1}
{'descr': '补充）由于有老人，还积极帮我换了一楼的房间。', 'star': 5}
{'descr': '就这个价位来说，还是非常不错的。相对比较干净，也很清静。服务人员虽然不像星级宾馆的仪表端庄，但态度不错，服务也很及时。', 'star': 5}
{'descr': '位置还行，比较好找，但是早餐太扯，没有可吃的，而且不在一起，出去后没指示牌，那个难找', 'star': 1}
{'descr': '环境卫生还行，比较安静，但服务员需要细心，我入住后发现使用的被罩有洞，也懒得换，还好，退房的时候没有说是我整的，否则就亏大发了 ！', 'star': 5}
{'descr': '附近就有机场大巴.去机场方便.饮食这些都比较方便.\n房间还是比较可以的.', 'star': 5}
{'descr': '环境还可以就是有点小，价位略高，位置还可以。', 'star': 5}
{'descr': '干净整洁，住起来比较舒服，早餐在楼上10元。', 'star': 5}
{'descr': '. 逸旅阳光的整体环境不错. 内部设施也较好. 房间有点小. 价格再低五十元就更好了', 'star': 3}
{'descr': '挺干净', 'star': 3}
{'descr': '交通还算便利，浴室不是独立的，拖鞋沾水后容易滑倒，太潮有气味，隔音效果差点。', 'star': 1}
{'descr': '比预想得要差', 'star': 3}
{'descr': '通风不好！太潮有气味', 'star': 3}
{'descr': '房间虽不大，但布局比较合理，不会感觉紧迫。写字台的椅子很舒服。有饮水机和吹风机可以使用很方便。', 'star': 5}
{'descr': '环境不错，交通还算便利，就是目前门口修路，有点乱！', 'star': 5}
