{'短评内容': '还不错，房间够大，环境也还行', '短评打分': 4}
{'短评内容': '还不错 ，房间蛮大的，环境也还行', '短评打分': 4}
{'短评内容': '睡觉的时候枕头上拍着一只瓢虫。。。地理位置特别好，坐机场1号线到五公祠下，对面就是，五公祠20块一个人。吃饭的，在对面地摊吃，味道棒。', '短评打分': 3}
{'短评内容': '我觉得还可以，就是我入住的时候，旁边有工地晚上施工，好吵。', '短评打分': 5}
{'短评内容': '很干净，服务也好', '短评打分': 5}
{'短评内容': '挺不错的的…好好…挺不错的的…好好…挺不错的的…好好…挺不错的的…好好…挺不错的的…好好…挺不错的的…好好…', '短评打分': 4}
{'短评内容': '环境优雅，服务很好', '短评打分': 5}
{'短评内容': '贵', '短评打分': 3}
{'短评内容': '一交通方便，生活方便', '短评打分': 4}
{'短评内容': '来到海口出差，在网上看评价还行，又是14年底开的酒店就订了，交通方便，门口就是公交站台，打车到火车东站十五六块，房间比较大，洗手间空间也不错但是整个房间就三个插座，其中两个坏的，只有一个能用，床头还没有，洗澡的花洒水也不匀称，没有一次性拖鞋，本想多住，结果果断退房', '短评打分': 4}
{'短评内容': '还不错还不错，可惜有点贵', '短评打分': 5}
{'短评内容': '不错，环境整洁，交通方便。', '短评打分': 3}
{'短评内容': '方便，在这个价位还算很实惠了，到高铁站和市区都不算远，关键对门是五公祠。', '短评打分': 3}
{'短评内容': '好贵啊，突然涨价好多。', '短评打分': 3}
{'短评内容': '还比较干净，就是刚进屋有一股臭脚的味道', '短评打分': 3}
