{'descr': '很舒适，每次出差必选', 'star': 5}
{'descr': '服务态度很好，房间也很舒服。', 'star': 5}
{'descr': '可以可以了', 'star': 5}
{'descr': '周边吃饭非常不方便', 'star': 4}
{'descr': '不错，这个价位可以接受', 'star': 5}
{'descr': '还可以吧挺大的', 'star': 5}
{'descr': '还行，位置偏了', 'star': 5}
{'descr': '很旧了，给同事预定的，很久都没住这个酒店了，以前都住这里，汉庭开了以后都跑到汉庭入住了，这里性价比太低', 'star': 4}
{'descr': '舒服，很好', 'star': 5}
{'descr': '周边没什么酒店，只能住这里了。', 'star': 2}
{'descr': '房间特别大 服务不错', 'star': 4}
{'descr': '地点有点儿偏，但是里面的感觉很棒！在这个价位里面是住过最好的酒店了！', 'star': 5}
{'descr': '环境很不错，离瘦西湖也不远。离高速也近。真的很好', 'star': 5}
{'descr': '看来是新装修的，比较干净，很安静，停车方便', 'star': 5}
{'descr': '枕头和床都不舒服，枕头可能因人各异但床垫真的太差了，弹簧居然都一排排突出来了，硌得人疼。不知道是不是旺季的关系人太多来不急打扫地毯上都是污渍。 隔音很差，同一楼层的几个主客一早七点多就放了几个孩子在走道闹，足足有个把小时，薄薄的墙和门根本无法阻挡他们的声浪，实在是令人崩溃', 'star': 1}
{'descr': '因为是新酒店，所以非常整洁干净(特别是卫生间)，房间面积大还设有一个大躺椅，总之丝毫不逊色于三星酒店，性价比超高。', 'star': 3}
{'descr': '还好，房间大。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间很大~空调也挺给力~就是稍微有点偏僻', 'star': 5}
{'descr': '距离市中心可能没其他酒店近，但是因为扬州城的景点地带区域本来就不大，坐公交车十五分钟内就可以到室内，而且从酒店出发，到大明寺和瘦西湖北门就五六站地，还是很方便的。位置方面的劣势却可以通过酒店周围和内部环境的优势来弥补，很不错~', 'star': 5}
{'descr': '服务很好，环境也不错！', 'star': 3}
