{'短评内容': '酒店环境太差。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好，房间很大很不错。', '短评打分': 4}
{'短评内容': '挺不错，房间大，所有都不错', '短评打分': 4}
{'短评内容': '还一般般吧！出差住还可以。', '短评打分': 4}
{'短评内容': '酒店不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置环境都很好，卫生干净舒适，每次出差都过来', '短评打分': 5}
{'短评内容': '环境好，暖气，热水给力。很好的宾馆，每次出差都过来', '短评打分': 5}
{'短评内容': '离办事地点近，房屋比快捷酒店大', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '挺好的 房间大环境也还算可以，不错', '短评打分': 3}
{'短评内容': '挺好的，环境不错，出行方便。', '短评打分': 3}
{'短评内容': '房间挺大，价格优惠，还行', '短评打分': 3}
{'短评内容': '酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 ', '短评打分': 5}
