{'短评内容': '非常不错，服务态度好，各个方面都不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一直很满意，尤其是服务态度特别好，性价比超高。所以朋友一来娄底出差就推荐他住这家了。', '短评打分': 5}
{'短评内容': '早餐很丰盛！卫生不错！隔火车站很近！周边饭馆超市样样都有！交通便利！价格也实惠！下次来娄底，还会继续住这里！', '短评打分': 5}
{'短评内容': '设施有点旧了，早餐一般，湖南这个价位的酒店早餐基本这样。离火车站进，这点不错，旁边是个公园，可以搞个晨练。', '短评打分': 4}
{'短评内容': '还可以。。。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '你是我的意思？我在看电视边上网看了一个很棒！在你面前哭得好开心阿特维尔和她说话就十分重视的问题！你面前你可以选择这种人类游戏、', '短评打分': 5}
{'短评内容': '临时一个晚上可以接受', '短评打分': 4}
{'短评内容': '房间卫生可以，还配了电脑。就是空调效果不好', '短评打分': 5}
{'短评内容': '服务一般，前台明显排斥网订，半夜搞隔壁卫生，打仗一样，郁闷！再不去他家了', '短评打分': 3}
{'短评内容': '好，还行。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '不好，房间设施陈旧，前台业务不熟练', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
