{'短评内容': '离客运中心100米，交通非常方便，赞一个。', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 3}
{'短评内容': '居然没有灭蚊工具第一次碰到这样宾馆', '短评打分': 3}
{'短评内容': '差，全方位的差，旧 臭  吵  乱 早饭差。服务差', '短评打分': 1}
{'短评内容': '3星级网线也没有。居然搞得像群居，设施有旧。定好的房间居然没有', '短评打分': 1}
{'短评内容': '经济型的酒店，我觉得要是入住时间不很长，也可以了，不特别豪华，但还比较舒服。', '短评打分': 5}
{'短评内容': '酒店很干净，地理位置适中，住得很称心，符合星级标准', '短评打分': 5}
{'短评内容': '酒店位置偏一点，里客运中心很近，房间设施一般，尤其卫生间的日光灯不停的发出嘶嘶嘶~~~~~~的噪音很烦人。', '短评打分': 1}
{'短评内容': '感觉还可以   很舒服    热水很好     ', '短评打分': 3}
{'短评内容': '位置就在新长途车站对面，方便。但是有次查不到Elong的订单：（', '短评打分': 5}
{'短评内容': '挂牌三星级酒店，性价比高，毕竟是在安徽的一个县城。离汽车站比较近，交通很方便。', '短评打分': 5}
{'短评内容': '酒店很差。太一般。', '短评打分': 5}
{'短评内容': '酒店还挺大的，房间也满大，整理的很干净，房间最有特色的是放置了好多书可以选择阅读。', '短评打分': 5}
{'短评内容': '比国内同类宾馆设置要好。', '短评打分': 5}
{'短评内容': '2010年7月21日的一场雷雨竟然让整个酒店电视信号整晚模糊，到第二天早上8点离店时仍然如此。另外，不知道是酒店的电脑还是网络问题，网页要半天才能打开，郁闷啊！\r\n最满意离长途站超级近！', '短评打分': 5}
{'短评内容': '酒店各方面条件还不错,就是位置有些偏不太好找出行不方便之外,其它各方面都没问题.综合性价比很高.', '短评打分': 5}
{'短评内容': '提供早餐，服务也做的比较到位，性价比较高。', '短评打分': 5}
{'短评内容': '酒店离宣广高速出口不远，交通算是便利，硬件设施也可以。', '短评打分': 5}
{'短评内容': '工作人员态度很好，见面总是笑呵呵的，热情友善，卫生也打扫的可以。', '短评打分': 5}
{'短评内容': '卫生达标，定期维护的也可以，住着放心，价格也算公道。', '短评打分': 5}
{'短评内容': '总体感觉还是挺不错的酒店，房间的卫生和设施都还行，价格也还是挺适中的，位置也还不错挺好找的交通也很方便，性价比还是挺不错的。', '短评打分': 5}
{'短评内容': '希望能包早餐。 ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
