{'短评内容': '很不错，环境不错，出行还行，', '短评打分': 5}
{'短评内容': '位置有点不好找，但是很干净，关键才213元 ，不错', '短评打分': 5}
{'短评内容': '酒店位置还不错，房间略小，挺干净，不错的，就是晚上暖气里面哗啦哗啦的上水声音有点乱了，其他各方面都还不错的', '短评打分': 5}
{'短评内容': '暖气上水 住了这几天天天水响的烦死了，空间小，床硬', '短评打分': 3}
{'短评内容': '定的无早餐，酒店周围吃东西的地方很少，不热闹，感觉比较偏，楼下有个饺子馆，没去吃，酒店装修和环境还可以的', '短评打分': 4}
{'短评内容': '非常好，非常好', '短评打分': 5}
{'短评内容': '非常不错，值得推荐', '短评打分': 5}
{'短评内容': '五一入住要圆形大床房198，不过早预订携程返现越多', '短评打分': 4}
{'短评内容': '帮回国的朋友订的，最大的优点是离家近！但据朋友说，酒店的房间真心挺小的，圆床不错，价格也实惠。', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '交通不是很便利，不是想象中鸿炜亿家的样子，不过这个性价比在北京算可以的了', '短评打分': 4}
{'短评内容': '卫生间里洗澡水流不下去泡了汤了，空调不管用，晚上特别冷', '短评打分': 4}
{'短评内容': '第二次住了，住的圆床，卫生还不错，前台的服务态度挺好的，特别周到，很棒，位置也挺好，离公交站点特别近', '短评打分': 5}
{'短评内容': '酒店离住处很近,方便.离长安街也不远,就是圆床房有点小,进门感觉有点压抑.这边的宾馆最近都水涨船高,贵的吓人.', '短评打分': 5}
{'短评内容': '环境很好，很安静周边环境，适合休息，价格这段时间有点水涨船高', '短评打分': 5}
{'短评内容': '酒店门脸太小了，前厅沙发茶几莫有，没地儿歇，不过房间还算大，空调、电视、宽带（与电视合用显示器）、24小时热水、洗漱用品俱全；交通便利，10路车直达天安门、48路直达前门、741直达北京西站，最近的4号线陶然亭地铁口步行约15分钟，可直达圆明园、颐和园；酒店旁边的国华酒楼生意火爆，每晚n张桌子摆出，大啖扎啤、烤串，炒菜味道不错~~~~~综述，性价比不错！！！', '短评打分': 5}
{'短评内容': '  有蟑螂', '短评打分': 3}
{'短评内容': '各种的设施还算比较齐全，感觉很不错，房间很温馨~~~', '短评打分': 5}
