{'短评内容': '酒店太垃圾，退房不给发票！服务态度差，大家慎住', '短评打分': 1}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '千万别住，环境真的很差，白天十二点多入住，出去逛了一天回来，闺蜜洗澡洗到一半没热水，水也没法通', '短评打分': 1}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '晚上隔壁太吵', '短评打分': 4}
{'短评内容': '房间卫生还好，一个人住也挺大，离办事的中医医院很近，唯一不够好的是热水来得很慢，打开水龙头要等一段时间才有热水。', '短评打分': 4}
{'短评内容': '还可以，位置、性价比！', '短评打分': 4}
{'短评内容': '老酒店了，感觉现在酒店管理不如以前了，例如安保人员在门厅和前台聊天、安保人员座在门厅顾客沙发上等，这些好像管理好的酒店都不会发生的吧。', '短评打分': 5}
{'短评内容': '总体还不错！还真是有点不隔音！', '短评打分': 5}
{'短评内容': '无力吐槽。。。。不差评不好评', '短评打分': 5}
{'短评内容': '房间不大，干净卫生，上网速度快', '短评打分': 4}
{'短评内容': '房间不大，干净卫生，上网速度快', '短评打分': 4}
{'短评内容': '卫生舒适', '短评打分': 3}
