{'descr': '价格还可，房间硬件设施应待完善', 'star': 3}
{'descr': '房间挺大的,就是卫生太差了', 'star': 3}
{'descr': '屋子比较潮湿 不知是上海天气的原因还是酒店本身 服务态度很好  卫生一般 出门就是八号线 挺方便', 'star': 3}
{'descr': '很干净、床和洗手间很干净。 就是有点偏僻，老板人很好。', 'star': 5}
{'descr': '  我昨天看了网上评价订的房，今天一看不理想，被套破的，灯光也很暗，抽水马桶也脏。下次再也不来了。', 'star': 3}
{'descr': '图离地铁和世博园近，没有任何可取之处，唯一不错的就是老板人还可以蛮好说话', 'star': 1}
{'descr': '家属楼的六层。物业保安态度不好。停车难', 'star': 3}
{'descr': '不错，该酒店地理位置优越，服务设施比较齐全， 推荐一下', 'star': 5}
{'descr': '距离世博展馆很近，周边的设施也很全面，唯独酒店本身装修已经太旧，卫生比较差，不过老板和服务员的态度很好，另外酒店的隔音效果很不理想，晚上11点多回房间，没有想到听到其他房间传来了女人的叫床声，惊天动地，搞的我一夜未眠~', 'star': 1}
{'descr': '房间装修太老，环境一般，价格不够实惠，如果再便宜一点工作的时候可以住', 'star': 1}
{'descr': '亨来位于上南路和成山路的交界处，地铁8号线成山路站下，3号出口即到。交通方便，老板很热情，我是8月19号退房的，但当天中午比较热想冲凉（当时已经退房了），老板很爽快的答应了，在其他房间给我提供免费冲凉。询问地址，老板也很热情，怕我找不到，还专门给我发短信息通知我。住宿的楼下有很多小吃店，也有菜市场，吃饭可以很容易的解决而且很便宜。此次预定非常满意，下次如果还去这里出差，一定会再次入住。', 'star': 5}
{'descr': '\u3000\u3000长这么大从来没见过这么脏乱的酒店，旧一点倒也算了，到处是积灰，地毯恐怕有一年没吸灰了，沙发已从白色变为黑色，墙上竟然还有几点血迹，恐怖啊！卫生间厚厚一层污垢，抽水马桶垫圈坏的，洗脸池下水管漏的，收费倒是跟连锁酒店一个价，档次却相差十万八千里，入住两小时等小孩睡醒后立马退房逃跑，换到马路对面的卡玛达，好得多得多。\n\u3000\u3000强烈不不不不不推荐！！！', 'star': 1}
