{'短评内容': '一般般吧，厕所连个门都没有，马桶还不能自动上水', '短评打分': 5}
{'短评内容': '很干净门口买东西很方便', '短评打分': 5}
{'短评内容': '布局真心差，味道很大，隔音不好，wife也不好，信号弱', '短评打分': 1}
{'短评内容': '酒店相当easy，', '短评打分': 5}
{'短评内容': '地上铺个垫子就叫高级大床房了？', '短评打分': 4}
{'短评内容': '京东酒店服务确实不错。', '短评打分': 5}
{'短评内容': '性价比很高，挺干净的，价格也合适', '短评打分': 5}
{'短评内容': '房间环境还可以 地板有点旧 除了房间太小了 其他的都可以。', '短评打分': 5}
{'短评内容': '干净，服务员都不错，', '短评打分': 5}
{'短评内容': '还行吧！牌子硬罢了', '短评打分': 5}
{'短评内容': '环境好，住宿比较清静，服务好，下次还会住。', '短评打分': 5}
{'短评内容': '房间挺好的，有需要还会再来。', '短评打分': 5}
{'短评内容': '服务特好，房间卫生，有机会再住。', '短评打分': 5}
{'短评内容': '很棒，比旁边的华清温泉好多了，新很多，服务好，离地铁10分钟脚程，大堂养了小狗，怕的要小心了噢。总体推荐。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '经济实惠，相对还不错', '短评打分': 5}
{'短评内容': '环境很干净，房屋感觉很整洁，经常住这家酒店', '短评打分': 5}
{'短评内容': '还不错的，性价比挺高的，很温馨，就是有些房型面积比较小点  ', '短评打分': 5}
{'短评内容': '还不错的，性价比挺高的，很温馨，就是有些房型面积比较小点  ', '短评打分': 5}
{'短评内容': '还不错的，性价比挺高的，很温馨，就是有些房型面积比较小点  ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，就有点小。', '短评打分': 4}
