{'短评内容': '挺好的，性价比很高。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '，', '短评打分': 5}
{'短评内容': '京东酒店活动最给力，服务也不错，这家酒店位置一般，不过房间很大，也比较干净，早餐一般，品种比较少，可能入住率不高吧', '短评打分': 5}
{'短评内容': '前台程琪舒很热情 .很好.帮助订房.房间很大很宽敞.下次还会再来.价格也很实惠', '短评打分': 5}
{'短评内容': '睡觉就睡觉的经典蝴蝶结设计角度讲得不到你的你都记得记得记得叫', '短评打分': 5}
{'短评内容': '啥叫难上加难时间的经典款大家记得记得记得减肥减肥亟待解决', '短评打分': 5}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '前台Steven服务很好 还会再来。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '性价比超高，环境优美，交通便利。', '短评打分': 5}
{'短评内容': '啊', '短评打分': 5}
{'短评内容': '比较干净卫生，就是地域位置偏僻但清净，从机场回来适合居住', '短评打分': 5}
{'短评内容': '总去的一家酒店 真的比协议价格还便宜 服务过程很好 满分', '短评打分': 5}
{'短评内容': '双十一要来了评价得京豆', '短评打分': 5}
{'短评内容': '双十一要来剁手没钱评价京豆快到碗里来', '短评打分': 5}
{'短评内容': '环境挺好，这片也没啥酒店了，一般吧', '短评打分': 5}
{'短评内容': '还行，房间比较大，就是感觉和五星级的评级相比有些差距', '短评打分': 5}
{'短评内容': '晚上到的酒店，前台接待的芦鑫宇特别好，没有我预定的房间了，特意帮我升的房间。感谢', '短评打分': 5}
{'短评内容': '东西非常好，下次还会继续购买', '短评打分': 5}
{'短评内容': '酒店性价比很高，游泳池也干净，个人非常喜欢阳台', '短评打分': 5}
{'短评内容': '已经多次在这住了。特别喜欢他的装修感觉。环境好 服务好。价格合理', '短评打分': 5}
{'短评内容': '环境优雅，干净整洁', '短评打分': 5}
{'短评内容': '这个时候还能够得到知己好友一起战斗', '短评打分': 5}
{'短评内容': '女朋友来沈阳每次都住玛丽蒂姆，前台李明月服务态度很好，还免费升级了房间，不错，一如既往的好。。。。。', '短评打分': 5}
{'短评内容': '酒店环境非常不错，对面有永辉超市，很方便，前台接待李明月服务态度很好，住的很开心，给个赞^_^^_^', '短评打分': 5}
{'短评内容': '房间给错了。不是订的房间。希望以后不再有这样的事情。早餐有待改善。', '短评打分': 5}
{'短评内容': '感谢前台李胜男热情的服务，很开心的一次入住，很舒心，满意满意！如果下次有机会过来还会光临，酒店环境也很棒！赞', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '好好好好好好好好好', '短评打分': 3}
{'短评内容': '非常好的酒店，服务周到，下次出差还会入住的，值得推荐。', '短评打分': 5}
{'短评内容': '很好，不错！外观环境非常漂亮！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店的房间要是能离电梯近点就好了！我从房间走到酒店门口用时七分钟都走累了！不过酒店没得说！', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '不好 太小了 洗澡卫生间就淹大水，早餐一般过得去', '短评打分': 5}
{'短评内容': '真的非常不错，环境很奢侈，就是偏远一些，倒是落得清静！', '短评打分': 5}
{'短评内容': '挺好房间比较赶紧，就是离市区不是很近环境还不错', '短评打分': 5}
{'短评内容': '398的值得推荐  5星标准  超好的酒店', '短评打分': 5}
{'短评内容': '帮同事订的很好 很舒服很满意 还会再来', '短评打分': 3}
{'短评内容': '给同事订的酒店，同事反映不错，酒店很新，服务也周到，设施也很不错，如果早餐价格能稍低些就更好了。', '短评打分': 5}
{'短评内容': '档次够，室内空间大，服务也好，我到前台换了大床房，那枕头很舒服～在网上订的房间，价格实惠到家 啦！', '短评打分': 5}
{'短评内容': '环境优雅，房间大，宽敞！', '短评打分': 3}
{'短评内容': '酒店不错，很豪华。房间很大，设施挺新的，房间还有一个户外平台，这个给人印象挺深，整体感觉非常好，唯一遗憾就是电梯离房间有点远，推荐入住！', '短评打分': 3}
{'短评内容': '酒店第一感觉奢华，但没什么内涵，服务很一般，且东西很贵', '短评打分': 1}
{'短评内容': '环境很好，设施也不错，尽管位置有点偏。不过可能是因为酒店还比较新的关系，房间里装修味道还是有', '短评打分': 5}
{'短评内容': '游泳池真的很棒。房间超大，床品也不错。唯一不足是周边比较荒，吃饭不方便。', '短评打分': 5}
{'短评内容': '很好!房间很大!', '短评打分': 3}
{'短评内容': '\n五星级标准，可惜屋内卫生间花洒不太好用，原定的大床房未预留变成了标准间\n感觉一般', '短评打分': 3}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': ' 环境好，房间超大，推荐入住', '短评打分': 3}
{'短评内容': '早餐非常赞，房间也很宽敞。就是因为是新酒店有点味道。', '短评打分': 5}
{'短评内容': '房间很大很豪华 酒店气派！', '短评打分': 3}
{'短评内容': '硬件设施非常好，大堂很漂亮，和威尼斯人相似，服务态度也非常好，有机会还住这', '短评打分': 5}
{'短评内容': '酒店不错,房间很大很豪华,很新很干净,就是位置偏一些，但晚上的自助餐没什么东西,又不好吃,早点还行', '短评打分': 3}
{'短评内容': '乱的一塌糊涂！服务水平三星级，硬件环境五星级！官网都打不开，不知i道碧桂园怎么会找这样一家合作伙伴！', '短评打分': 1}
{'短评内容': '酒店很气派，也很漂亮。十一特价很超值，有早餐和晚餐，还有一杯红酒，味道也不错，食品都很可口，中式和西式的都有，餐厅的服务员服务很周到。房间很大，有落地阳台，感觉价格很容易接受。\n周围的环境很好，空气不错。后院的池塘和凉亭建的都很别致，不同于其它酒店的风格。下次还会来。\n', '短评打分': 5}
{'短评内容': '第一次住这里，感觉不错。酒店很大气，大堂也很漂亮，有点像在欧洲的大教堂。接待人员很热情，早餐很可口，员工服务也很周到。酒店房间很大，有阳台，视野很好。湖很漂亮，空气不错。\n酒店很新，有些设备还不全，但是总体还是不错地。\n', '短评打分': 5}
{'短评内容': '房间很大，酒店环境也不错，就是真心的大，真新的远', '短评打分': 5}
{'短评内容': '来过沈阳几次，朋友帮订的这家酒店。从机场开车过来很方便，不堵车。酒店建的很大气，欧洲风格，好像只有5-6层高，看上去很特别。酒店周围的绿植很多，还有个阶梯式的喷水池。房间很宽敞，采光也特别好，有独立的阳台，可以在阳台上看到外边的湖，早上起来空气非常好，心情非常舒畅。早餐也很丰盛。下次来沈阳还会住这里。', '短评打分': 5}
