{'短评内容': '离马路很近有点吵！', '短评打分': 3}
{'短评内容': '靠近长隆，到广州南站很方便，10分钟，房间挺大，也干净，适合带小朋友到长隆玩，出差也挺方便的，停车方便，有车位', '短评打分': 5}
{'短评内容': '是给同事订的房，酒店在我住的花园里所以比较方便。酒店前面还有高尔夫练习场，如果爱好高尔夫的住这家酒店还有优惠送。冬天了屋里还有蚊子，今后需要改进。', '短评打分': 4}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '离长隆欢乐世界很近 交通方便 酒店设施也不错', '短评打分': 5}
{'短评内容': '还行吧!主要距离长隆度假区不远！国庆期间价格合适！', '短评打分': 5}
{'短评内容': '安静，服务很好', '短评打分': 5}
{'短评内容': '非常好的一次体验，如我所愿，很好！', '短评打分': 5}
{'短评内容': '我的小号勿扰。我是你最想说了一个不知道', '短评打分': 5}
{'短评内容': '房间较差', '短评打分': 4}
{'短评内容': '不错，住了很多次。', '短评打分': 5}
{'短评内容': '不错，住了很多次。', '短评打分': 5}
{'短评内容': '谢谢一切都很好！', '短评打分': 5}
{'短评内容': '酒店整体感觉不错，订的豪华给升级到行政，房间非常大。离长隆很近，还有免费接驳车送到长隆。到地铁3号线汉溪长隆站也很方便。机场大巴7B线直达酒店。唯一不足就是周围没什么餐饮，只有个7-11。', '短评打分': 5}
{'短评内容': '房间设备老化，服务不好', '短评打分': 3}
{'短评内容': '住过好几次，非常靠近长隆动物园，服务态度很好。', '短评打分': 5}
{'短评内容': '这 次酒店安排的房间临马路，特别噪音大，休息不好，以前也住过这个酒店，房间不临马路，好不错', '短评打分': 4}
{'短评内容': '物美价廉！', '短评打分': 5}
{'短评内容': '物美价廉！', '短评打分': 5}
{'短评内容': '酒店有点老，不过交通还是挺方便的，带孩子玩的很开心！', '短评打分': 4}
