{'短评内容': '衣架数量', '短评打分': 5}
{'短评内容': '总体来说环境还是很好的', '短评打分': 5}
{'短评内容': '蛮不错，厕所稍微有点脏，环境好，装修好', '短评打分': 3}
{'短评内容': '订的大床房没有窗户，然后加钱换了标准间，总体来说还行吧', '短评打分': 3}
{'短评内容': '没有窗户 卫生差的离谱 还有蜘蛛 细节边边角角脏呼呼的 水龙头水流特别小', '短评打分': 2}
{'短评内容': '差劲的要命，首先说客观因素，地理位置差，在家具城里面，我是来旅游的又不是来买家具的，距离市中心还选。房间环境也脏，房间仿欧式，昏黄的灯光遮掩了很多卫生不到位的细节，但是！尽管有遮掩可是我还能看到脏的地方这是有多脏？！床超级不舒服，我们是高级大床房，床垫子很硬，还一直向下掉，真是醉了。现在说服务，前台态度差的要死，一点服务意识都没有，查房的时候多收费，然后两大瓶护发素落房间里都没说，呵，千万别选这家', '短评打分': 3}
{'短评内容': '房间很小，卫生很不好，浴巾都是污渍，房间电脑打不开，花洒水小还四溅，喝水的杯子都没洗，刷牙的更是不用说了，虽然已经做好了思想准备，觉得价格便宜，也不应该要求太多，但是真是一点优点也没有，这是我住过的最差的地方。', '短评打分': 3}
{'短评内容': '房间有点小，十一订房困难所以将就着啦', '短评打分': 3}
{'短评内容': '一如既往的满意', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境还好，服务周到，不错！', '短评打分': 4}
{'短评内容': '还可以、因为前两天都在这边住的就又继续在这住的、还可以', '短评打分': 4}
{'短评内容': '价格很实惠、酒店设施一般吧、要是晚上出去回来晚的话回来就没有车位了、', '短评打分': 4}
{'短评内容': '酒店设施一般、酒店卫生一般、不过在青岛住的话对得起这个价格吧！因为青岛在旅游期价格都比较高！', '短评打分': 4}
{'短评内容': '隔音效果不好', '短评打分': 4}
{'短评内容': '住过的最差的酒店，没有之一。\n适逢啤酒节，没办法', '短评打分': 1}
{'短评内容': '还可以吧，挺不错的', '短评打分': 3}
{'短评内容': '酒店的服务很好，刚去的时候，迎宾员很有礼貌的和我们打招呼，房间卫生条件不错，打扫的干净整洁，价格也比较经济实惠', '短评打分': 5}
{'短评内容': '算是不错的装修但是设施可能有些陈旧了，卫生做的马马虎虎些，服务态度这点还是挺好的，价格还是比较合理，酒店的位置还是比较好找。', '短评打分': 5}
{'短评内容': '房间有电脑，比较方便。离家乐福近。所谓的早餐实在是。。。', '短评打分': 5}
{'短评内容': '酒店还行环境还是很不错的，服务态度还是蛮一般，位置出行还是很方便的，而且按照酒店的设施来看的话价格还是稍微偏高了。', '短评打分': 3}
{'短评内容': '—般', '短评打分': 5}
