{'短评内容': '房间太小，很差', '短评打分': 2}
{'短评内容': '价格性价比高，还不错！', '短评打分': 5}
{'短评内容': '鼓鼓囊囊v发哄你:v发货女长发vv还能不犯法', '短评打分': 5}
{'短评内容': '一开始空调滴水  给我直接更换了房间 服务很到位', '短评打分': 4}
{'短评内容': '环境不错，性价比还可以', '短评打分': 5}
{'短评内容': '在淮安车站附近，出行方便，旁边是购物中心，房间卫生还可以，可能时间久了稍微有点小问题，不过挺好的快捷酒店。', '短评打分': 5}
{'短评内容': '卫生间的异味有点重  床还可以  不潮湿 洗手台和刷牙杯不怎么干净 ', '短评打分': 4}
{'短评内容': '姐姐哦去了人快了', '短评打分': 3}
{'短评内容': '前台服务态度不错，只是Wi-Fi信号时断时续', '短评打分': 5}
{'短评内容': '习惯好评', '短评打分': 5}
{'短评内容': '环境不错。    隔音不怎好。 住的还是很舒服的', '短评打分': 5}
{'短评内容': '服务很好，性价比高！！！', '短评打分': 3}
{'短评内容': '位置好，服务好，就是蚊子多，需要改进', '短评打分': 3}
{'短评内容': '很方便 环境挺好', '短评打分': 5}
{'短评内容': '地理位置还可以', '短评打分': 5}
