{'descr': '很好很好很好', 'star': 5}
{'descr': '很好，房间大', 'star': 5}
{'descr': '好好好好好好', 'star': 5}
{'descr': '房间大，服务好', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '服務態度很好', 'star': 5}
{'descr': '哈哈哈还好还好', 'star': 5}
{'descr': '住着还行200多一天空间特别小，节假日住的还行吧。', 'star': 5}
{'descr': '下次没有的房间希望在网上注明，省得白跑一趟。', 'star': 5}
{'descr': '很好，比较满意，希望下次有机会再来。', 'star': 5}
{'descr': '酒店不错，值得推荐', 'star': 4}
{'descr': '房间很干净，洗澡水不是太热就是太凉，设施齐全，空调还可以，位置不错，处在市中心，总体来说值得推荐，以后还会来', 'star': 4}
{'descr': '挺好，性价比挺高的，在这里住了几次，都挺好的', 'star': 5}
{'descr': '地理位置好，服务态度很好', 'star': 5}
{'descr': '位置好，去新街口、明故宫、中山陵都很方便，就是附近七天太多找错了两家才找到', 'star': 5}
{'descr': '好好好好', 'star': 5}
{'descr': '总体来说还可以，就是没有牙刷，牙膏', 'star': 4}
{'descr': '还不错，学校附近，比较方便', 'star': 4}
{'descr': '只有一条大浴巾，没有卫生纸，浴巾上有黄色锈斑，床单上也有各种颜色，住过最差的七天', 'star': 3}
{'descr': '周围各种设施比较齐全。房间干净卫生！', 'star': 5}
