{'短评内容': '住宿还不错，安静卫生', '短评打分': 5}
{'短评内容': '安静卫生，值得期待', '短评打分': 5}
{'短评内容': '还不错，很安静', '短评打分': 5}
{'短评内容': '三及第客栈位置好，步行到景区门口6分钟，步行到陷河湿地和野鸭湖都很方便，小院子静谧干净，老板和老板娘热情好客，毗邻的三及第小吃有早餐，蛋炒饭已经接近黯然销魂饭的水准。房间整洁贴心，电热毯取暖，热水足，淋浴很舒服。楼顶有躺椅，白天可以烤太阳，天黑后25分钟左右，可以看到月亮从来凤山后升起来。客栈里有一只健硕的猫，步履轻盈，奔跑跳跃，线条优美，黄金比例，安静有个性。客栈性价比很高，有机会还再去。', '短评打分': 5}
{'短评内容': '位置好，去各个方向都方便，老板很热情，出门右手就是胖姐拿手菜，提供免费旅游图，设施一般，属客栈水准。', '短评打分': 4}
{'短评内容': '非常好的地方，环境好，老板好，给规划线路，推荐的餐厅都很好吃，反正提了好多问题都耐心解答。在中心区域，旁边店的米线很好吃，总之，很值。另外提醒一下，携程不给客栈提供客户的联系方式，大家要记好客栈电话，提前联系，方便接机。', '短评打分': 5}
{'短评内容': '老板是个很不错的小伙，到的时候有点晚了。带着小孩，老板给我们免费升级了一个房间。第二天很热心的给我们做了周边游的路线建议，非常实用。第二天早点就是在他们家外面路口吃的，也叫三及第，是房东家开的。大姐很好。知道我们也是云南人。还送了我们她们本地的小酥肉。宝贝很喜欢客栈的那只猫。可惜了黑色拉布拉多犬丢了。金毛送人了，无缘得见。', '短评打分': 4}
{'短评内容': '房间卫生情况很一般，地理位置也一般', '短评打分': 3}
{'短评内容': '和顺古镇真是个好地方，这几年发展更是很不错，古镇面貌焕然一新。这里商业气氛没那么浓厚，来这里可以慢慢住下慢慢游玩。', '短评打分': 5}
{'短评内容': '环境不错，老板人挺好的，出行也挺方便的，离和顺的大门挺近的，还有师傅接送！古镇的人都挺朴实友善的，适合度蜜月和朋友一起玩', '短评打分': 5}
{'短评内容': '三及第客栈真是太温馨了，来自五湖四海的朋友相聚在一起，很嗨森。这是住酒店感受不到的。', '短评打分': 5}
{'短评内容': '庭院挺温馨的，有一只狗和一只猫，都挺乖的。卫生间有浴霸，有免费水果提供，有部分温泉,景区的优惠券。值得一住！', '短评打分': 5}
{'短评内容': '客栈在古镇中心位置，去野鸭湖、停车场都只需几分钟，吃饭、闲逛更是出门就是。房间布置舒适、卫生，热水很好。管家小黄很热情，提前跟我们联系并到古镇大门来接，还为我们介绍腾冲、古镇游览线路。  不足之处是房间的取暖设施功率太小，没啥作用，还有就是不主动打扫卫生，住了三天没有来打扫过，需要改进。总体还是满意的。', '短评打分': 5}
{'短评内容': '客栈在古镇中心位置，去野鸭湖、停车场都只需几分钟，吃饭、闲逛更是出门就是。房间布置舒适、卫生，热水很好。管家小黄很热情，提前跟我们联系并到古镇大门来接，还为我们介绍腾冲、古镇游览线路。  不足之处是房间的取暖设施功率太小，没啥作用，还有就是不主动打扫卫生，住了三天没有来打扫过，需要改进。总体还是满意的。', '短评打分': 5}
{'短评内容': '住在这真是有家的感觉，前台小哥热情，环境舒适，房间卫生，狗狗温顺，有机会来一定一定再选他家', '短评打分': 5}
{'短评内容': '非常一般，位置和环境与其他客栈比较无优势。天台观景还会闻到各种味道。不会再考虑。', '短评打分': 2}
{'短评内容': '感觉很不错，老板不在，请朋友照顾店里的，服务很好，还专门到镇外接了我们，节省了进镇的门票。', '短评打分': 5}
{'短评内容': '客栈老板很热情，房间很大，干净，又是新开的，住的很舒服，连住了两晚，逛累了回房休息，醒了接着胡晃，二楼有个小厅，三楼有个平台，各有所得。', '短评打分': 5}
{'短评内容': '2月份淡季去的 房间大且很干净，店主很热情，值得推荐', '短评打分': 5}
